Parameter/Date,30 September 2022,29 September 2022,28 September 2022,27 September 2022,26 September 2022,25 September 2022,24 September 2022,23 September 2022,22 September 2022,21 September 2022,20 September 2022,19 September 2022,18 September 2022,17 September 2022,16 September 2022,15 September 2022,14 September 2022,13 September 2022,12 September 2022,11 September 2022,10 September 2022,9 September 2022,8 September 2022,7 September 2022,6 September 2022,5 September 2022,4 September 2022,3 September 2022,2 September 2022,1 September 2022,Total
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,140.65,149.44,59.76,112.5,123.06,167.02,94.93,96.69,127.57,101.94,181.59,234.82,265.58,103.71,165.25,158.23,131.85,167.01,112.5,175.81,123.06,172.27,135.51,84.82,123.06,237.33,158.22,175.81,169.75,118.78,4368.52
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,140.65,149.44,59.76,112.5,123.06,167.02,94.93,96.69,127.57,101.94,181.59,234.82,265.58,103.71,165.25,158.23,131.85,167.01,112.5,175.81,123.06,172.27,135.51,84.82,123.06,237.33,158.22,175.81,169.75,118.78,4368.52
Estimated payout,212.65,225.94,100.26,180,186.06,252.52,153.43,146.19,186.07,173.94,276.09,365.32,405.08,166.71,259.75,239.23,199.35,252.51,180,265.81,186.06,280.27,198.51,156.82,186.06,358.83,239.22,265.81,259.75,172.78,6731.02
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,11.11%,6.67%,0%,0%,7.69%,0%,0%,12.5%,0%,3.45%,3.23%,7.14%,4.76%,0%,0%,0%,6.67%,0%,0%,8.33%,0%,0%,0%,0%,0%,0%,4.76%,0%,2.48%
Sellable returns,,,,0%,,0%,,,100%,,100%,,,,,,,,,,,,100%,0%,,,,0%,33.33%,100%,45.45%
Margin,39.98%,39.98%,30.2%,34.11%,43.05%,39.98%,33.21%,39.97%,44.63%,28.97%,39.32%,36.82%,38.96%,33.69%,35.78%,39.98%,39.97%,39.97%,34.11%,39.97%,39.97%,32.64%,44.02%,27.55%,39.97%,39.97%,39.97%,39.97%,36.76%,41.55%,37.91%
ROI,195.35%,195.35%,147.56%,166.67%,195.33%,195.35%,162.27%,195.33%,202.49%,141.58%,183.42%,179.94%,190.38%,164.62%,174.87%,195.35%,195.33%,195.33%,166.67%,195.34%,195.33%,159.51%,200.76%,117.81%,195.33%,195.33%,195.33%,195.34%,179.63%,203.04%,183.17%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7039
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2924
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4115
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7.46%
