Parameter/Date,30 June 2022,29 June 2022,28 June 2022,27 June 2022,26 June 2022,25 June 2022,24 June 2022,23 June 2022,22 June 2022,21 June 2022,20 June 2022,19 June 2022,18 June 2022,17 June 2022,16 June 2022,15 June 2022,14 June 2022,13 June 2022,12 June 2022,11 June 2022,10 June 2022,9 June 2022,8 June 2022,7 June 2022,6 June 2022,5 June 2022,4 June 2022,3 June 2022,2 June 2022,1 June 2022,Total
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-18.47,0,-18.47,-18.47,0,-36.94,0,-18.47,0.01,-18.47,0,0,0,0,0,-55.41,4.5,-18.47,0,0,0,0,0,4.5,0,0,-18.47,0,0,-55.41,-268.04
    Refunded referral fee,3.15,0,3.15,3.15,0,6.3,0,3.15,0,3.15,0,0,0,0,0,9.45,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,9.45,47.25
    Value of returned items,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,4.5,0,0,0,0,0,0,9.01
    Refund commission,-0.63,0,-0.63,-0.63,0,-1.26,0,-0.63,0,-0.63,0,0,0,0,0,-1.89,0,-0.63,0,0,0,0,0,0,0,0,-0.63,0,0,-1.89,-9.45
    Refunded amount,-20.99,0,-20.99,-20.99,0,-41.98,0,-20.99,0,-20.99,0,0,0,0,0,-62.97,0,-20.99,0,0,0,0,0,0,0,0,-20.99,0,0,-62.97,-314.85
Amazon fees,-236.75,-156.02,-145.34,-252.69,-273.59,-73.06,-164.64,-159.71,-213.81,-162.45,-158.25,-132.91,-102.59,-103.37,-94.13,-69.94,-85.5,-116.06,-136.79,-82.37,-128.25,-137.56,-136.79,-145.35,-150.46,-129.75,-236.64,-80.69,-102.59,-101.31,-4269.36
    FBA per unit fulfilment fee,-145.8,-114.08,-91.79,-168.08,-172.79,-54,-97.2,-86.4,-135.66,-102.6,-81,-91.8,-64.79,-81,-60.08,-75.6,-54,-97.88,-86.39,-75.59,-81,-102.59,-86.39,-91.8,-91.79,-81,-124.2,-64.8,-64.79,-64.8,-2789.69
    Referral fee,-85.05,-65.04,-53.55,-97.05,-100.8,-31.5,-56.7,-50.4,-78.15,-59.85,-47.25,-53.55,-37.8,-47.25,-34.05,-44.1,-31.5,-55.5,-50.4,-44.1,-47.25,-59.85,-50.4,-53.55,-53.55,-47.25,-72.45,-37.8,-37.8,-47.25,-1630.74
    FBA inbound convenience fee,0,0,0,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,0,0,0,0,0,-60
    Compensated clawback,-5.9,0,0,0,0,0,-10.74,-35.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51.99
    Subscription ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39.99,0,0,0,-39.99
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,0,0,0,0,-1.5
    Liquidations revenue adjustment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.43,0,0,-0.43
    Liquidations revenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0.86
    Reversal reimbursement,0,10.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.66
    Warehouse damage,0,12.44,0,12.44,0,12.44,0,12.44,0,0,0,12.44,0,24.88,0,49.76,0,37.32,0,37.32,0,24.88,0,0,24.88,0,0,21.48,0,10.74,293.46
Cost of goods,-121.49,-97.72,-71.9,-112.5,-45,-49.5,-76.5,-63,-111.22,-85.5,-67.5,-81,-54,-76.5,-48.22,-81,-45,-93.22,-72,-76.5,-67.5,-94.5,-67.4,-76.5,-85.5,-67.5,-103.5,-63,-54,-72,-2280.67
    Cost of goods sold,-121.5,-93.22,-76.5,-108,-45,-45,-81,-72,-111.22,-85.5,-67.5,-76.5,-54,-67.5,-48.22,-63,-45,-79.72,-72,-63,-67.5,-85.5,-72,-76.5,-76.5,-67.5,-103.5,-54,-54,-67.5,-2199.88
    Disposal of sellable products,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,9.2
    Lost/damaged by Amazon,0.01,-4.5,0,-4.5,0,-4.5,4.5,9,0,0,0,-4.5,0,-9,0,-18,0,-13.5,0,-13.5,0,-9,0,0,-9,0,0,-9,0,-4.5,-89.99
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,190.02,179.65,121.12,263.03,353.09,50.4,136.68,94.66,195.73,132.39,89.1,142.92,95.29,134.98,84.54,87.51,83.9,142.07,127.05,134.99,119.1,166.75,131.65,139.48,120.87,117.6,124.16,108.19,95.29,86.13,4048.34
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,190.02,179.65,121.12,263.03,353.09,50.4,136.68,94.66,195.73,132.39,89.1,142.92,95.29,134.98,84.54,87.51,83.9,142.07,127.05,134.99,119.1,166.75,131.65,139.48,120.87,117.6,124.16,108.19,95.29,86.13,4048.34
Estimated payout,311.51,277.37,193.02,375.53,398.09,99.9,213.18,157.66,306.94,217.89,156.6,223.92,149.29,211.48,132.76,168.51,124.4,235.29,199.05,211.49,186.6,261.25,199.05,211.48,206.37,185.1,227.66,171.19,149.29,158.13,6320
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,3.7%,0%,5.88%,3.23%,0%,20%,0%,6.25%,0%,5.26%,0%,0%,0%,0%,0%,21.43%,0%,5.56%,0%,0%,0%,0%,0%,0%,0%,0%,4.35%,0%,0%,20%,2.89%
Sellable returns,0%,,,,,,,,100%,0%,,0%,,,,,100%,,0%,,,0%,,100%,,,0%,,,,27.27%
Margin,33.53%,41.13%,33.94%,40.67%,52.57%,24.01%,36.18%,28.19%,37.59%,33.2%,28.3%,40.05%,37.83%,42.87%,37.26%,29.78%,39.97%,38.42%,37.83%,45.94%,37.83%,41.81%,39.2%,39.09%,33.87%,37.35%,25.72%,42.95%,37.83%,27.36%,37.24%
ROI,156.41%,183.84%,168.46%,233.8%,784.64%,101.82%,178.67%,150.25%,175.98%,154.84%,132%,176.44%,176.46%,176.44%,175.32%,108.04%,186.44%,152.4%,176.46%,176.46%,176.44%,176.46%,195.33%,182.33%,141.37%,174.22%,119.96%,171.73%,176.46%,119.63%,177.51%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
