Parameter/Date,31 August 2024,30 August 2024,29 August 2024,28 August 2024,27 August 2024,26 August 2024,25 August 2024,24 August 2024,23 August 2024,22 August 2024,21 August 2024,20 August 2024,19 August 2024,18 August 2024,17 August 2024,16 August 2024,15 August 2024,14 August 2024,13 August 2024,12 August 2024,11 August 2024,10 August 2024,9 August 2024,8 August 2024,7 August 2024,6 August 2024,5 August 2024,4 August 2024,3 August 2024,2 August 2024,1 August 2024,Total
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,127.5,11.66,60.97,56.95,118,170.51,172.71,-34.35,49.95,112.27,38.4,138.87,175.59,91.42,25.66,99.72,25.01,124.95,85.94,51.74,71.02,-7.55,66.33,43.38,92.24,36.71,21.92,80.09,33.05,25.27,87.58,2253.51
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,127.5,11.66,60.97,56.95,118,170.51,172.71,-34.35,49.95,112.27,38.4,138.87,175.59,91.42,25.66,99.72,25.01,124.95,85.94,51.74,71.02,-7.55,66.33,43.38,92.24,36.71,21.92,80.09,33.05,25.27,87.58,2253.51
Estimated payout,208.5,47.66,114.97,106.45,217,323.51,388.71,10.65,112.95,193.27,83.4,278.37,297.09,437.92,79.66,216.72,61.01,210.45,153.44,96.74,134.02,19.45,120.33,79.38,164.24,108.71,62.42,147.59,69.05,52.27,146.08,4742.01
Real ACOS,11.08%,22.89%,17.41%,16.97%,16.13%,11.35%,24.16%,38.54%,18.01%,12.15%,23.06%,13.99%,10.94%,29.2%,35.88%,14.75%,26.3%,11.2%,14.46%,16.99%,17.45%,31.57%,15.38%,15.86%,14.3%,23.72%,26.69%,15.99%,27.44%,22.81%,11.48%,19.38%
% Refunds,0%,12.5%,0%,0%,0%,0%,0%,20%,7.14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16.67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.9%
Sellable returns,100%,,0%,,,,,,,,,,0%,,,,,0%,,,,,,,,,,,100%,,,33.33%
Margin,30.52%,6.63%,23.11%,23.54%,24.39%,22.81%,16.36%,-15.62%,16.22%,28.36%,17.46%,20.37%,29.57%,5.4%,9.72%,17.44%,14.22%,31.57%,26.05%,23.53%,23.07%,-5.72%,25.14%,24.66%,26.22%,10.43%,9.97%,22.76%,16.7%,19.15%,30.64%,18.43%
ROI,149.12%,32.39%,112.91%,115.05%,119.19%,111.44%,79.96%,-76.33%,79.29%,138.6%,85.33%,99.55%,144.52%,26.38%,47.52%,85.23%,69.47%,146.14%,127.32%,114.98%,112.73%,-27.96%,122.83%,120.5%,128.11%,50.99%,54.12%,118.65%,81.6%,93.59%,149.71%,90.23%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,79,69,95,89,111,145,303,104,90,93,88,148,123,521,131,156,77,63,72,63,77,72,66,52,85,129,81,95,80,58,52,3467
    Browser sessions,39,40,53,43,51,53,98,45,34,48,33,63,63,137,53,71,32,27,31,36,33,34,24,33,32,48,39,40,26,34,27,1420
    Mobile app sessions,40,29,42,46,60,92,205,59,56,45,55,85,60,384,78,85,45,36,41,27,44,38,42,19,53,81,42,55,54,24,25,2047
Unit session percentage,24.05%,11.59%,12.63%,12.36%,19.82%,23.45%,15.84%,9.62%,15.56%,19.35%,11.36%,20.95%,21.95%,14.78%,9.16%,16.67%,10.39%,28.57%,20.83%,15.87%,18.18%,8.33%,18.18%,15.38%,18.82%,12.4%,12.35%,16.84%,11.25%,10.34%,25%,16.04%
