Parameter/Date,30 November 2024,29 November 2024,28 November 2024,27 November 2024,26 November 2024,25 November 2024,24 November 2024,23 November 2024,22 November 2024,21 November 2024,20 November 2024,19 November 2024,18 November 2024,17 November 2024,16 November 2024,15 November 2024,14 November 2024,13 November 2024,12 November 2024,11 November 2024,10 November 2024,9 November 2024,8 November 2024,7 November 2024,6 November 2024,5 November 2024,4 November 2024,3 November 2024,2 November 2024,1 November 2024,Total
    Refunded amount,0,0,0,0,0,0,-21.99,0,0,0,-21.99,-21.99,0,0,0,0,0,0,0,0,-21.99,0,0,0,0,0,0,-65.97,0,0,-153.93
Amazon fees,-154.62,-180.39,-241.42,-124.46,-213.36,-186.69,-173.28,-160.02,-244.61,-80.01,-115.57,-151.13,-106.68,-403.35,-160.02,-97.79,-124.46,-80.01,-120.25,-173.18,-151.13,-80.01,-88.9,-161.65,-385.17,-80.01,-106.68,-124.46,-71.12,-106.68,-4647.11
    FBA per unit fulfilment fee,-100.62,-117.39,-156.52,-78.26,-134.16,-117.39,-117.39,-100.62,-162.11,-50.31,-72.67,-95.03,-67.08,-83.85,-100.62,-61.49,-78.26,-50.31,-83.85,-111.8,-95.03,-50.31,-55.9,-106.21,-67.08,-50.31,-67.08,-78.26,-44.72,-67.08,-2621.71
    Referral fee,-54,-63,-84.9,-46.2,-79.2,-69.3,-69.3,-59.4,-82.5,-29.7,-42.9,-56.1,-39.6,-49.5,-59.4,-36.3,-46.2,-29.7,-49.5,-61.38,-56.1,-29.7,-33,-55.44,-39.6,-29.7,-39.6,-46.2,-26.4,-39.6,-1503.42
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-278.49,0,0,0,0,0,-278.49
    FBA inbound convenience fee,0,0,0,0,0,0,0,0,0,0,0,0,0,-270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-270
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0,13.1
    Free replacement refund items,0,0,0,0,0,0,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41
Cost of goods,-81,-94.5,-126,-63,-108,-94.5,-94.5,-81,-130.5,-40.5,-58.5,-76.5,-54,-67.5,-81,-49.5,-63,-40.5,-67.5,-90,-76.5,-45,-45,-85.5,-54,-40.5,-54,-63,-36,-54,-2115
    Cost of goods sold,-81,-94.5,-126,-63,-108,-94.5,-94.5,-81,-130.5,-40.5,-58.5,-76.5,-54,-67.5,-81,-49.5,-63,-40.5,-67.5,-90,-76.5,-45,-45,-85.5,-54,-40.5,-54,-63,-36,-54,-2115
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,-66.26,-48.6,18.42,-54.66,38.08,6.78,-42.35,-1.67,-58.38,-68.45,-14.33,18.18,0.87,-283.64,42.92,-12.9,12.92,-10.63,57.01,-20.71,20.53,-24.17,16.11,-10.49,-228.46,6.71,25.28,-70.35,-9.86,60.89,-701.21
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,-66.26,-48.6,18.42,-54.66,38.08,6.78,-42.35,-1.67,-58.38,-68.45,-14.33,18.18,0.87,-283.64,42.92,-12.9,12.92,-10.63,57.01,-20.71,20.53,-24.17,16.11,-10.49,-228.46,6.71,25.28,-70.35,-9.86,60.89,-701.21
Estimated payout,14.74,45.9,144.42,8.34,146.08,101.28,52.15,70.33,72.12,-27.95,44.17,94.68,54.87,-216.14,123.92,36.6,75.92,29.87,124.51,69.29,97.03,20.83,61.11,75.01,-178.96,47.21,79.28,-7.35,26.14,114.89,1400.29
Real ACOS,52.93%,46.09%,31.8%,56.86%,31.89%,37.64%,46.99%,41.8%,36.53%,73.7%,37.35%,29.07%,38.78%,43.24%,28.27%,44.44%,34.91%,44.48%,25.8%,37.86%,28.44%,49.05%,31.78%,31.77%,21.85%,35.72%,29.53%,43.1%,44.71%,16.03%,37.65%
% Refunds,0%,0%,0%,0%,0%,0%,4.76%,0%,0%,0%,7.69%,5.88%,0%,0%,0%,0%,0%,0%,0%,0%,5.88%,0%,0%,0%,0%,0%,0%,21.43%,0%,0%,1.49%
Sellable returns,,,,,,,0%,100%,,0%,0%,,,,,,,,,,,,,,50%,,,,,,42.86%
Margin,-18.41%,-11.58%,3.26%,-17.75%,7.22%,1.47%,-9.17%,-0.42%,-9.15%,-34.59%,-5.01%,4.86%,0.33%,-85.99%,10.84%,-5.33%,4.2%,-5.37%,17.28%,-4.71%,5.49%,-12.21%,7.33%,-2.51%,-86.58%,3.39%,9.58%,-22.85%,-5.6%,23.07%,-6.88%
ROI,-81.8%,-51.43%,14.62%,-86.76%,35.26%,7.17%,-44.81%,-2.06%,-44.74%,-169.01%,-24.5%,23.76%,1.61%,-420.21%,52.99%,-26.06%,20.51%,-26.25%,84.46%,-23.01%,26.84%,-53.71%,35.8%,-12.27%,-423.07%,16.57%,46.81%,-111.67%,-27.39%,112.76%,-33.15%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,166,166,163,132,143,140,178,148,390,124,91,97,101,132,106,100,103,85,88,166,102,104,77,141,60,74,75,126,85,55,3718
    Browser sessions,64,58,45,44,49,52,54,52,133,49,36,38,43,41,44,34,42,44,34,54,30,40,32,49,16,29,27,40,35,18,1326
    Mobile app sessions,102,108,118,88,94,88,124,96,257,75,55,59,58,91,62,66,61,41,54,112,72,64,45,92,44,45,48,86,50,37,2392
Unit session percentage,10.84%,12.65%,17.18%,10.61%,16.78%,15%,11.8%,12.16%,7.44%,7.26%,14.29%,17.53%,11.88%,11.36%,16.98%,11%,13.59%,10.59%,17.05%,12.05%,16.67%,9.62%,12.99%,13.48%,20%,12.16%,16%,11.11%,9.41%,21.82%,12.64%
