Parameter/Date,30 April 2025,29 April 2025,28 April 2025,27 April 2025,26 April 2025,25 April 2025,24 April 2025,23 April 2025,22 April 2025,21 April 2025,20 April 2025,19 April 2025,18 April 2025,17 April 2025,16 April 2025,15 April 2025,14 April 2025,13 April 2025,12 April 2025,11 April 2025,10 April 2025,9 April 2025,8 April 2025,7 April 2025,6 April 2025,5 April 2025,4 April 2025,3 April 2025,2 April 2025,1 April 2025,Total
    Referral fee,-40.95,-63,-56.7,-78.75,-88.2,-50.4,-63,-44.1,-75.6,-91.35,-63,-44.1,-22.2,-33,-52.8,-66,-49.5,-52.8,-26.4,-36.3,-23.1,-29.7,0,-39.6,-56.1,-62.7,-36.3,-33,-39.6,-56.1,-1474.35
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.68,0,0,0,0,0,-29.68
    Compensated clawback,-14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.26
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82
    Warehouse lost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82,0,0,0,0,0,0,0,0,0,0,7.82
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,0,0,14.26,0,0,0,0,0,0,0,0,28.52
Cost of goods,-54,-90,-81,-112.5,-126,-72,-90,-63,-108,-130.5,-94.5,-63,-31.5,-45,-76.5,-90,-67.5,-72,-36,-54,-31.5,-40.5,0,-54,-76.5,-85.5,-49.5,-45,-54,-76.5,-2070
    Cost of goods sold,-58.5,-90,-81,-112.5,-126,-72,-90,-63,-108,-130.5,-90,-63,-31.5,-45,-76.5,-90,-67.5,-72,-36,-49.5,-31.5,-40.5,0,-54,-76.5,-85.5,-49.5,-45,-54,-76.5,-2065.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,4.5,0,0,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,-4.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,-10.68,57.16,4.12,14.1,28.36,-16.65,18.4,-46.89,23.07,79.14,28.78,-31.7,-57.9,15.8,47.31,59.7,-14.57,27.38,-28.85,24.09,-52.8,44.22,-7.95,23.96,-13.92,48.72,-4.37,-22.41,1.68,49.4,286.7
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,-10.68,57.16,4.12,14.1,28.36,-16.65,18.4,-46.89,23.07,79.14,28.78,-31.7,-57.9,15.8,47.31,59.7,-14.57,27.38,-28.85,24.09,-52.8,44.22,-7.95,23.96,-13.92,48.72,-4.37,-22.41,1.68,49.4,286.7
Estimated payout,43.32,142.66,85.12,126.6,154.36,55.35,108.4,16.11,131.07,209.64,123.28,31.3,-26.4,60.8,123.81,149.7,52.93,99.38,7.15,73.59,-21.3,84.72,-7.95,77.96,62.58,134.22,45.13,22.59,55.68,125.9,2347.7
Real ACOS,38.74%,25.86%,37.31%,32.02%,33.57%,43.36%,34.02%,54.36%,33.82%,25.4%,32.33%,49.19%,51.69%,33.33%,24.35%,26.94%,39.07%,32.74%,65.02%,33.79%,74.82%,25.38%,0%,31.44%,36.3%,28.86%,42.33%,50.71%,39.88%,27.3%,35.64%
% Refunds,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,28.57%,0%,5.88%,0%,6.67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.09%
Sellable returns,,100%,,,,,0%,,,,,,,,,,,,,100%,,,,,,,,,,,66.67%
Margin,-3.91%,13.62%,1.09%,2.69%,4.83%,-4.96%,4.38%,-15.96%,4.58%,13%,6.86%,-10.79%,-39.14%,7.19%,13.45%,13.57%,-4.42%,7.78%,-16.4%,9.96%,-34.3%,22.34%,0%,9.08%,-3.72%,11.66%,-1.81%,-10.19%,0.64%,13.21%,2.92%
ROI,-19.78%,63.51%,5.09%,12.53%,22.51%,-23.13%,20.44%,-74.43%,21.36%,60.64%,30.46%,-50.32%,-183.81%,35.11%,61.84%,66.33%,-21.59%,38.03%,-80.14%,44.61%,-167.62%,109.19%,,44.37%,-18.2%,56.98%,-8.83%,-49.8%,3.11%,64.58%,13.85%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,114,119,147,170,186,143,136,149,155,150,127,140,83,73,85,107,111,112,104,83,108,53,4,83,118,124,95,104,109,106,3402
    Browser sessions,40,49,53,64,69,43,47,44,51,62,41,40,31,26,32,37,37,35,37,30,39,19,1,31,32,36,36,38,39,45,1185
    Mobile app sessions,74,70,94,106,117,100,89,105,104,88,86,100,52,47,53,70,74,77,67,53,69,34,3,52,86,88,59,66,70,61,2217
Unit session percentage,11.4%,16.81%,12.24%,14.71%,15.05%,11.19%,14.71%,9.4%,15.48%,19.33%,15.75%,10%,8.43%,13.7%,20%,18.69%,13.51%,14.29%,7.69%,13.25%,6.48%,16.98%,0%,14.46%,14.41%,15.32%,11.58%,9.62%,11.01%,16.04%,13.49%
