Parameter/Date,31 July 2022,30 July 2022,29 July 2022,28 July 2022,27 July 2022,26 July 2022,25 July 2022,24 July 2022,23 July 2022,22 July 2022,21 July 2022,20 July 2022,19 July 2022,18 July 2022,17 July 2022,16 July 2022,15 July 2022,14 July 2022,13 July 2022,12 July 2022,11 July 2022,10 July 2022,9 July 2022,8 July 2022,7 July 2022,6 July 2022,5 July 2022,4 July 2022,3 July 2022,2 July 2022,1 July 2022,Total
Refund cost,0,0,-18.47,0,0,0,-18.47,0,0,0,0,-13.97,0,-18.47,0,0,-36.94,0,0,-18.47,0,0,4.5,0,4.5,0,0,0,-18.47,-18.47,0,-152.73
    Refunded referral fee,0,0,3.15,0,0,0,3.15,0,0,0,0,3.15,0,3.15,0,0,6.3,0,0,3.15,0,0,0,0,0,0,0,0,3.15,3.15,0,28.35
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,4.5,0,4.5,0,0,0,0,0,0,13.5
    Refund commission,0,0,-0.63,0,0,0,-0.63,0,0,0,0,-0.63,0,-0.63,0,0,-1.26,0,0,-0.63,0,0,0,0,0,0,0,0,-0.63,-0.63,0,-5.67
    Refunded amount,0,0,-20.99,0,0,0,-20.99,0,0,0,0,-20.99,0,-20.99,0,0,-41.98,0,0,-20.99,0,0,0,0,0,0,0,0,-20.99,-20.99,0,-188.91
Amazon fees,-104.4,-182.7,-194.39,-216.59,-129.77,-163.22,-239.39,-153.9,-196.63,-205.19,-128.25,-188.1,-145.35,-88.5,-153.89,-175.65,-102.6,-76.95,-192.75,-272.34,-141.46,-222.28,-132.91,-153.9,-330.27,-184.21,-180.32,-153.9,-162.45,-171,-171,-5314.26
    FBA per unit fulfilment fee,-64.8,-113.4,-118.79,-134.99,-97.2,-118.8,-151.19,-97.2,-124.18,-129.59,-81,-118.8,-91.8,-54,-97.19,-118.79,-64.8,-48.6,-129.59,-172.8,-97.2,-140.38,-91.8,-97.2,-124.2,-124.2,-129.6,-97.2,-102.6,-108,-108,-3347.89
    Referral fee,-39.6,-69.3,-72.6,-81.6,-56.7,-69.3,-88.2,-56.7,-72.45,-75.6,-47.25,-69.3,-53.55,-31.5,-56.7,-69.3,-37.8,-28.35,-75.6,-99.54,-56.7,-81.9,-53.55,-56.7,-72.45,-72.45,-75.6,-56.7,-59.85,-63,-63,-1962.84
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133.62,0,0,0,0,0,0,-133.62
    FBA disposal fee,0,0,-3,0,-0.75,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.75
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44,0,0,0,0,0,12.44
    Reversal reimbursement,0,0,0,0,24.88,24.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44,0,0,0,0,0,0,0,0,62.2
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44,0,0,12.44,0,12.44,0,0,0,0,0,24.88,0,0,0,0,62.2
Cost of goods,-54,-94.5,-99,-112.5,-81,-99,-126,-81,-103.5,-108,-67.5,-99,-76.5,-45,-81,-103.5,-54,-40.5,-112.5,-144,-85.5,-117,-76.5,-81,-103.5,-103.5,-117,-81,-85.5,-90,-90,-2812.5
    Cost of goods sold,-54,-94.5,-99,-112.5,-81,-99,-126,-81,-103.5,-108,-67.5,-99,-76.5,-45,-81,-99,-54,-40.5,-108,-144,-81,-117,-76.5,-81,-103.5,-103.5,-108,-81,-85.5,-90,-90,-2790
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5,0,0,-4.5,0,-4.5,0,0,0,0,0,-9,0,0,0,0,-22.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,105.48,184.59,171.92,214.66,167.05,199.56,203.86,142.92,182.64,190.57,119.1,160.71,134.98,57.93,142.93,182.63,58.34,71.46,198.51,228.47,150.86,206.46,151.92,142.92,53.5,195.06,206.44,142.92,132.39,140.33,158.8,4799.91
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,105.48,184.59,171.92,214.66,167.05,199.56,203.86,142.92,182.64,190.57,119.1,160.71,134.98,57.93,142.93,182.63,58.34,71.46,198.51,228.47,150.86,206.46,151.92,142.92,53.5,195.06,206.44,142.92,132.39,140.33,158.8,4799.91
Estimated payout,159.48,279.09,270.92,327.16,248.05,298.56,329.86,223.92,286.14,298.57,186.6,255.21,211.48,102.93,223.93,286.13,112.34,111.96,311.01,372.47,236.36,323.46,223.92,223.92,152.5,298.56,323.44,223.92,217.89,230.33,248.8,7598.91
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,4.55%,0%,0%,0%,3.57%,0%,0%,0%,0%,4.55%,0%,10%,0%,0%,16.67%,0%,0%,3.13%,0%,0%,0%,0%,0%,0%,0%,0%,5.26%,5%,0%,1.45%
Sellable returns,0%,,,,,0%,,,,,,100%,,,,,,0%,,,0%,,100%,0%,100%,,,,,,,33.33%
Margin,39.97%,39.97%,35.54%,39.48%,44.21%,43.22%,34.69%,37.83%,37.83%,37.83%,37.83%,34.8%,37.83%,27.6%,37.83%,39.55%,23.16%,37.83%,39.41%,34.45%,39.93%,37.83%,42.57%,37.83%,11.08%,40.4%,40.98%,37.83%,33.2%,33.43%,37.83%,36.7%
ROI,195.33%,195.33%,173.66%,190.81%,206.23%,201.58%,161.79%,176.44%,176.46%,176.45%,176.44%,162.33%,176.44%,128.73%,176.46%,176.45%,108.04%,176.44%,176.45%,158.66%,176.44%,176.46%,198.59%,176.44%,51.69%,188.46%,176.44%,176.44%,154.84%,155.92%,176.44%,170.66%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
