Parameter/Date,30 June 2023,29 June 2023,28 June 2023,27 June 2023,26 June 2023,25 June 2023,24 June 2023,23 June 2023,22 June 2023,21 June 2023,20 June 2023,19 June 2023,18 June 2023,17 June 2023,16 June 2023,15 June 2023,14 June 2023,13 June 2023,12 June 2023,11 June 2023,10 June 2023,9 June 2023,8 June 2023,7 June 2023,6 June 2023,5 June 2023,4 June 2023,3 June 2023,2 June 2023,1 June 2023,Total
    FBA per unit fulfilment fee,-48.6,-109.37,-113.4,-91.8,-81,-113.4,-102.6,-91.8,-62.82,-70.2,-81,-86.4,-129.6,-86.4,-59.4,-70.2,-81,-48.6,-54,-91.8,-37.8,-64.8,-113.4,-54,-118.8,-97.2,-81,-81,-59.4,-54,-2434.79
    Referral fee,-29.7,-61.08,-69.3,-56.1,-49.5,-69.3,-62.7,-56.1,-35.5,-42.9,-49.5,-52.8,-79.2,-52.8,-36.3,-42.9,-49.5,-29.7,-33,-56.1,-23.1,-39.6,-69.3,-33,-72.6,-59.4,-49.5,-49.5,-36.3,-33,-1479.28
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52.48,0,0,0,0,0,0,0,-52.48
    Compensated clawback,0,0,0,0,0,0,0,0,0,0,0,-12.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.98
    Warehouse lost manual,0,0,0,0,0,0,0,0,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.05
Cost of goods,-40.5,-85.5,-94.5,-76.5,-67.5,-94.5,-85.5,-76.5,-54,-58.5,-67.5,-67.5,-108,-72,-49.5,-58.5,-67.5,-40.5,-45,-76.5,-31.5,-54,-94.5,-45,-99,-81,-67.5,-67.5,-49.5,-45,-2020.5
    Cost of goods sold,-40.5,-85.5,-94.5,-76.5,-67.5,-94.5,-85.5,-76.5,-49.5,-58.5,-67.5,-72,-108,-72,-49.5,-58.5,-67.5,-40.5,-45,-76.5,-31.5,-54,-94.5,-45,-99,-81,-67.5,-67.5,-49.5,-45,-2020.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,-4.5,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,41.38,114.33,160.1,124.95,97.25,154.47,145.02,103.64,78.26,71.52,103.23,82.15,164.02,115.77,77.91,86.3,109.87,29.44,64.12,131.06,24.52,66.44,105.94,75.43,178.02,118.54,89.74,111.02,73.29,50.44,2948.17
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,41.38,114.33,160.1,124.95,97.25,154.47,145.02,103.64,78.26,71.52,103.23,82.15,164.02,115.77,77.91,86.3,109.87,29.44,64.12,131.06,24.52,66.44,105.94,75.43,178.02,118.54,89.74,111.02,73.29,50.44,2948.17
Estimated payout,81.88,199.83,254.6,201.45,164.75,248.97,230.52,180.14,132.26,130.02,170.73,149.65,272.02,187.77,127.41,144.8,177.37,69.94,109.12,207.56,56.02,120.44,200.44,120.43,277.02,199.54,152.74,178.52,122.79,95.44,4964.17
Real ACOS,9.29%,9.03%,5.3%,6.55%,10.49%,6.52%,5.26%,7.07%,7.2%,8.19%,8.68%,8.71%,5.23%,7.07%,7.76%,9.78%,6.66%,15.32%,10.81%,4.91%,11.47%,7.46%,5.67%,5.67%,3.17%,5.14%,8.26%,6.31%,9.67%,8.24%,7.22%
% Refunds,11.11%,0%,0%,0%,0%,0%,0%,5.88%,0%,7.69%,0%,6.25%,4.17%,0%,0%,0%,0%,11.11%,0%,0%,14.29%,8.33%,0%,0%,0%,5.56%,6.67%,0%,0%,10%,2.45%
Sellable returns,,,,,,,,,,0%,,,,0%,,0%,,0%,,0%,,,,,,,33.33%,,,,11.11%
Margin,20.91%,28.09%,34.67%,33.42%,29.48%,33.45%,34.71%,27.72%,33.08%,25.02%,31.3%,23.35%,31.08%,32.9%,32.21%,30.19%,33.31%,14.88%,29.16%,35.06%,15.93%,25.18%,22.94%,34.3%,36.8%,29.95%,27.21%,33.66%,30.3%,22.94%,29.91%
ROI,102.17%,133.72%,169.42%,163.33%,144.07%,163.46%,169.61%,135.48%,144.93%,122.26%,152.93%,121.7%,151.87%,160.79%,157.39%,147.52%,162.77%,72.69%,142.49%,171.32%,77.84%,123.04%,112.11%,167.62%,179.82%,146.35%,132.95%,164.47%,148.06%,112.09%,145.91%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3409
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,13.17%
