Parameter/Date,30 November 2023,29 November 2023,28 November 2023,27 November 2023,26 November 2023,25 November 2023,24 November 2023,23 November 2023,22 November 2023,21 November 2023,20 November 2023,19 November 2023,18 November 2023,17 November 2023,16 November 2023,15 November 2023,14 November 2023,13 November 2023,12 November 2023,11 November 2023,10 November 2023,9 November 2023,8 November 2023,7 November 2023,6 November 2023,5 November 2023,4 November 2023,3 November 2023,2 November 2023,1 November 2023,Total
Advertising cost,-57.13,-52.08,-56.83,-75.4,-66.83,-94.02,-68.55,-118.66,-123.6,-109.85,-119.3,-90.56,-86.58,-76.32,-64.68,-65.21,-90.16,-84.15,-94.12,-83.94,-45.26,-20.09,-34.38,-25.83,-27.65,-41.21,-29.57,-26.4,-18.07,-18.02,-1964.45
    Sponsored Products,-52.21,-46.04,-53.08,-68.85,-60.07,-87.55,-61.54,-109.17,-115.93,-102.44,-113.73,-86.21,-81.14,-71.34,-59.47,-59.99,-84.49,-77.29,-90.05,-77.76,-40.56,-17.56,-28.04,-19.76,-20.69,-35.41,-24.3,-20.19,-15.2,-14.92,-1794.98
    Sponsored Brands,-4.92,-6.04,-3.75,-6.55,-6.76,-6.47,-7.01,-9.49,-7.67,-7.41,-5.57,-4.35,-5.44,-4.98,-5.21,-5.22,-5.67,-6.86,-4.07,-6.18,-4.7,-2.53,-6.34,-6.07,-6.96,-5.8,-5.27,-6.21,-2.87,-3.1,-169.47
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-15.48,0,0,-14.85,-19.35,0,-34.83,0,0,0,-14.85,0,0,0,-19.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-118.71
    Refunded referral fee,2.64,0,0,3.3,3.3,0,5.94,0,0,0,3.3,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.78
    Value of returned items,0,0,0,4.5,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
    Refund commission,-0.53,0,0,-0.66,-0.66,0,-1.19,0,0,0,-0.66,0,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.36
    Refunded amount,-17.59,0,0,-21.99,-21.99,0,-39.58,0,0,0,-21.99,0,0,0,-21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-145.13
Amazon fees,-162,-117,-108,-421.58,-284.88,-250.86,-268.2,-325.92,-241.86,-328.59,-333.6,-153,-153,-119.92,-171,-189,-153,-171,-70.58,-122.01,-81,-14.01,-99,-379.07,-162,-108,-108,-117,-18,-45,-5276.08
    FBA per unit fulfilment fee,-102.6,-74.1,-68.4,-273.6,-193.8,-171,-182.4,-222.3,-165.3,-225.87,-228,-96.9,-96.9,-74.1,-108.3,-119.7,-96.9,-108.3,-51.3,-85.5,-51.3,-17.1,-62.7,-45.6,-102.6,-68.4,-68.4,-74.1,-11.4,-28.5,-3275.37
    Referral fee,-59.4,-42.9,-39.6,-126.72,-91.08,-79.86,-85.8,-103.62,-76.56,-102.72,-105.6,-56.1,-56.1,-42.9,-62.7,-69.3,-56.1,-62.7,-29.7,-49.5,-29.7,-9.9,-36.3,-26.4,-59.4,-39.6,-39.6,-42.9,-6.6,-16.5,-1705.86
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-307.07,0,0,0,0,0,0,-307.07
    Compensated clawback,0,0,0,-21.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.26
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.92
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.42,0,0,0,0,0,0,0,0,0,0,0,10.42
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99,0,12.99,0,0,0,0,0,0,0,0,25.98
Cost of goods,-81,-58.5,-54,-207,-153,-135,-144,-175.5,-130.5,-175.5,-184.5,-76.5,-76.5,-58.5,-85.5,-94.5,-76.5,-85.5,-45,-67.5,-45,-13.5,-49.5,-36,-85.5,-54,-54,-58.5,-9,-22.5,-2592
    Cost of goods sold,-81,-58.5,-54,-216,-153,-135,-144,-175.5,-130.5,-175.5,-184.5,-76.5,-76.5,-58.5,-85.5,-94.5,-76.5,-85.5,-40.5,-67.5,-45,-13.5,-49.5,-36,-85.5,-54,-54,-58.5,-9,-22.5,-2596.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,4.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,80.21,58.29,45.05,125.49,82.8,52.22,56.1,70.33,14.15,70.46,51.35,53.77,57.75,31.13,77.28,113.08,54.17,77.16,-11.79,56.4,26.65,18.37,59.01,-264.98,120.67,60.67,72.31,83.97,-1.09,24.43,1415.41
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,80.21,58.29,45.05,125.49,82.8,52.22,56.1,70.33,14.15,70.46,51.35,53.77,57.75,31.13,77.28,113.08,54.17,77.16,-11.79,56.4,26.65,18.37,59.01,-264.98,120.67,60.67,72.31,83.97,-1.09,24.43,1415.41
Estimated payout,161.21,116.79,99.05,327.99,235.8,187.22,200.1,245.83,144.65,245.96,231.35,130.27,134.25,89.63,162.78,207.58,130.67,162.66,33.21,123.9,71.65,31.87,108.51,-228.98,206.17,114.67,126.31,142.47,7.91,46.93,3998.41
Real ACOS,14.43%,18.22%,21.54%,8.93%,11.01%,17.67%,11.99%,17.19%,24.23%,16.05%,16.96%,24.22%,23.16%,26.7%,15.48%,14.12%,24.12%,20.14%,47.56%,25.45%,22.87%,30.45%,14.21%,14.68%,6.99%,15.62%,11.21%,9.23%,41.09%,16.39%,17.28%
% Refunds,5.56%,0%,0%,2.08%,2.94%,0%,6.25%,0%,0%,0%,2.44%,0%,0%,0%,5.26%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.21%
Sellable returns,,,,100%,,,,,,,100%,,,,,,,,,,,,,,,,,,,,100%
Margin,20.26%,20.39%,17.07%,14.86%,13.64%,9.81%,9.81%,10.19%,2.77%,10.3%,7.3%,14.38%,15.45%,10.89%,18.5%,24.49%,14.49%,18.47%,-5.96%,17.1%,13.47%,27.85%,24.4%,-150.63%,30.49%,22.99%,27.4%,29.37%,-2.48%,22.22%,12.45%
ROI,99.02%,99.64%,83.43%,60.62%,54.12%,38.68%,38.96%,40.07%,10.84%,40.15%,27.83%,70.29%,75.49%,53.21%,90.39%,119.66%,70.81%,90.25%,-26.2%,83.56%,59.22%,136.07%,119.21%,-736.06%,141.13%,112.35%,133.91%,143.54%,-12.11%,108.58%,54.61%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3715
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2237
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15.53%
