Parameter/Date,30 April 2024,29 April 2024,28 April 2024,27 April 2024,26 April 2024,25 April 2024,24 April 2024,23 April 2024,22 April 2024,21 April 2024,20 April 2024,19 April 2024,18 April 2024,17 April 2024,16 April 2024,15 April 2024,14 April 2024,13 April 2024,12 April 2024,11 April 2024,10 April 2024,9 April 2024,8 April 2024,7 April 2024,6 April 2024,5 April 2024,4 April 2024,3 April 2024,2 April 2024,1 April 2024,Total
    Direct units,8,7,8,13,11,4,9,6,10,6,3,11,9,11,9,12,11,11,9,9,11,13,8,10,7,15,6,11,9,19,286
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-25.94,-25.55,-19.13,-29.39,-36.13,-19.08,-17.21,-19.78,-27.81,-27.12,-25.51,-17.81,-25.06,-23.83,-25.82,-13.73,-24.28,-29.99,-19.8,-22.18,-22.75,-30.36,-23.14,-35.16,-32.23,-30.86,-33.54,-36.29,-31.12,-33.01,-783.61
    Sponsored Products,-25.94,-25.55,-19.13,-29.39,-36.13,-19.08,-17.21,-19.78,-27.81,-27.12,-25.51,-17.81,-25.06,-23.83,-25.82,-13.73,-24.28,-29.99,-19.8,-22.18,-22.75,-30.36,-23.14,-35.16,-32.23,-30.86,-33.54,-36.29,-31.12,-33.01,-783.61
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,-19.35,-14.85,4.5,0,0,0,-19.35,-19.35,0,-19.35,0,0,0,0,0,0,0,0,0,0,0,0,-19.35,0,-107.1
    Refunded referral fee,0,0,0,0,0,0,3.3,3.3,0,0,0,0,3.3,3.3,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,19.8
    Value of returned items,0,0,0,0,0,0,0,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
    Refund commission,0,0,0,0,0,0,-0.66,-0.66,0,0,0,0,-0.66,-0.66,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,0,-0.66,0,-3.96
    Refunded amount,0,0,0,0,0,0,-21.99,-21.99,0,0,0,0,-21.99,-21.99,0,-21.99,0,0,0,0,0,0,0,0,0,0,0,0,-21.99,0,-131.94
Amazon fees,-65.6,-57.4,-65.6,-92.81,-90.2,-32.8,-60.01,-49.2,-82,-49.2,-10.81,-90.2,-73.8,-90.2,-73.8,-98.4,-91.2,-91.6,-75.4,-75.6,-92.2,-110.73,-67.2,-163.74,-45.21,-126,-50.4,-92.4,-50.58,-161.04,-2375.33
    FBA per unit fulfilment fee,-39.2,-34.3,-39.2,-63.7,-53.9,-19.6,-44.1,-29.4,-49,-29.4,-14.7,-53.9,-44.1,-53.9,-44.1,-58.8,-54.9,-55.3,-45.7,-45.9,-55.9,-66.3,-40.8,-45.9,-35.7,-76.5,-30.6,-56.1,-46.35,-98.34,-1425.59
    Referral fee,-26.4,-23.1,-26.4,-42.9,-36.3,-13.2,-29.7,-19.8,-33,-19.8,-9.9,-36.3,-29.7,-36.3,-29.7,-39.6,-36.3,-36.3,-29.7,-29.7,-36.3,-42.9,-26.4,-29.7,-23.1,-49.5,-19.8,-36.3,-29.7,-62.7,-940.5
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88.14,0,0,0,0,0,0,-88.14
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53,0,0,0,0,0,0,-1.53,0,-3.06
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,13.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.79
    Warehouse lost manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27
    Reversal reimbursement,0,0,0,13.79,0,0,13.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.59,0,0,0,0,0,41.17
Cost of goods,-36,-31.5,-36,-58.5,-49.5,-18,-40.5,-27,-45,-27,-18,-49.5,-40.5,-49.5,-40.5,-54,-49.5,-49.5,-40.5,-40.5,-49.5,-58.5,-36,-45,-31.5,-67.5,-27,-49.5,-49.5,-85.5,-1300.5
    Cost of goods sold,-36,-31.5,-36,-58.5,-49.5,-18,-40.5,-27,-45,-27,-13.5,-49.5,-40.5,-49.5,-40.5,-54,-49.5,-49.5,-40.5,-40.5,-49.5,-58.5,-36,-45,-31.5,-67.5,-27,-49.5,-40.5,-85.5,-1287
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-13.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,48.38,39.48,55.19,105.17,66.06,18.08,60.84,21.11,69.59,28.62,11.65,84.38,39.2,59.01,57.79,78.4,76.91,70.8,62.21,59.63,77.44,86.28,49.58,-45.99,44.99,105.49,21,63.7,47.36,138.26,1700.61
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,48.38,39.48,55.19,105.17,66.06,18.08,60.84,21.11,69.59,28.62,11.65,84.38,39.2,59.01,57.79,78.4,76.91,70.8,62.21,59.63,77.44,86.28,49.58,-45.99,44.99,105.49,21,63.7,47.36,138.26,1700.61
Estimated payout,84.38,70.98,91.19,163.67,115.56,36.08,101.34,43.61,110.09,55.62,29.65,133.88,79.7,108.51,98.29,132.4,126.41,120.3,102.71,100.13,126.94,144.78,85.58,-0.99,76.49,172.99,48,113.2,96.86,223.76,2992.11
Real ACOS,14.75%,16.6%,10.87%,10.28%,14.94%,21.69%,8.7%,14.99%,12.65%,20.55%,38.67%,7.36%,12.66%,9.85%,13.05%,5.2%,10.04%,12.4%,10%,11.21%,9.41%,10.62%,13.15%,17.77%,20.94%,9.36%,25.42%,15%,15.72%,7.9%,12.5%
% Refunds,0%,0%,0%,0%,0%,0%,11.11%,16.67%,0%,0%,0%,0%,11.11%,9.09%,0%,8.33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11.11%,0%,2.1%
Sellable returns,,,0%,,0%,,,50%,100%,,,,,,,,,,,,,,,,,,,,,,40%
Margin,27.5%,25.65%,31.37%,36.79%,27.31%,20.55%,30.74%,16%,31.65%,21.69%,17.66%,34.88%,19.81%,24.4%,29.2%,29.71%,31.8%,29.27%,31.43%,30.13%,32.01%,30.18%,28.18%,-23.24%,29.23%,31.98%,15.92%,26.33%,23.93%,33.09%,27.14%
ROI,134.39%,125.33%,153.31%,179.78%,133.45%,100.44%,150.22%,78.19%,154.64%,106%,64.72%,170.46%,96.79%,119.21%,142.69%,145.19%,155.37%,143.03%,153.6%,147.23%,156.44%,147.49%,137.72%,-102.2%,142.83%,156.28%,77.78%,128.69%,95.68%,161.71%,130.77%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,67,61,66,83,79,52,49,54,62,69,52,61,59,57,43,45,69,66,52,66,54,76,70,89,86,96,104,97,73,98,2055
    Browser sessions,38,30,30,41,34,30,20,30,33,30,20,29,21,24,18,23,24,25,21,20,21,33,29,34,36,44,49,44,34,48,913
    Mobile app sessions,29,31,36,42,45,22,29,24,29,39,32,32,38,33,25,22,45,41,31,46,33,43,41,55,50,52,55,53,39,50,1142
Unit session percentage,11.94%,11.48%,12.12%,15.66%,13.92%,7.69%,18.37%,11.11%,16.13%,8.7%,5.77%,18.03%,15.25%,19.3%,20.93%,26.67%,15.94%,16.67%,17.31%,13.64%,20.37%,17.11%,11.43%,11.24%,8.14%,15.63%,5.77%,11.34%,12.33%,19.39%,13.92%
