Parameter/Date,30 April 2023,29 April 2023,28 April 2023,27 April 2023,26 April 2023,25 April 2023,24 April 2023,23 April 2023,22 April 2023,21 April 2023,20 April 2023,19 April 2023,18 April 2023,17 April 2023,16 April 2023,15 April 2023,14 April 2023,13 April 2023,12 April 2023,11 April 2023,10 April 2023,9 April 2023,8 April 2023,7 April 2023,6 April 2023,5 April 2023,4 April 2023,3 April 2023,2 April 2023,1 April 2023,Total
    Refunded amount,0,-43.98,0,0,-43.98,0,-65.97,-21.99,0,0,-21.99,0,0,0,-21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-219.9
Amazon fees,-165.3,-97.95,-139.2,-116.84,-228.04,-87,-156.6,-69.6,-130.5,-139.2,-87,-121.32,-78.3,-147.9,-104.4,-113.1,-113.1,-87,-147.9,-60.9,-104.4,-104.4,-121.8,-102.8,-69.6,-113.1,-57.77,-139.2,-143.31,-43.5,-3391.03
    FBA per unit fulfilment fee,-102.6,-62.53,-86.4,-64.8,-67.95,-54,-97.2,-43.2,-81,-86.4,-54,-91.8,-48.6,-91.8,-64.8,-70.2,-70.2,-54,-91.8,-37.8,-64.8,-64.8,-75.6,-43.2,-43.2,-70.2,-43.2,-86.4,-97.2,-27,-2036.68
    Referral fee,-62.7,-35.42,-52.8,-39.6,-38.72,-33,-59.4,-26.4,-49.5,-52.8,-33,-56.1,-29.7,-56.1,-39.6,-42.9,-42.9,-33,-56.1,-23.1,-39.6,-39.6,-46.2,-26.4,-26.4,-42.9,-26.4,-52.8,-59.4,-16.5,-1239.04
    Compensated clawback,0,0,0,-12.44,-118.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-130.89
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.2,0,0,0,0,0,0,-33.2
    FBA disposal fee,0,0,0,0,-2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.46,0,0,0,-4.38
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29,0,13.29,0,39.87
Cost of goods,-85.5,-49.5,-72,-49.5,-13.5,-45,-81,-36,-67.5,-72,-45,-76.5,-40.5,-76.5,-54,-58.5,-58.5,-45,-76.5,-31.5,-54,-54,-63,-36,-36,-58.5,-36,-72,-81,-22.5,-1647
    Cost of goods sold,-85.5,-49.5,-72,-54,-54,-45,-81,-36,-67.5,-72,-45,-76.5,-40.5,-76.5,-54,-58.5,-58.5,-45,-76.5,-31.5,-54,-54,-63,-36,-36,-58.5,-36,-72,-81,-22.5,-1692
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,4.5,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,136.07,28.07,121.54,79.48,-30.04,69.47,74.76,28.49,113.46,121.73,51.39,159.16,61.87,122.78,70.8,100.49,99.78,71.46,130.1,35.72,87.4,75.61,102.41,11.55,55.45,92.09,63.96,119.63,146.97,25.19,2426.84
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,136.07,28.07,121.54,79.48,-30.04,69.47,74.76,28.49,113.46,121.73,51.39,159.16,61.87,122.78,70.8,100.49,99.78,71.46,130.1,35.72,87.4,75.61,102.41,11.55,55.45,92.09,63.96,119.63,146.97,25.19,2426.84
Estimated payout,221.57,77.57,193.54,128.98,-25.54,114.47,155.76,64.49,180.96,193.73,96.39,235.66,102.37,199.28,120.3,158.99,158.28,116.46,206.6,67.22,141.4,129.61,165.41,47.55,91.45,150.59,99.96,191.63,227.97,47.69,4060.34
Real ACOS,7.41%,9.23%,5.43%,6.84%,6.52%,8.38%,6.42%,12.78%,5.58%,5.37%,7.8%,4.51%,8.71%,7.13%,7.51%,4.82%,5.07%,7.48%,5.17%,16.77%,6.85%,11.32%,6.71%,14.54%,8.45%,7.76%,10.34%,5.97%,6.2%,17.06%,7.41%
% Refunds,0%,18.18%,0%,0%,16.67%,0%,16.67%,12.5%,0%,0%,10%,0%,0%,0%,8.33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.66%
Sellable returns,,,0%,,100%,,,0%,,,,,,0%,100%,,,,,,,0%,,,,,,,0%,,37.5%
Margin,32.57%,11.89%,34.54%,30.12%,-11.64%,31.59%,18.89%,16.19%,34.4%,34.6%,23.37%,42.58%,31.26%,32.84%,26.83%,35.15%,34.9%,32.5%,34.8%,23.21%,33.12%,28.65%,33.27%,6.57%,31.52%,32.21%,36.36%,34%,37.13%,22.91%,29.39%
ROI,159.15%,56.71%,168.81%,160.57%,-222.52%,154.38%,92.3%,79.14%,168.09%,169.07%,114.2%,208.05%,152.77%,160.5%,131.11%,171.78%,170.56%,158.8%,170.07%,113.4%,161.85%,140.02%,162.56%,32.08%,154.03%,157.42%,177.67%,166.15%,181.44%,111.96%,147.35%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3397
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1546
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11.07%
