Parameter/Date,31 January 2026,30 January 2026,29 January 2026,28 January 2026,27 January 2026,26 January 2026,25 January 2026,24 January 2026,23 January 2026,22 January 2026,21 January 2026,20 January 2026,19 January 2026,18 January 2026,17 January 2026,16 January 2026,15 January 2026,14 January 2026,13 January 2026,12 January 2026,11 January 2026,10 January 2026,9 January 2026,8 January 2026,7 January 2026,6 January 2026,5 January 2026,4 January 2026,3 January 2026,2 January 2026,1 January 2026,Total
    Direct units,13,8,5,9,13,9,10,10,9,13,12,7,17,7,13,13,12,14,10,15,18,21,8,9,14,16,11,16,20,20,21,393
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-107.13,-84.92,-61.77,-92.22,-71.74,-91.6,-129.29,-132.97,-110.64,-99.26,-125.54,-146.84,-166.48,-188.07,-171.97,-136.22,-147.54,-130.67,-158.76,-169.88,-202.52,-204.92,-151.54,-141.34,-184.06,-158.33,-122.29,-214.21,-174.21,-218.21,-160.52,-4455.66
    Sponsored Products,-107.13,-84.92,-61.77,-92.22,-71.74,-91.6,-129.29,-132.97,-110.64,-99.26,-125.54,-146.84,-166.48,-188.07,-171.97,-136.22,-147.54,-130.67,-158.76,-169.88,-202.52,-204.92,-151.54,-141.34,-184.06,-158.33,-122.29,-214.21,-174.21,-218.21,-160.52,-4455.66
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,-20.23,0,0,-20.23,-20.23,0,0,0,0,4.5,4.5,0,-20.23,0,0,4.5,4.5,-20.23,0,0,0,0,-20.23,0,0,0,0,-20.23,-123.61
    Refunded referral fee,0,0,0,3.45,0,0,3.45,3.45,0,0,0,0,0,0,0,3.45,0,0,0,0,3.45,0,0,0,0,3.45,0,0,0,0,3.45,24.15
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,0,0,0,0,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,18
    Refund commission,0,0,0,-0.69,0,0,-0.69,-0.69,0,0,0,0,0,0,0,-0.69,0,0,0,0,-0.69,0,0,0,0,-0.69,0,0,0,0,-0.69,-4.83
    Refunded amount,0,0,0,-22.99,0,0,-22.99,-22.99,0,0,0,0,0,0,0,-22.99,0,0,0,0,-22.99,0,0,0,0,-22.99,0,0,0,0,-22.99,-160.93
Amazon fees,-114.14,-70.24,-43.9,-79.02,-108.26,-79.02,-87.8,-87.8,-79.02,-114.14,-99.48,-61.46,-149.26,-61.46,-114.14,-114.14,-105.36,-124.22,-89.88,-135.6,-162.72,-189.58,-72.32,-81.36,-698.29,-144.64,-99.44,-144.64,-180.8,-168.38,-189.84,-4050.35
    FBA per unit fulfilment fee,-69.29,-42.64,-26.65,-47.97,-69.29,-47.97,-53.3,-53.3,-47.97,-69.29,-63.96,-37.31,-90.61,-37.31,-69.29,-69.29,-63.96,-75.92,-55.38,-83.85,-100.62,-117.13,-44.72,-50.31,-78.26,-89.44,-61.49,-89.44,-111.8,-111.8,-117.39,-2146.95
    Referral fee,-44.85,-27.6,-17.25,-31.05,-44.85,-31.05,-34.5,-34.5,-31.05,-44.85,-41.4,-24.15,-58.65,-24.15,-44.85,-44.85,-41.4,-48.3,-34.5,-51.75,-62.1,-72.45,-27.6,-31.05,-48.3,-55.2,-37.95,-55.2,-69,-69,-72.45,-1355.85
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-571.73,0,0,0,0,0,0,-571.73
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53,0,-1.53
    Warehouse lost,0,0,0,0,5.88,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.95,0,13.95
Cost of goods,-58.5,-36,-22.5,-40.5,-63,-40.5,-45,-45,-40.5,-58.5,-58.5,-31.5,-76.5,-31.5,-58.5,-58.5,-54,-63,-45,-67.5,-81,-94.5,-36,-40.5,-63,-72,-49.5,-72,-90,-90,-94.5,-1777.5
    Cost of goods sold,-58.5,-36,-22.5,-40.5,-58.5,-40.5,-45,-45,-40.5,-58.5,-54,-31.5,-76.5,-31.5,-58.5,-58.5,-54,-63,-45,-67.5,-81,-94.5,-36,-40.5,-63,-72,-49.5,-72,-90,-90,-94.5,-1768.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,-4.5,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,19.1,-7.24,-13.22,-25.06,55.87,-4.21,-52.42,-56.1,-23.25,26.97,-7.64,-78.87,3.09,-115.6,-45.74,-30.22,-31.02,3.97,-59.24,-23.63,-52.65,-6.21,-75.94,-56.29,-623.49,-27.36,-18.34,-63.01,14.79,-16.79,17.7,-1372.05
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,19.1,-7.24,-13.22,-25.06,55.87,-4.21,-52.42,-56.1,-23.25,26.97,-7.64,-78.87,3.09,-115.6,-45.74,-30.22,-31.02,3.97,-59.24,-23.63,-52.65,-6.21,-75.94,-56.29,-623.49,-27.36,-18.34,-63.01,14.79,-16.79,17.7,-1372.05
Estimated payout,77.6,28.76,9.28,15.44,118.87,36.29,-7.42,-11.1,17.25,85.47,50.86,-47.37,75.09,-88.6,12.76,28.28,22.98,66.97,-18.74,39.37,28.35,88.29,-39.94,-15.79,-560.49,44.64,31.16,8.99,104.79,73.21,112.2,387.45
Real ACOS,35.85%,46.17%,53.74%,44.57%,24%,44.27%,56.24%,57.84%,53.47%,33.21%,45.51%,91.24%,42.6%,116.86%,57.54%,45.58%,53.48%,40.6%,69.06%,49.26%,48.94%,42.44%,82.39%,68.31%,57.19%,43.04%,48.36%,58.23%,37.89%,47.46%,33.25%,49.32%
% Refunds,0%,0%,0%,11.11%,0%,0%,10%,10%,0%,0%,0%,0%,0%,0%,0%,7.69%,0%,0%,0%,0%,5.56%,0%,0%,0%,0%,6.25%,0%,0%,0%,0%,4.76%,1.78%
Sellable returns,,,,,,,,,,,,,100%,100%,,,,,100%,100%,,,,,,,,,,,,100%
Margin,6.39%,-3.94%,-11.5%,-12.11%,18.69%,-2.03%,-22.8%,-24.4%,-11.24%,9.02%,-2.77%,-49.01%,0.79%,-71.83%,-15.3%,-10.11%,-11.24%,1.23%,-25.77%,-6.85%,-12.72%,-1.29%,-41.29%,-27.21%,-193.71%,-7.44%,-7.25%,-17.13%,3.22%,-3.65%,3.67%,-15.19%
ROI,32.65%,-20.11%,-58.76%,-61.88%,88.68%,-10.4%,-116.49%,-124.67%,-57.41%,46.1%,-13.06%,-250.38%,4.04%,-366.98%,-78.19%,-51.66%,-57.44%,6.3%,-131.64%,-35.01%,-65%,-6.57%,-210.94%,-138.99%,-989.67%,-38%,-37.05%,-87.51%,16.43%,-18.66%,18.73%,-77.19%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,92,65,58,77,60,80,109,108,95,75,93,106,128,142,147,121,99,104,0,125,160,154,117,114,146,128,108,165,143,164,131,3414
    Browser sessions,21,23,19,27,19,29,25,33,22,24,25,29,39,39,36,35,25,30,0,32,42,34,35,31,53,35,29,47,47,43,32,960
    Mobile app sessions,71,42,39,50,41,51,84,75,73,51,68,77,89,103,111,86,74,74,0,93,118,120,82,83,93,93,79,118,96,121,99,2454
Unit session percentage,14.13%,12.31%,8.62%,11.69%,21.67%,11.25%,9.17%,9.26%,9.47%,17.33%,12.9%,6.6%,13.28%,4.93%,8.84%,10.74%,12.12%,13.46%,0%,12%,11.25%,13.64%,6.84%,7.89%,9.59%,12.5%,10.19%,9.7%,13.99%,12.2%,16.03%,11.51%
