Parameter/Date,31 December 2023,30 December 2023,29 December 2023,28 December 2023,27 December 2023,26 December 2023,25 December 2023,24 December 2023,23 December 2023,22 December 2023,21 December 2023,20 December 2023,19 December 2023,18 December 2023,17 December 2023,16 December 2023,15 December 2023,14 December 2023,13 December 2023,12 December 2023,11 December 2023,10 December 2023,9 December 2023,8 December 2023,7 December 2023,6 December 2023,5 December 2023,4 December 2023,3 December 2023,2 December 2023,1 December 2023,Total
    Direct units,27,29,32,28,34,18,20,18,23,18,24,25,20,22,33,32,18,24,17,22,28,15,18,19,21,19,11,12,9,13,17,666
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,1,9
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-126.37,-142.67,-132.97,-136.98,-130.88,-140.85,-114.71,-116.73,-115.09,-111.67,-111.29,-114,-114.82,-111.98,-129.23,-116.06,-109.09,-113.27,-113.09,-66.35,-72.69,-70.68,-86.33,-95.19,-98.11,-82.52,-85.17,-85.81,-55.62,-69.2,-46.87,-3216.29
    Sponsored Products,-126.37,-142.67,-132.97,-136.98,-130.88,-140.85,-114.71,-116.73,-115.09,-111.67,-111.29,-114,-114.82,-111.98,-129.23,-116.06,-109.09,-113.27,-113.09,-59.97,-64.63,-59.99,-77.28,-90.64,-92.24,-75.8,-79.43,-80.54,-51.29,-64.78,-40.07,-3138.41
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.38,-8.06,-10.69,-9.05,-4.55,-5.87,-6.72,-5.74,-5.27,-4.33,-4.42,-6.8,-77.88
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,-19.35,-14.85,0,0,0,0,0,-19.35,0,-34.83,4.5,-19.35,4.5,0,0,0,9,0,-15.48,-10.98,0,0,-15.48,-131.67
    Value of returned items,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,4.5,0,4.5,0,0,0,9,0,0,4.5,0,0,0,27
    Refunded referral fee,0,0,0,0,0,0,0,0,3.3,3.3,0,0,0,0,0,3.3,0,5.94,0,3.3,0,0,0,0,0,0,2.64,2.64,0,0,2.64,27.06
    Refund commission,0,0,0,0,0,0,0,0,-0.66,-0.66,0,0,0,0,0,-0.66,0,-1.19,0,-0.66,0,0,0,0,0,0,-0.53,-0.53,0,0,-0.53,-5.42
    Refunded amount,0,0,0,0,0,0,0,0,-21.99,-21.99,0,0,0,0,0,-21.99,0,-39.58,0,-21.99,0,0,0,0,0,0,-17.59,-17.59,0,0,-17.59,-180.31
Amazon fees,-243,-261,-288,-252,-306,-162,-179.7,-194.7,-220.29,-186.04,-216,-226.46,-181.46,-198,-297,-288,-162,-216,-153,-198,-254.81,-135,-149.01,-165.3,-777.1,-171,-99,-108,-81,-117,-153,-6638.87
    FBA per unit fulfilment fee,-153.9,-165.3,-182.4,-159.6,-193.8,-102.6,-113.7,-102.6,-131.1,-102.6,-136.8,-142.5,-114,-125.4,-188.1,-182.4,-102.6,-136.8,-96.9,-125.4,-163.28,-85.5,-102.6,-102.6,-114,-108.3,-62.7,-68.4,-51.3,-74.1,-96.9,-3788.18
    Referral fee,-89.1,-95.7,-105.6,-92.4,-112.2,-59.4,-66,-59.4,-75.9,-59.4,-79.2,-82.5,-66,-72.6,-108.9,-105.6,-59.4,-79.2,-56.1,-72.6,-91.53,-49.5,-59.4,-62.7,-66,-62.7,-36.3,-39.6,-29.7,-42.9,-56.1,-2193.63
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-597.1,0,0,0,0,0,0,-597.1
    Compensated clawback,0,0,0,0,0,0,0,-32.7,-13.29,-24.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70.03
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,0,-1.46,-1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.92
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,12.99
Cost of goods,-121.5,-130.5,-144,-126,-153,-81,-90,-67.5,-99,-72,-108,-112.5,-90,-99,-148.5,-144,-81,-108,-76.5,-99,-126,-67.5,-81,-85.5,-94.5,-85.5,-49.5,-54,-40.5,-58.5,-76.5,-2970
    Cost of goods sold,-121.5,-130.5,-144,-126,-153,-81,-90,-81,-103.5,-81,-108,-112.5,-90,-99,-148.5,-144,-81,-108,-76.5,-99,-126,-67.5,-81,-85.5,-94.5,-85.5,-49.5,-54,-40.5,-58.5,-76.5,-2997
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,13.5,4.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,102.86,103.54,138.71,100.74,157.78,11.97,55.39,16.89,52.04,11.26,92.47,96.79,53.52,74.8,150.94,136.27,43.73,55.66,35.74,101.08,160.95,56.67,79.48,71.82,-520.91,78.79,-7.26,5.09,20.79,41.17,81.98,1660.75
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,102.86,103.54,138.71,100.74,157.78,11.97,55.39,16.89,52.04,11.26,92.47,96.79,53.52,74.8,150.94,136.27,43.73,55.66,35.74,101.08,160.95,56.67,79.48,71.82,-520.91,78.79,-7.26,5.09,20.79,41.17,81.98,1660.75
Estimated payout,224.36,234.04,282.71,226.74,310.78,92.97,145.39,84.39,151.04,78.76,200.47,209.29,143.52,173.8,299.44,280.27,124.73,163.66,107.74,200.08,282.45,124.17,160.48,157.32,-435.41,164.29,42.24,54.59,61.29,99.67,158.48,4603.75
Real ACOS,21.28%,22.37%,18.9%,22.25%,17.51%,35.58%,26.08%,29.49%,22.76%,28.21%,21.09%,20.74%,26.11%,23.15%,17.81%,16.49%,27.56%,21.46%,30.25%,13.71%,11.92%,21.43%,21.81%,22.78%,22.31%,19.75%,35.21%,32.52%,28.1%,24.21%,12.54%,22%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,4.35%,5.56%,0%,0%,0%,0%,0%,3.13%,0%,8.33%,0%,4.55%,0%,0%,0%,0%,0%,0%,9.09%,8.33%,0%,0%,5.88%,1.35%
Sellable returns,0%,,,,,,,,,100%,,,,,0%,,,,100%,,50%,,,,100%,,,50%,,,,60%
Margin,17.32%,16.24%,19.71%,16.36%,21.1%,3.02%,12.59%,4.27%,10.29%,2.84%,17.52%,17.61%,12.17%,15.46%,20.8%,19.37%,11.05%,10.55%,9.56%,20.89%,26.39%,17.18%,20.08%,17.19%,-118.44%,18.86%,-3%,1.93%,10.5%,14.4%,21.93%,11.36%
ROI,84.66%,79.34%,96.33%,79.95%,103.12%,14.78%,61.54%,25.02%,52.57%,15.64%,85.62%,86.04%,59.47%,75.56%,101.64%,94.63%,53.99%,51.54%,46.72%,102.1%,127.74%,83.96%,98.12%,84%,-551.23%,92.15%,-14.67%,9.43%,51.33%,70.38%,107.16%,55.92%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4320
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1723
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2597
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15.42%
