Parameter/Date,31 March 2023,30 March 2023,29 March 2023,28 March 2023,27 March 2023,26 March 2023,25 March 2023,24 March 2023,23 March 2023,22 March 2023,21 March 2023,20 March 2023,19 March 2023,18 March 2023,17 March 2023,16 March 2023,15 March 2023,14 March 2023,13 March 2023,12 March 2023,11 March 2023,10 March 2023,9 March 2023,8 March 2023,7 March 2023,6 March 2023,5 March 2023,4 March 2023,3 March 2023,2 March 2023,1 March 2023,Total
    FBA per unit fulfilment fee,-75.6,-48.6,-64.8,-75.6,-54,-70.2,-54,-32.4,-124.2,-59.4,-81,-54,-70.2,-75.6,-43.2,-54,-54,-43.2,-59.4,-97.2,-70.2,-59.4,-64.8,-59.4,-59.4,-75.6,-75.6,-27,-48.6,-91.8,-59.4,-1981.8
    Referral fee,-46.2,-29.7,-39.6,-46.2,-33,-42.9,-33,-19.8,-75.9,-36.3,-49.5,-33,-42.9,-46.2,-26.4,-33,-33,-26.4,-36.3,-59.4,-42.9,-36.3,-39.6,-36.3,-36.3,-46.2,-46.2,-16.5,-29.7,-56.1,-36.3,-1211.1
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45.98,0,0,0,0,0,0,0,-45.98
    FBA disposal fee,0,0,0,-1.46,0,0,-2.92,0,0,-1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.84
Cost of goods,-63,-40.5,-54,-63,-45,-58.5,-45,-27,-103.5,-49.5,-67.5,-45,-58.5,-63,-36,-45,-45,-36,-49.5,-81,-58.5,-49.5,-54,-49.5,-49.5,-63,-63,-22.5,-40.5,-76.5,-49.5,-1651.5
    Cost of goods sold,-63,-40.5,-54,-63,-45,-58.5,-45,-27,-103.5,-49.5,-67.5,-45,-58.5,-63,-36,-45,-45,-36,-49.5,-81,-58.5,-49.5,-54,-49.5,-49.5,-63,-63,-22.5,-40.5,-76.5,-49.5,-1651.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,111.01,62.43,90.23,101.29,50.36,91.82,66.82,40.04,174.09,77.71,113.57,52.32,87.94,74.82,50.25,48.95,66.78,52.89,72.98,104.87,74.78,77.05,85.06,32.22,78.55,97.32,94.22,23.33,65.63,136.29,73.09,2428.71
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,111.01,62.43,90.23,101.29,50.36,91.82,66.82,40.04,174.09,77.71,113.57,52.32,87.94,74.82,50.25,48.95,66.78,52.89,72.98,104.87,74.78,77.05,85.06,32.22,78.55,97.32,94.22,23.33,65.63,136.29,73.09,2428.71
Estimated payout,174.01,102.93,144.23,164.29,95.36,150.32,111.82,67.04,277.59,127.21,181.07,92.82,146.44,137.82,86.25,93.95,111.78,88.89,122.48,185.87,133.28,126.55,139.06,81.72,128.05,160.32,157.22,45.83,106.13,212.79,122.59,4075.71
Real ACOS,3.91%,8.43%,5.78%,6.6%,8.27%,7.85%,8.26%,9.63%,1.73%,7.24%,5.54%,9.43%,9.21%,9.38%,11.41%,8.91%,9.6%,9.91%,9.8%,8.59%,13.81%,8.12%,7.74%,7.64%,7.5%,8.36%,9.37%,18.75%,6.81%,3.51%,9.76%,7.85%
% Refunds,0%,0%,0%,0%,10%,0%,0%,0%,4.35%,0%,0%,10%,0%,7.14%,0%,10%,0%,0%,0%,5.56%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.63%
Sellable returns,,,0%,,,,,,,0%,,100%,,,,,,,,,,,,,0%,,,,,,,25%
Margin,36.06%,31.54%,34.19%,32.9%,22.9%,32.12%,30.39%,30.35%,34.42%,32.13%,34.43%,23.79%,30.76%,24.3%,28.56%,22.26%,30.37%,30.06%,30.17%,26.49%,26.16%,31.85%,32.23%,13.32%,32.47%,31.61%,30.6%,21.22%,33.16%,36.46%,30.22%,30.09%
ROI,176.21%,154.15%,167.09%,160.78%,111.91%,156.96%,148.49%,148.3%,168.2%,156.99%,168.25%,116.27%,150.32%,118.76%,139.58%,108.78%,148.4%,146.92%,147.43%,129.47%,127.83%,155.66%,157.52%,65.09%,158.69%,154.48%,149.56%,103.69%,162.05%,178.16%,147.66%,147.06%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3204
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1509
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11.45%
