Parameter/Date,31 October 2023,30 October 2023,29 October 2023,28 October 2023,27 October 2023,26 October 2023,25 October 2023,24 October 2023,23 October 2023,22 October 2023,21 October 2023,20 October 2023,19 October 2023,18 October 2023,17 October 2023,16 October 2023,15 October 2023,14 October 2023,13 October 2023,12 October 2023,11 October 2023,10 October 2023,9 October 2023,8 October 2023,7 October 2023,6 October 2023,5 October 2023,4 October 2023,3 October 2023,2 October 2023,1 October 2023,Total
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29,0,0,0,0,0,0,13.29
Cost of goods,-49.5,-58.5,-22.5,-36,-27,-18,-22.5,-31.5,-36,-36,-40.5,-22.5,-18,-22.5,-27,-40.5,-40.5,-31.5,-45,-40.5,-36,-54,-36,-54,-13.5,-45,-45,-22.5,-27,-36,-27,-1062
    Cost of goods sold,-49.5,-54,-22.5,-36,-27,-18,-22.5,-31.5,-36,-36,-40.5,-22.5,-18,-22.5,-27,-40.5,-40.5,-31.5,-45,-40.5,-36,-54,-36,-54,-13.5,-45,-45,-22.5,-27,-36,-27,-1057.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,79.48,87.21,23.29,49.32,38.17,22.15,26.35,45.75,53.06,42.96,59.67,24.34,10.99,21.65,32.12,43.31,51.99,38.77,68.27,66.28,49.99,35.2,31.01,87.08,-57.09,72.43,66.03,15.54,35.55,23.31,33.66,1277.84
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,79.48,87.21,23.29,49.32,38.17,22.15,26.35,45.75,53.06,42.96,59.67,24.34,10.99,21.65,32.12,43.31,51.99,38.77,68.27,66.28,49.99,35.2,31.01,87.08,-57.09,72.43,66.03,15.54,35.55,23.31,33.66,1277.84
Estimated payout,128.98,145.71,45.79,85.32,65.17,40.15,48.85,77.25,89.06,78.96,100.17,46.84,28.99,44.15,59.12,83.81,92.49,70.27,113.27,106.78,85.99,89.2,67.01,141.08,-43.59,117.43,111.03,38.04,62.55,59.31,60.66,2339.84
Real ACOS,5.75%,6.91%,17.43%,10.57%,9.68%,13.43%,14.64%,8.89%,8.45%,9.62%,8.46%,13.82%,17.46%,18.92%,14.26%,6.95%,12.34%,11.91%,8.11%,6.48%,11.56%,10.05%,11.35%,6.97%,18.75%,6.9%,9.28%,19.19%,13.03%,15.72%,14.46%,10.59%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11.11%,0%,0%,0%,0%,0%,16.67%,12.5%,0%,0%,0%,0%,0%,0%,12.5%,0%,2.13%
Sellable returns,,0%,,,,,,,,,0%,0%,,0%,,,,,,,,0%,,,,,0%,,,,,0%
Margin,32.86%,33.05%,21.18%,28.04%,28.93%,25.18%,23.97%,29.72%,30.16%,25.27%,30.15%,22.14%,13.4%,19.69%,24.34%,21.88%,26.27%,25.19%,31.05%,33.49%,28.42%,13.64%,17.63%,33%,-86.54%,32.94%,30.03%,14.95%,26.94%,13.25%,25.51%,24.84%
ROI,160.57%,149.08%,103.51%,137%,141.37%,123.06%,117.11%,145.24%,147.39%,119.33%,147.33%,108.18%,61.06%,96.22%,118.96%,106.94%,128.37%,123.08%,151.71%,163.65%,138.86%,65.19%,86.14%,161.26%,-422.89%,160.96%,146.73%,69.07%,131.67%,64.75%,124.67%,120.32%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2162
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10.87%
