Parameter/Date,31 March 2025,30 March 2025,29 March 2025,28 March 2025,27 March 2025,26 March 2025,25 March 2025,24 March 2025,23 March 2025,22 March 2025,21 March 2025,20 March 2025,19 March 2025,18 March 2025,17 March 2025,16 March 2025,15 March 2025,14 March 2025,13 March 2025,12 March 2025,11 March 2025,10 March 2025,9 March 2025,8 March 2025,7 March 2025,6 March 2025,5 March 2025,4 March 2025,3 March 2025,2 March 2025,1 March 2025,Total
Advertising cost,-136.42,-151.98,-190.61,-104.51,-166.72,-130.91,-115.36,-123.8,-189.35,-165.93,-138.87,-135.27,-162.95,-134.49,-120.63,-165.01,-170.54,-137.19,-139.03,-136.75,-117.32,-147.07,-139.93,-175.24,-125.77,-139.32,-116.36,-117.01,-102.09,-146.21,-138.87,-4381.51
    Sponsored Products,-136.42,-151.98,-190.61,-104.51,-166.72,-130.91,-115.36,-123.8,-189.35,-165.93,-138.87,-135.27,-162.95,-134.49,-120.63,-165.01,-170.54,-137.19,-139.03,-136.75,-117.32,-147.07,-139.93,-175.24,-125.77,-139.32,-116.36,-117.01,-102.09,-146.21,-138.87,-4381.51
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,-19.35,0,-10.35,0,0,0,0,0,0,0,0,0,0,0,0,-19.35,0,0,0,-15.73,-15.73,-19.35,0,0,-15.73,0,-20.23,0,-10.35,0,-146.17
    Value of returned items,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,0,0,0,4.5,0,0,0,9,0,31.5
    Refunded referral fee,0,3.3,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,3.45,3.45,3.3,0,0,3.45,0,3.45,0,3.3,0,30.3
    Refund commission,0,-0.66,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,0,-0.66,0,0,0,-0.69,-0.69,-0.66,0,0,-0.69,0,-0.69,0,-0.66,0,-6.06
    Refunded amount,0,-21.99,0,-21.99,0,0,0,0,0,0,0,0,0,0,0,0,-21.99,0,0,0,-22.99,-22.99,-21.99,0,0,-22.99,0,-22.99,0,-21.99,0,-201.91
Amazon fees,-94.38,-120.12,-183.08,-71.54,-111.54,-205.92,-111.54,-266.96,-171.6,-102.96,-111.54,-148.76,-145.86,-208.82,-145.86,-157.34,-163.02,-145.86,-85.8,-188.76,-140.18,-145.86,-223.08,-115.29,-111.54,-232.83,-154.44,-111.54,-111.54,-145.86,-197.34,-4630.76
    FBA per unit fulfilment fee,-58.08,-73.92,-121.44,-52.8,-68.64,-126.72,-68.64,-63.36,-105.6,-63.36,-68.64,-100.32,-89.76,-137.28,-89.76,-105.6,-100.32,-89.76,-52.8,-116.16,-95.04,-89.76,-137.28,-79.2,-68.64,-105.6,-95.04,-68.64,-68.64,-89.76,-121.44,-2772
    Referral fee,-36.3,-46.2,-75.9,-33,-42.9,-79.2,-42.9,-39.6,-66,-39.6,-42.9,-62.7,-56.1,-85.8,-56.1,-66,-62.7,-56.1,-33,-72.6,-59.4,-56.1,-85.8,-49.5,-42.9,-66,-59.4,-42.9,-42.9,-56.1,-75.9,-1732.5
    FBA inbound convenience fee,0,0,0,0,0,0,0,-164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-164
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61.23,0,0,0,0,0,-61.23
    Reversal reimbursement,0,0,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26
    Warehouse damage,0,0,0,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,0,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.52
    Warehouse lost,0,0,0,0,0,0,0,0,0,0,0,14.26,0,0,0,0,0,0,0,0,14.26,0,0,13.41,0,0,0,0,0,0,0,41.93
Cost of goods,-49.5,-63,-103.5,-49.5,-58.5,-108,-63,-54,-90,-54,-58.5,-94.5,-76.5,-121.5,-76.5,-90,-85.5,-76.5,-45,-99,-85.5,-76.5,-117,-72,-58.5,-90,-81,-58.5,-58.5,-76.5,-103.5,-2394
    Cost of goods sold,-49.5,-63,-103.5,-45,-58.5,-108,-63,-54,-90,-54,-58.5,-90,-76.5,-121.5,-76.5,-90,-85.5,-76.5,-45,-99,-81,-76.5,-117,-67.5,-58.5,-90,-81,-58.5,-58.5,-76.5,-103.5,-2376
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,-4.5,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,-4.5,0,0,-4.5,0,0,0,0,0,0,0,-18
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,-38.41,-46.59,28.58,-16,-50.89,82.93,-4.03,-180.88,-11.15,-59.01,-23.04,39.28,-11.48,106.93,30.84,27.45,-20.6,14.28,-49.93,59.27,37.09,-11.33,72.38,-32.68,-9.94,-38.08,44.02,-21.41,13.74,-5.09,66.06,-7.69
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,-38.41,-46.59,28.58,-16,-50.89,82.93,-4.03,-180.88,-11.15,-59.01,-23.04,39.28,-11.48,106.93,30.84,27.45,-20.6,14.28,-49.93,59.27,37.09,-11.33,72.38,-32.68,-9.94,-38.08,44.02,-21.41,13.74,-5.09,66.06,-7.69
Estimated payout,11.09,16.41,132.08,24.5,7.61,190.93,58.97,-126.88,78.85,-5.01,35.46,133.78,65.02,228.43,107.34,117.45,64.9,90.78,-4.93,158.27,118.09,60.67,189.38,39.32,48.56,47.42,125.02,37.09,72.24,62.41,169.56,2354.81
Real ACOS,56.4%,49.37%,37.69%,47.53%,58.32%,24.8%,40.35%,46.92%,43.05%,62.88%,48.58%,32.38%,43.59%,23.52%,32.27%,37.52%,40.82%,36.7%,63.22%,28.27%,29.64%,39.34%,24.47%,53.13%,44%,31.68%,29.4%,40.93%,35.71%,39.11%,27.46%,37.95%
% Refunds,0%,7.14%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5.26%,0%,0%,0%,5.56%,5.88%,3.85%,0%,0%,5%,0%,7.69%,0%,5.88%,0%,1.7%
Sellable returns,,,,100%,,,,,,,,,,,,0%,,,,,50%,100%,,,,100%,,,,100%,,77.78%
Margin,-15.88%,-15.13%,5.65%,-7.28%,-17.8%,15.71%,-1.41%,-68.55%,-2.54%,-22.36%,-8.06%,9.4%,-3.07%,18.7%,8.25%,6.24%,-4.93%,3.82%,-22.71%,12.25%,9.37%,-3.03%,12.66%,-9.91%,-3.48%,-8.66%,11.12%,-7.49%,4.81%,-1.36%,13.06%,-0.07%
ROI,-77.6%,-73.95%,27.61%,-32.32%,-86.99%,76.79%,-6.4%,-334.96%,-12.39%,-109.28%,-39.38%,41.57%,-15.01%,88.01%,40.31%,30.5%,-24.09%,18.67%,-110.96%,59.87%,43.38%,-14.81%,61.86%,-45.39%,-16.99%,-42.31%,54.35%,-36.6%,23.49%,-6.65%,63.83%,-0.32%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,123,153,174,114,138,130,125,122,165,157,162,152,164,147,131,179,181,136,147,144,129,161,232,240,123,134,143,116,112,180,144,4658
    Browser sessions,41,49,54,31,45,55,44,41,49,59,52,52,46,63,55,56,60,59,54,57,42,59,142,112,42,59,61,37,34,56,57,1723
    Mobile app sessions,82,104,120,83,93,75,81,81,116,98,110,100,118,84,76,123,121,77,93,87,87,102,90,128,81,75,82,79,78,124,87,2935
Unit session percentage,8.94%,9.15%,13.22%,8.77%,9.42%,18.46%,11.2%,9.84%,12.12%,7.64%,8.02%,13.16%,10.37%,18.37%,12.98%,11.17%,10.5%,12.5%,6.8%,15.28%,13.95%,10.56%,11.21%,6.25%,10.57%,14.93%,12.59%,11.21%,11.61%,9.44%,15.97%,11.34%
