Parameter/Date,31 December 2025,30 December 2025,29 December 2025,28 December 2025,27 December 2025,26 December 2025,25 December 2025,24 December 2025,23 December 2025,22 December 2025,21 December 2025,20 December 2025,19 December 2025,18 December 2025,17 December 2025,16 December 2025,15 December 2025,14 December 2025,13 December 2025,12 December 2025,11 December 2025,10 December 2025,9 December 2025,8 December 2025,7 December 2025,6 December 2025,5 December 2025,4 December 2025,3 December 2025,2 December 2025,1 December 2025,Total
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,9
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,24.83,-11.95,-86.72,-128.56,-71.04,-98.48,-131.36,-63.31,-17.28,-20.44,-60.27,-38.04,-61.33,-1301.09,-48.76,-50.93,-93.8,-129.82,-101.27,-40.61,-39.4,-15.56,0.44,-37.2,-600.94,-35.05,-56.27,-75.83,48.6,-34.62,-49.21,-3425.27
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,24.83,-11.95,-86.72,-128.56,-71.04,-98.48,-131.36,-63.31,-17.28,-20.44,-60.27,-38.04,-61.33,-1301.09,-48.76,-50.93,-93.8,-129.82,-101.27,-40.61,-39.4,-15.56,0.44,-37.2,-600.94,-35.05,-56.27,-75.83,48.6,-34.62,-49.21,-3425.27
Estimated payout,101.33,78.05,-5.72,-56.56,5.46,-30.98,-77.36,-22.81,45.72,42.56,7.23,24.96,-11.83,-1247.09,14.24,-1.43,-44.3,-102.82,-56.27,4.39,19.1,56.44,76.94,12.3,-510.94,41.45,-2.27,-48.83,129.6,14.88,18.29,-1526.27
Real ACOS,34.75%,39.3%,62.06%,76.05%,59.28%,69.66%,88.72%,71.7%,46.47%,47.46%,58.58%,52.92%,65.36%,50.97%,49.97%,61.24%,75.71%,135.22%,85.15%,58.77%,47.52%,45.33%,40.99%,55.81%,40.25%,50.07%,61.58%,96.08%,29.36%,53.63%,51.83%,56.17%
% Refunds,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7.14%,0%,9.09%,0%,0%,0%,7.69%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.94%
Sellable returns,0%,,,,,,,,,,,,,,,100%,,,,,,,,,,0%,,,,,,33.33%
Margin,6.35%,-2.6%,-20.96%,-34.95%,-18.18%,-28.56%,-47.61%,-30.6%,-5.37%,-6.35%,-17.48%,-11.82%,-24.25%,-471.61%,-15.15%,-20.14%,-37.09%,-94.11%,-44.05%,-17.66%,-13.18%,-4.23%,0.11%,-14.71%,-130.7%,-8.97%,-22.25%,-54.97%,11.74%,-12.55%,-13.38%,-35.22%
ROI,32.46%,-13.28%,-107.06%,-178.56%,-92.86%,-145.9%,-243.26%,-156.32%,-27.43%,-32.44%,-89.29%,-60.38%,-123.9%,-2409.43%,-77.4%,-102.89%,-189.49%,-480.81%,-225.04%,-90.24%,-67.35%,-21.61%,0.58%,-75.15%,-667.71%,-45.82%,-104.2%,-280.85%,60%,-69.94%,-72.9%,-180.37%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,95,135,187,199,0,156,147,102,113,118,134,120,105,99,113,103,133,129,133,88,98,108,124,119,130,136,109,94,87,96,126,3636
    Browser sessions,33,38,51,45,0,33,26,26,33,31,39,30,24,27,47,26,33,35,40,29,32,35,37,42,41,42,37,32,27,30,43,1044
    Mobile app sessions,62,97,136,154,0,123,121,76,80,87,95,90,81,72,66,77,100,94,93,59,66,73,87,77,89,94,72,62,60,66,83,2592
Unit session percentage,17.89%,14.81%,9.63%,8.04%,0%,9.62%,8.16%,8.82%,12.39%,11.86%,11.19%,11.67%,10.48%,12.12%,12.39%,10.68%,8.27%,4.65%,7.52%,11.36%,13.27%,14.81%,13.71%,9.24%,15.38%,12.5%,11.01%,6.38%,20.69%,12.5%,12.7%,11.66%
