Parameter/Date,31 August 2025,30 August 2025,29 August 2025,28 August 2025,27 August 2025,26 August 2025,25 August 2025,24 August 2025,23 August 2025,22 August 2025,21 August 2025,20 August 2025,19 August 2025,18 August 2025,17 August 2025,16 August 2025,15 August 2025,14 August 2025,13 August 2025,12 August 2025,11 August 2025,10 August 2025,9 August 2025,8 August 2025,7 August 2025,6 August 2025,5 August 2025,4 August 2025,3 August 2025,2 August 2025,1 August 2025,Total
Advertising cost,-151.47,-160.51,-136.24,-120.09,-124.42,-137.66,-153.31,-179.71,-165.32,-123.04,-144.32,-171.45,-157.87,-162.68,-218.03,-153,-149.11,-151.88,-147.25,-168.14,-180.47,-167.29,-163.1,-151.71,-148.41,-147.07,-147.35,-137.19,-142.2,-180.53,-139.04,-4779.86
    Sponsored Products,-151.47,-160.51,-136.24,-120.09,-124.42,-137.66,-153.31,-179.71,-165.32,-123.04,-144.32,-171.45,-157.87,-162.68,-218.03,-153,-149.11,-151.88,-147.25,-168.14,-180.47,-167.29,-163.1,-151.71,-148.41,-147.07,-147.35,-137.19,-142.2,-180.53,-139.04,-4779.86
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,-20.23,0,0,0,0,0,0,0,0,0,0,-15.73,-20.23,0,0,0,-18.47,0,-40.46,4.5,0,-20.23,0,0,0,4.5,-20.23,-18.47,0,0,-165.05
    Refunded referral fee,0,3.45,0,0,0,0,0,0,0,0,0,0,3.45,3.45,0,0,0,3.15,0,6.9,0,0,3.45,0,0,0,0,3.45,3.15,0,0,30.45
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,4.5,0,0,0,0,0,4.5,0,0,0,0,13.5
    Refund commission,0,-0.69,0,0,0,0,0,0,0,0,0,0,-0.69,-0.69,0,0,0,-0.63,0,-1.38,0,0,-0.69,0,0,0,0,-0.69,-0.63,0,0,-6.09
    Refunded amount,0,-22.99,0,0,0,0,0,0,0,0,0,0,-22.99,-22.99,0,0,0,-20.99,0,-45.98,0,0,-22.99,0,0,0,0,-22.99,-20.99,0,0,-202.91
Amazon fees,-104.76,-87.3,-122.22,-61.11,-157.14,-113.49,-104.76,-165.87,-96.03,-122.22,-130.95,-122.22,-125.42,-130.95,-104.76,-96.03,-61.11,-403.38,-78.57,-113.49,-109.66,-125.42,-87.3,-113.49,-113.49,-165.35,-52.38,-96.03,-122.22,-52.38,-64.31,-3603.81
    FBA per unit fulfilment fee,-63.36,-52.8,-73.92,-36.96,-95.04,-68.64,-63.36,-100.32,-58.08,-73.92,-79.2,-73.92,-84.48,-79.2,-63.36,-58.08,-36.96,-73.92,-47.52,-68.64,-73.92,-84.48,-52.8,-68.64,-68.64,-68.64,-31.68,-58.08,-73.92,-31.68,-47.52,-2011.68
    Referral fee,-41.4,-34.5,-48.3,-24.15,-62.1,-44.85,-41.4,-65.55,-37.95,-48.3,-51.75,-48.3,-55.2,-51.75,-41.4,-37.95,-24.15,-48.3,-31.05,-44.85,-48.3,-55.2,-34.5,-44.85,-44.85,-44.85,-20.7,-37.95,-48.3,-20.7,-31.05,-1314.45
    Compensated clawback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-281.16,0,0,0,0,0,0,0,0,0,0,0,0,0,-281.16
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51.86,0,0,0,0,0,-51.86
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,14.26,0,0,0,0,0,0,0,12.56,14.26,0,0,0,0,0,0,0,0,14.26,55.34
Cost of goods,-54,-45,-63,-31.5,-81,-58.5,-54,-85.5,-49.5,-63,-67.5,-63,-72,-67.5,-54,-49.5,-31.5,36,-40.5,-58.5,-63,-72,-45,-58.5,-58.5,-58.5,-27,-49.5,-63,-27,-40.5,-1615.5
    Cost of goods sold,-54,-45,-63,-31.5,-81,-58.5,-54,-85.5,-49.5,-63,-67.5,-63,-72,-67.5,-54,-49.5,-31.5,-63,-40.5,-58.5,-63,-72,-45,-58.5,-58.5,-58.5,-27,-49.5,-63,-27,-40.5,-1714.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,99
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,-34.35,-83.14,0.4,-51.77,51.26,-10.78,-36.19,5.73,-57.96,13.6,2.08,-34.81,-3.18,-36.51,-100.91,-45.64,-80.79,-215.87,-59.41,-81.72,-26.77,3.13,-85.73,-24.83,-21.53,-72.05,-84.29,-50.06,-24.03,-121.97,-36.94,-1405.03
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,-34.35,-83.14,0.4,-51.77,51.26,-10.78,-36.19,5.73,-57.96,13.6,2.08,-34.81,-3.18,-36.51,-100.91,-45.64,-80.79,-215.87,-59.41,-81.72,-26.77,3.13,-85.73,-24.83,-21.53,-72.05,-84.29,-50.06,-24.03,-121.97,-36.94,-1405.03
Estimated payout,19.65,-38.14,63.4,-20.27,132.26,47.72,17.81,91.23,-8.46,76.6,69.58,28.19,64.32,30.99,-46.91,3.86,-49.29,-251.87,-18.91,-23.22,31.73,75.13,-40.73,33.67,36.97,-13.55,-61.79,-0.56,38.97,-94.97,3.56,196.97
Real ACOS,54.9%,69.82%,42.33%,74.62%,30.07%,46.06%,55.57%,41.14%,65.37%,38.23%,41.85%,53.27%,42.92%,47.17%,79.03%,60.5%,92.66%,47.19%,71.17%,56.26%,56.07%,45.48%,70.94%,50.76%,49.66%,49.21%,106.82%,54.25%,44.18%,130.88%,67.2%,54.57%
% Refunds,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6.25%,6.67%,0%,0%,0%,7.14%,0%,15.38%,0%,0%,10%,0%,0%,0%,0%,9.09%,7.14%,0%,0%,2.36%
Sellable returns,,,,,,,,,,,,,50%,,,0%,,0%,,,100%,0%,0%,,,,100%,,,,,30%
Margin,-12.45%,-36.16%,0.12%,-32.17%,12.39%,-3.61%,-13.12%,1.31%,-22.92%,4.23%,0.6%,-10.82%,-0.86%,-10.59%,-36.58%,-18.05%,-50.2%,-67.07%,-28.71%,-27.34%,-8.32%,0.85%,-37.29%,-8.31%,-7.2%,-24.11%,-61.11%,-19.8%,-7.47%,-88.42%,-17.85%,-16.04%
ROI,-63.61%,-184.76%,0.63%,-164.35%,63.28%,-18.43%,-67.02%,6.7%,-117.09%,21.59%,3.08%,-55.25%,-4.42%,-54.09%,-186.87%,-92.2%,-256.48%,-599.64%,-146.69%,-139.69%,-42.49%,4.35%,-190.51%,-42.44%,-36.8%,-123.16%,-312.19%,-101.13%,-38.14%,-451.74%,-91.21%,-86.97%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,152,158,112,119,126,138,145,181,158,118,141,149,145,158,182,151,136,151,125,160,157,153,142,120,135,127,145,130,146,170,140,4470
    Browser sessions,40,39,41,32,44,42,42,37,41,34,47,56,46,44,52,41,42,38,41,56,55,43,41,29,43,39,40,30,35,44,45,1299
    Mobile app sessions,112,119,71,87,82,96,103,144,117,84,94,93,99,114,130,110,94,113,84,104,102,110,101,91,92,88,105,100,111,126,95,3171
Unit session percentage,7.89%,6.33%,12.5%,5.88%,14.29%,9.42%,8.28%,10.5%,6.96%,11.86%,10.64%,9.4%,11.03%,9.49%,6.59%,7.28%,5.15%,9.27%,7.2%,8.13%,8.92%,10.46%,7.04%,10.83%,9.63%,10.24%,4.14%,8.46%,9.59%,3.53%,6.43%,8.52%
