Parameter/Date,30 September 2023,29 September 2023,28 September 2023,27 September 2023,26 September 2023,25 September 2023,24 September 2023,23 September 2023,22 September 2023,21 September 2023,20 September 2023,19 September 2023,18 September 2023,17 September 2023,16 September 2023,15 September 2023,14 September 2023,13 September 2023,12 September 2023,11 September 2023,10 September 2023,9 September 2023,8 September 2023,7 September 2023,6 September 2023,5 September 2023,4 September 2023,3 September 2023,2 September 2023,1 September 2023,Total
    Sponsored Brands,-9.09,-9.49,-9.49,-7.91,-8.51,-9.02,-9.36,-9.06,-9.35,-11.57,-13.51,-14.07,-15.36,-18.12,-18.69,-11.06,-15.79,-20.28,-17.64,-17.1,-15.08,-12.23,0,0,0,0,0,0,0,0,-281.78
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-19.35,0,-19.35,0,0,0,0,0,0,0,-19.35,0,0,0,0,-19.35,0,0,-19.35,-19.35,-19.35,0,4.5,0,-19.35,0,0,0,0,0,-150.3
    Refunded referral fee,3.3,0,3.3,0,0,0,0,0,0,0,3.3,0,0,0,0,3.3,0,0,3.3,3.3,3.3,0,0,0,3.3,0,0,0,0,0,26.4
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,4.5
    Refund commission,-0.66,0,-0.66,0,0,0,0,0,0,0,-0.66,0,0,0,0,-0.66,0,0,-0.66,-0.66,-0.66,0,0,0,-0.66,0,0,0,0,0,-5.28
    Refunded amount,-21.99,0,-21.99,0,0,0,0,0,0,0,-21.99,0,0,0,0,-21.99,0,0,-21.99,-21.99,-21.99,0,0,0,-21.99,0,0,0,0,0,-175.92
Amazon fees,-52.2,-69.6,-78.3,-113.1,-95.7,-104.4,-95.7,-104.4,-75.44,-78.3,-78.3,-113.1,-117.21,-147.9,-52.2,-56.88,-113.1,-87,-165.3,-121.8,-113.1,-69.6,-136.47,-63.82,-95.7,-124.72,-34.8,-95.7,-69.6,-98.3,-2821.74
    FBA per unit fulfilment fee,-32.4,-43.2,-48.6,-70.2,-59.4,-64.8,-59.4,-64.8,-43.2,-48.6,-48.6,-70.2,-81,-91.8,-32.4,-43.2,-70.2,-54,-102.6,-75.6,-70.2,-43.2,-64.8,-37.8,-59.4,-75.6,-21.6,-59.4,-43.2,-62.87,-1742.27
    Referral fee,-19.8,-26.4,-29.7,-42.9,-36.3,-39.6,-36.3,-39.6,-26.4,-29.7,-29.7,-42.9,-49.5,-56.1,-19.8,-26.4,-42.9,-33,-62.7,-46.2,-42.9,-26.4,-39.6,-23.1,-36.3,-46.2,-13.2,-36.3,-26.4,-35.43,-1061.73
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.07,0,0,0,0,0,0,0,-32.07
    FBA disposal fee,0,0,0,0,0,0,0,0,-5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.92,0,-2.92,0,0,0,0,-11.68
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.72
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29
Cost of goods,-27,-36,-40.5,-58.5,-49.5,-54,-49.5,-54,-36,-40.5,-40.5,-58.5,-67.5,-76.5,-27,-36,-58.5,-45,-85.5,-63,-58.5,-36,-54,-31.5,-49.5,-63,-18,-49.5,-36,-49.5,-1449
    Cost of goods sold,-27,-36,-40.5,-58.5,-49.5,-54,-49.5,-54,-36,-40.5,-40.5,-58.5,-67.5,-76.5,-27,-36,-58.5,-45,-85.5,-63,-58.5,-36,-54,-31.5,-49.5,-63,-18,-49.5,-36,-49.5,-1449
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,16.17,46.54,40.68,93.63,74.96,86.04,72.19,85.09,41.5,58.27,32.52,83.48,120.05,117.4,19.93,42.16,84.7,48.68,114.92,69.91,59.83,40.03,58.09,41.76,58.15,101.96,10.47,74.23,51.72,78.89,1923.95
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,16.17,46.54,40.68,93.63,74.96,86.04,72.19,85.09,41.5,58.27,32.52,83.48,120.05,117.4,19.93,42.16,84.7,48.68,114.92,69.91,59.83,40.03,58.09,41.76,58.15,101.96,10.47,74.23,51.72,78.89,1923.95
Estimated payout,43.17,82.54,81.18,152.13,124.46,140.04,121.69,139.09,77.5,98.77,73.02,141.98,187.55,193.9,46.93,78.16,143.2,93.68,200.42,132.91,118.33,76.03,107.59,73.26,107.65,164.96,28.47,123.73,87.72,128.39,3368.45
Real ACOS,13.05%,13.52%,9.64%,7.22%,8.98%,7.37%,10.13%,7.73%,13.06%,10.53%,13.76%,10.77%,7.61%,8.57%,24.87%,12.24%,10.34%,17.84%,7.84%,10.98%,12.27%,17.22%,7.51%,10.95%,7.93%,5.91%,28.07%,9.29%,10.57%,3.99%,10.32%
% Refunds,16.67%,0%,11.11%,0%,0%,0%,0%,0%,0%,0%,11.11%,0%,0%,0%,0%,12.5%,0%,0%,5.26%,7.14%,7.69%,0%,0%,0%,9.09%,0%,0%,0%,0%,0%,2.48%
Sellable returns,,,,,,0%,,0%,,,,,,,,,,,,,0%,,100%,,,,0%,,,0%,14.29%
Margin,12.26%,26.46%,20.55%,32.75%,30.99%,32.61%,29.84%,32.25%,23.59%,29.44%,16.43%,29.2%,36.4%,31.4%,15.11%,23.97%,29.63%,22.14%,27.51%,22.71%,20.93%,22.75%,22.01%,27.13%,24.04%,33.12%,11.9%,30.69%,29.4%,33.41%,27.19%
ROI,59.89%,129.28%,100.44%,160.05%,151.43%,159.33%,145.84%,157.57%,115.28%,143.88%,80.3%,142.7%,177.85%,153.46%,73.81%,117.11%,144.79%,108.18%,134.41%,110.97%,102.27%,111.19%,107.57%,132.57%,117.47%,161.84%,58.17%,149.96%,143.67%,159.37%,132.78%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2369
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,13.59%
