Parameter/Date,31 July 2025,30 July 2025,29 July 2025,28 July 2025,27 July 2025,26 July 2025,25 July 2025,24 July 2025,23 July 2025,22 July 2025,21 July 2025,20 July 2025,19 July 2025,18 July 2025,17 July 2025,16 July 2025,15 July 2025,14 July 2025,13 July 2025,12 July 2025,11 July 2025,10 July 2025,9 July 2025,8 July 2025,7 July 2025,6 July 2025,5 July 2025,4 July 2025,3 July 2025,2 July 2025,1 July 2025,Total
Refund cost,-20.23,0,-18.47,0,-18.47,0,0,-18.47,0,0,0,0,-14.27,0,-18.47,-20.23,-20.23,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.23,-169.07
    Refunded referral fee,3.45,0,3.15,0,3.15,0,0,3.15,0,0,0,0,3.15,0,3.15,3.45,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,29.55
    RestockingDeductionPrincipal,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2
    Refund commission,-0.69,0,-0.63,0,-0.63,0,0,-0.63,0,0,0,0,-0.63,0,-0.63,-0.69,-0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.69,-5.91
    Refunded amount,-22.99,0,-20.99,0,-20.99,0,0,-20.99,0,0,0,0,-20.99,0,-20.99,-22.99,-22.99,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.99,-196.91
Amazon fees,-130.95,-113.23,-56.43,-165.87,-174.6,-104.76,-78.57,-104.76,-192.06,-135.12,-108.63,-236.04,-168.6,-118.02,-134.88,-193.89,-160.17,-147.18,-239.91,-168.6,-151.74,-143.31,-296.4,-282.21,-193.89,-197.36,-168.6,-151.74,-80.17,-89.97,-26.19,-4713.85
    FBA per unit fulfilment fee,-79.2,-73.92,-42.24,-100.32,-105.6,-63.36,-47.52,-63.36,-116.16,-84.48,-68.64,-147.84,-105.6,-73.92,-84.48,-121.44,-100.32,-95.04,-153.12,-105.6,-95.04,-89.76,-200.64,-179.52,-121.44,-116.16,-105.6,-95.04,-58.08,-58.08,-15.84,-2967.36
    Referral fee,-51.75,-48.3,-27.6,-65.55,-69,-41.4,-31.05,-41.4,-75.9,-55.2,-44.55,-88.2,-63,-44.1,-50.4,-72.45,-59.85,-56.7,-91.35,-63,-56.7,-53.55,-95.76,-102.69,-72.45,-69.3,-63,-56.7,-34.65,-36.45,-10.35,-1792.35
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.9,0,0,0,0,0,-11.9
    Warehouse lost,0,0,0,0,0,0,0,0,0,4.56,4.56,0,0,0,0,0,0,4.56,4.56,0,0,0,0,0,0,0,0,0,0,4.56,0,22.8
    Reversal reimbursement,0,8.99,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,0,0,34.96
Cost of goods,-67.5,-63,-36,-85.5,-90,-54,-40.5,-54,-99,-76.5,-63,-126,-90,-63,-72,-103.5,-85.5,-85.5,-135,-90,-81,-76.5,-171,-153,-103.5,-99,-90,-81,-49.5,-54,-13.5,-2551.5
    Cost of goods sold,-67.5,-63,-36,-85.5,-90,-54,-40.5,-54,-99,-72,-58.5,-126,-90,-63,-72,-103.5,-85.5,-81,-130.5,-90,-81,-76.5,-171,-153,-103.5,-99,-90,-81,-49.5,-49.5,-13.5,-2529
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,-4.5,-4.5,0,0,0,0,0,0,-4.5,-4.5,0,0,0,0,0,0,0,0,0,0,-4.5,0,-22.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,-29.31,-0.24,-71.86,42.36,-2.5,-39.3,-50.63,-53.57,78.06,4.25,-12.19,28.55,-25.47,-47.94,-27.93,-25.69,-45.6,-32.06,59.92,-12.09,-11.5,-25.94,-100.64,12.46,-4.98,-18.15,-40.08,-0.8,-21.4,-47.02,-110.4,-631.69
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,-29.31,-0.24,-71.86,42.36,-2.5,-39.3,-50.63,-53.57,78.06,4.25,-12.19,28.55,-25.47,-47.94,-27.93,-25.69,-45.6,-32.06,59.92,-12.09,-11.5,-25.94,-100.64,12.46,-4.98,-18.15,-40.08,-0.8,-21.4,-47.02,-110.4,-631.69
Estimated payout,38.19,62.76,-35.86,127.86,87.5,14.7,-10.13,0.43,177.06,80.75,50.81,154.55,64.53,15.06,44.07,77.81,39.9,53.44,194.92,77.91,69.5,50.56,70.36,165.46,98.52,80.85,49.92,80.2,28.1,6.98,-96.9,1919.81
Real ACOS,45.09%,45.32%,78.77%,32.76%,38.98%,56.7%,66.92%,55.18%,27.02%,41.31%,46.29%,33.54%,41.07%,54.71%,41.22%,39.53%,44.76%,46.9%,28.57%,41.28%,41.44%,45.67%,42.52%,34.58%,39.43%,39.75%,47.95%,38.61%,53.11%,60.08%,173.19%,43.04%
% Refunds,6.67%,0%,12.5%,0%,5%,0%,0%,8.33%,0%,0%,0%,0%,5%,0%,6.25%,4.35%,5.26%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33.33%,1.6%
Sellable returns,0%,,,0%,,,0%,,,,,,,,,,,,,,,,,,,,,,,,0%,0%
Margin,-8.5%,-0.07%,-39.07%,9.7%,-0.54%,-14.25%,-24.47%,-19.42%,15.43%,1.16%,-4.11%,4.86%,-6.07%,-16.31%,-8.32%,-5.32%,-11.43%,-8.49%,9.84%,-2.88%,-3.04%,-7.27%,-15.77%,1.82%,-1.03%,-3.93%,-9.55%,-0.21%,-9.27%,-19.36%,-160.07%,-5.29%
ROI,-43.42%,-0.38%,-199.61%,49.54%,-2.78%,-72.78%,-125.01%,-99.2%,78.85%,5.56%,-19.35%,22.66%,-28.3%,-76.1%,-38.79%,-24.82%,-53.33%,-37.5%,44.39%,-13.43%,-14.2%,-33.91%,-58.85%,8.14%,-4.81%,-18.33%,-44.53%,-0.99%,-43.23%,-87.07%,-817.78%,-24.76%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,135,154,137,138,165,144,131,145,135,137,143,172,159,137,136,183,172,162,164,172,154,174,279,242,164,179,190,141,119,134,103,4900
    Browser sessions,30,44,43,37,56,49,32,35,42,45,36,48,44,30,47,58,50,48,46,60,50,53,82,89,46,47,51,40,33,34,31,1436
    Mobile app sessions,105,110,94,101,109,95,99,110,93,92,107,124,115,107,89,125,122,114,118,112,104,121,197,153,118,132,139,101,86,100,72,3464
Unit session percentage,11.11%,9.09%,5.84%,13.77%,12.12%,8.33%,6.87%,8.28%,16.3%,11.68%,9.09%,16.28%,12.58%,10.22%,11.76%,12.57%,11.05%,11.11%,17.68%,11.63%,11.69%,9.77%,13.62%,14.05%,14.02%,12.29%,10.53%,12.77%,9.24%,8.21%,2.91%,11.47%
