Parameter/Date,31 May 2022,30 May 2022,29 May 2022,28 May 2022,27 May 2022,26 May 2022,25 May 2022,24 May 2022,23 May 2022,22 May 2022,21 May 2022,20 May 2022,19 May 2022,18 May 2022,17 May 2022,16 May 2022,15 May 2022,14 May 2022,13 May 2022,12 May 2022,11 May 2022,10 May 2022,9 May 2022,8 May 2022,7 May 2022,6 May 2022,5 May 2022,4 May 2022,3 May 2022,2 May 2022,1 May 2022,Total
Refunds,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.7,-10.5,-8.4,-2.1,-16.8,-16.8,-27.3,-2.1,-4.2,-6.3,-16.8,-14.7,-4.2,-12.6,-10.5,-6.3,-12.6,-186.9
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,4.5,-73.88,-16.63,0,0,0,0,0,0,-18.47,0,0,0,0,-16.63,0,0,0,0,0,-16.63,4.5,0,0,0,0,0,0,-133.24
    Refunded referral fee,0,0,0,0,12.6,2.83,0,0,0,0,0,0,3.15,0,0,0,0,2.83,0,0,0,0,0,2.83,0,0,0,0,0,0,0,24.24
    Value of returned items,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,9
    Promotion,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,2.1,0,0,0,0,0,0,0,6.3
    Refund commission,0,0,0,0,-2.52,-0.57,0,0,0,0,0,0,-0.63,0,0,0,0,-0.57,0,0,0,0,0,-0.57,0,0,0,0,0,0,0,-4.86
    Refunded amount,0,0,0,0,-83.96,-20.99,0,0,0,0,0,0,-20.99,0,0,0,0,-20.99,0,0,0,0,0,-20.99,0,0,0,0,0,0,0,-167.92
Amazon fees,-253.83,-209.3,-653.61,-146.83,-25.44,-119.7,-108.57,-170.99,-70.17,-171.6,-114.75,-84.89,-112.95,-112.91,-162.01,-128.48,-98.77,-32.11,-193.73,-101.24,-170.44,-102.27,-100.56,-94.49,-79.19,-113.29,339.55,-149.22,-78.35,-76.57,-126.93,-3823.64
    FBA per unit fulfilment fee,-103.71,-134.99,-135,-91.78,-43.2,-75.6,-81,-107.99,-91.8,-108,-70.2,-86.39,-70.2,-118.79,-102.6,-97.2,-59.4,-37.8,-108,-64.8,-108,-64.79,-75.58,-64.79,-48.6,-91.8,-48.6,-70.2,-48.6,-48.58,-81,-2538.99
    Referral fee,-75.6,-85.05,-78.75,-53.55,-25.2,-44.1,-47.25,-63,-53.55,-63,-40.95,-50.4,-40.95,-69.3,-57.61,-55.1,-33.37,-21.73,-60.44,-35.24,-58.84,-37.48,-43.46,-36.84,-25.79,-51.31,-27.71,-39.03,-26.75,-27.39,-45.33,-1474.07
    FBA inbound convenience fee,-96,0,-504.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-600.3
    Coupon redemption fee,0,0,0,0,0,0,-1.8,0,0,-0.6,-3.6,-1.8,-1.8,0,-1.8,-8.4,-6,-4.8,-1.2,-1.2,-3.6,0,-3,-3.6,-4.8,-2.4,-3,0,-3,-0.6,-0.6,-57.6
    Subscription ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39.99,0,0,0,-39.99
    Compensated clawback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.09,0,0,0,0,0,0,0,0,0,0,0,0,-24.09
    FBA disposal fee,0,0,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5
    Reversal reimbursement,0,10.74,0,0,0,0,0,0,0,0,0,10.74,0,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.22
    Warehouse damage,21.48,0,64.44,0,42.96,0,21.48,0,75.18,0,0,42.96,0,64.44,0,32.22,0,32.22,0,0,0,0,21.48,10.74,0,32.22,418.86,0,0,0,0,880.68
Cost of goods,-117,-121.5,-139.5,-76.5,-54,-63,-76.5,-90,-108,-90,-58.5,-90,-58.5,-126,-85.5,-94.5,-49.5,-45,-81,-54,-90,-54,-72,-56.2,-40.5,-90,-220.5,-58.5,-40.5,-40.5,-67.5,-2508.7
    Cost of goods sold,-108,-121.5,-112.5,-76.5,-36,-63,-67.5,-90,-76.5,-90,-58.5,-72,-58.5,-99,-85.5,-81,-49.5,-31.5,-90,-54,-90,-54,-63,-54,-40.5,-76.5,-45,-58.5,-40.5,-40.5,-67.5,-2151
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,2.3
    Lost/damaged by Amazon,-9,0,-27,0,-18,0,-9,0,-31.5,0,0,-18,0,-27,0,-13.5,0,-13.5,9,0,0,0,-9,-4.5,0,-13.5,-175.5,0,0,0,0,-360
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,132.93,235.93,-268.36,138,14.6,94.53,129.78,158.81,178.66,158.2,99.62,160.95,82.95,222.87,136.6,144.34,74.22,51.09,128.27,79.84,132.06,93.51,117.1,78.26,56.92,138.84,303.76,52.55,59.56,65.54,107.82,3359.75
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,132.93,235.93,-268.36,138,14.6,94.53,129.78,158.81,178.66,158.2,99.62,160.95,82.95,222.87,136.6,144.34,74.22,51.09,128.27,79.84,132.06,93.51,117.1,78.26,56.92,138.84,303.76,52.55,59.56,65.54,107.82,3359.75
Estimated payout,249.93,357.43,-128.86,210,68.6,157.53,206.28,248.81,286.66,248.2,158.12,250.95,141.45,348.87,222.1,238.84,123.72,96.09,209.27,133.84,222.06,147.51,189.1,134.46,92.92,228.84,524.26,111.05,100.06,106.04,175.32,5859.45
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,50%,7.14%,0%,0%,0%,0%,0%,0%,7.69%,0%,0%,0%,0%,14.29%,0%,0%,0%,0%,0%,8.33%,0%,0%,0%,0%,0%,0%,0%,1.67%
Sellable returns,,,,100%,,,,,,,,,,,,,,,,,,,,,100%,,0%,,,,0%,40%
Margin,26.39%,41.63%,-51.14%,38.67%,8.69%,32.17%,41.22%,37.83%,50.07%,37.68%,36.51%,47.92%,30.4%,48.26%,34.25%,38.2%,32.15%,34.77%,30.56%,31.7%,31.46%,37.12%,39.85%,31.07%,30.13%,38.91%,160.8%,19.26%,31.53%,34.69%,34.24%,33.56%
ROI,113.62%,194.18%,-192.37%,180.39%,27.04%,150.05%,169.65%,176.46%,165.43%,175.78%,170.29%,178.83%,141.79%,176.88%,159.77%,152.74%,149.94%,113.53%,158.36%,147.85%,146.73%,173.17%,162.64%,139.25%,140.54%,154.27%,137.76%,89.83%,147.06%,161.83%,159.73%,133.92%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
