Parameter/Date,31 August 2023,30 August 2023,29 August 2023,28 August 2023,27 August 2023,26 August 2023,25 August 2023,24 August 2023,23 August 2023,22 August 2023,21 August 2023,20 August 2023,19 August 2023,18 August 2023,17 August 2023,16 August 2023,15 August 2023,14 August 2023,13 August 2023,12 August 2023,11 August 2023,10 August 2023,9 August 2023,8 August 2023,7 August 2023,6 August 2023,5 August 2023,4 August 2023,3 August 2023,2 August 2023,1 August 2023,Total
    Refund commission,-0.66,0,0,-0.66,0,0,0,0,-0.66,0,-0.66,0,0,-1.32,0,0,0,0,0,0,-0.66,-0.66,0,-0.66,0,0,0,0,-0.66,-0.66,0,-7.26
    Refunded amount,-21.99,0,0,-21.99,0,0,0,0,-21.99,0,-21.99,0,0,-43.98,0,0,0,0,0,0,-21.99,-21.99,0,-21.99,0,0,0,0,-21.99,-21.99,0,-241.89
Amazon fees,-43.5,-95.7,-156.6,-78.3,-95.7,-69.6,-52.2,-104.4,-87,-95.7,-78.3,-139.2,-139.2,-78.3,-104.4,-121.8,-52.2,-104.4,-147.9,-130.4,-104.4,-87,-107.15,-129.54,-104.4,-208.8,-113.1,-104.4,-139.2,-121.8,-147.9,-3342.49
    FBA per unit fulfilment fee,-27,-59.4,-97.2,-48.6,-59.4,-43.2,-32.4,-64.8,-54,-59.4,-48.6,-86.4,-86.4,-48.6,-64.8,-75.6,-32.4,-64.8,-91.8,-108,-64.8,-54,-68.39,-54,-64.8,-129.6,-70.2,-64.8,-86.4,-75.6,-91.8,-2077.19
    Referral fee,-16.5,-36.3,-59.4,-29.7,-36.3,-26.4,-19.8,-39.6,-33,-36.3,-29.7,-52.8,-52.8,-29.7,-39.6,-46.2,-19.8,-39.6,-56.1,-66,-39.6,-33,-38.76,-33,-39.6,-79.2,-42.9,-39.6,-52.8,-46.2,-56.1,-1266.36
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53.48,0,0,0,0,0,0,0,-53.48
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6,0,0,0,10.94,0,0,0,0,0,0,0,54.54
Cost of goods,-22.5,-49.5,-81,-40.5,-49.5,-36,-27,-54,-45,-49.5,-40.5,-72,-72,-40.5,-54,-63,-27,-54,-76.5,-108,-54,-45,-54,-49.5,-54,-108,-58.5,-54,-72,-63,-76.5,-1750.5
    Cost of goods sold,-22.5,-49.5,-81,-40.5,-49.5,-36,-27,-54,-45,-49.5,-40.5,-72,-72,-40.5,-54,-63,-27,-54,-76.5,-90,-54,-45,-54,-45,-54,-108,-58.5,-54,-72,-63,-76.5,-1728
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,0,0,0,-4.5,0,0,0,0,0,0,0,-22.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,8.45,84.29,142.77,40.94,75.97,50.47,38.67,88.93,52.36,76.6,40.63,111.69,119.36,23.83,86.23,103.46,31.91,85.52,121.95,175.6,66.59,52.48,74.48,-2.22,76.41,176.35,92.93,83.19,105.94,75.04,117.96,2478.78
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,8.45,84.29,142.77,40.94,75.97,50.47,38.67,88.93,52.36,76.6,40.63,111.69,119.36,23.83,86.23,103.46,31.91,85.52,121.95,175.6,66.59,52.48,74.48,-2.22,76.41,176.35,92.93,83.19,105.94,75.04,117.96,2478.78
Estimated payout,30.95,133.79,223.77,81.44,125.47,86.47,65.67,142.93,97.36,121.6,81.13,183.69,191.36,64.33,140.23,166.46,58.91,139.52,198.45,283.6,120.59,97.48,128.48,47.28,130.41,284.35,151.43,137.19,173.44,138.04,194.46,4220.28
Real ACOS,14.69%,5.13%,3.9%,9.51%,8.57%,11.28%,10.66%,6.27%,7.36%,10.17%,9.67%,8.23%,6.05%,8.38%,7.29%,6.37%,15.79%,7.56%,7.35%,5.87%,7.4%,7.31%,8.76%,10.79%,11.02%,6.56%,7.46%,8.45%,5.64%,9.31%,8.42%,7.86%
% Refunds,20%,0%,0%,11.11%,0%,0%,0%,0%,10%,0%,11.11%,0%,0%,22.22%,0%,0%,0%,0%,0%,0%,8.33%,10%,0%,10%,0%,0%,0%,0%,6.25%,7.14%,0%,2.86%
Sellable returns,,0%,0%,,0%,,,0%,0%,100%,,,,,0%,,0%,,,,,,,,,,,,100%,0%,,20%
Margin,7.69%,34.85%,36.07%,20.69%,31.41%,28.69%,29.31%,33.7%,23.81%,31.67%,20.53%,31.74%,33.92%,12.04%,32.68%,33.61%,24.19%,32.41%,32.62%,39.93%,25.23%,23.87%,28.84%,-1.01%,28.96%,33.41%,32.51%,31.53%,30.11%,24.37%,31.55%,29.37%
ROI,37.56%,170.28%,176.26%,101.09%,153.47%,140.19%,143.22%,164.69%,116.36%,154.75%,100.32%,155.13%,165.78%,58.84%,159.69%,164.22%,118.19%,158.37%,159.41%,162.59%,123.31%,116.62%,137.93%,-4.48%,141.5%,163.29%,158.85%,154.06%,147.14%,119.11%,154.2%,141.6%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15.12%
