Parameter/Date,31 May 2024,30 May 2024,29 May 2024,28 May 2024,27 May 2024,26 May 2024,25 May 2024,24 May 2024,23 May 2024,22 May 2024,21 May 2024,20 May 2024,19 May 2024,18 May 2024,17 May 2024,16 May 2024,15 May 2024,14 May 2024,13 May 2024,12 May 2024,11 May 2024,10 May 2024,9 May 2024,8 May 2024,7 May 2024,6 May 2024,5 May 2024,4 May 2024,3 May 2024,2 May 2024,1 May 2024,Total
    Value of returned items,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
    Refund commission,-0.66,-0.66,0,0,0,0,0,0,0,0,0,-0.66,0,0,0,0,0,-0.66,0,0,0,0,-0.66,0,0,0,0,0,0,0,0,-3.3
    Refunded amount,-21.99,-21.99,0,0,0,0,0,0,0,0,0,-21.99,0,0,0,0,0,-21.99,0,0,0,0,-21.99,0,0,0,0,0,0,0,0,-109.95
Amazon fees,-153.19,-90.2,-57.4,-147.6,-164,-131.2,-101.01,-73.8,-155.8,-76.41,-65.6,-16.4,-32.8,-19.01,-49.2,-41,-90.2,-32.8,-65.6,-49.2,-49.2,-32.8,-93.72,-98.4,-90.2,-139.4,-32.8,-65.6,-98.4,-131.2,-98.4,-2542.54
    FBA per unit fulfilment fee,-83.3,-53.9,-34.3,-88.2,-98,-78.4,-68.6,-44.1,-93.1,-53.9,-39.2,-9.8,-19.6,-19.6,-29.4,-24.5,-53.9,-19.6,-39.2,-29.4,-29.4,-19.6,-19.6,-58.8,-53.9,-83.3,-19.6,-39.2,-58.8,-78.4,-58.8,-1499.4
    Referral fee,-56.1,-36.3,-23.1,-59.4,-66,-52.8,-46.2,-29.7,-62.7,-36.3,-26.4,-6.6,-13.2,-13.2,-19.8,-16.5,-36.3,-13.2,-26.4,-19.8,-19.8,-13.2,-13.2,-39.6,-36.3,-56.1,-13.2,-26.4,-39.6,-52.8,-39.6,-1009.8
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60.92,0,0,0,0,0,0,0,0,-60.92
    Compensated clawback,-13.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.79
    Reversal reimbursement,0,0,0,0,0,0,13.79,0,0,13.79,0,0,0,13.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.37
Cost of goods,-72,-49.5,-31.5,-81,-90,-72,-63,-40.5,-85.5,-49.5,-36,-9,-18,-18,-27,-22.5,-49.5,-18,-36,-27,-27,-18,-18,-54,-49.5,-76.5,-18,-36,-54,-72,-54,-1372.5
    Cost of goods sold,-76.5,-49.5,-31.5,-81,-90,-72,-63,-40.5,-85.5,-49.5,-36,-9,-18,-18,-27,-22.5,-49.5,-18,-36,-27,-27,-18,-18,-54,-49.5,-76.5,-18,-36,-54,-72,-54,-1377
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,83.21,21.19,25.41,110.08,106.14,76.82,91.42,38.41,105.54,48.99,32.44,-30.24,21.18,42.75,35.16,25.44,74.66,2.4,56.27,44.22,35.94,26.22,-68.24,87.34,70.88,118.97,-5.78,40.85,90.77,130.49,85.66,1624.59
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,83.21,21.19,25.41,110.08,106.14,76.82,91.42,38.41,105.54,48.99,32.44,-30.24,21.18,42.75,35.16,25.44,74.66,2.4,56.27,44.22,35.94,26.22,-68.24,87.34,70.88,118.97,-5.78,40.85,90.77,130.49,85.66,1624.59
Estimated payout,155.21,66.19,56.91,191.08,196.14,148.82,154.42,78.91,191.04,98.49,68.44,-21.24,39.18,60.75,62.16,47.94,124.16,20.4,92.27,71.22,62.94,44.22,-50.24,141.34,120.38,195.47,12.22,76.85,144.77,202.49,139.66,2992.59
Real ACOS,12.33%,27.35%,25.74%,14.44%,18.11%,20.41%,17.03%,22.84%,16.99%,27.69%,23.81%,67.01%,18.17%,9.32%,15.6%,19.11%,11.38%,17.52%,10.26%,8.73%,15.01%,12.44%,28.57%,9.15%,12.94%,10.42%,48.82%,19.03%,7.85%,5.16%,9.78%,16.3%
% Refunds,5.88%,9.09%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,1.63%
Sellable returns,,100%,,,,0%,,,,,,,0%,,,,,,,,,,,,,,0%,,,,,25%
Margin,22.26%,8.76%,16.51%,27.81%,24.13%,21.83%,29.7%,19.41%,25.26%,20.25%,18.44%,-68.76%,24.08%,48.6%,26.65%,23.14%,30.87%,2.73%,31.99%,33.52%,27.24%,29.81%,-77.58%,33.1%,29.3%,31.82%,-6.57%,23.22%,34.4%,37.09%,32.46%,24.14%
ROI,115.57%,42.81%,80.67%,135.9%,117.93%,106.69%,145.11%,94.84%,123.44%,98.97%,90.11%,-336%,117.67%,237.5%,130.22%,113.07%,150.83%,13.33%,156.31%,163.78%,133.11%,145.67%,-379.11%,161.74%,143.19%,155.52%,-32.11%,113.47%,168.09%,181.24%,158.63%,118.37%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,58,82,69,87,127,100,72,69,72,75,66,48,47,28,40,41,56,47,50,54,46,38,61,60,85,77,90,65,53,51,75,1989
    Browser sessions,25,39,33,39,56,50,30,33,34,30,31,19,19,12,25,23,32,26,20,29,21,16,30,27,38,39,33,38,23,21,31,922
    Mobile app sessions,33,43,36,48,71,50,42,36,38,45,35,29,28,16,15,18,24,21,30,25,25,22,31,33,47,38,57,27,30,30,44,1067
Unit session percentage,29.31%,13.41%,10.14%,20.69%,15.75%,16%,19.44%,13.04%,26.39%,14.67%,12.12%,4.17%,8.51%,14.29%,15%,12.2%,19.64%,8.51%,16%,11.11%,13.04%,10.53%,6.56%,20%,12.94%,22.08%,4.44%,12.31%,22.64%,31.37%,16%,15.38%
