Parameter/Date,31 July 2024,30 July 2024,29 July 2024,28 July 2024,27 July 2024,26 July 2024,25 July 2024,24 July 2024,23 July 2024,22 July 2024,21 July 2024,20 July 2024,19 July 2024,18 July 2024,17 July 2024,16 July 2024,15 July 2024,14 July 2024,13 July 2024,12 July 2024,11 July 2024,10 July 2024,9 July 2024,8 July 2024,7 July 2024,6 July 2024,5 July 2024,4 July 2024,3 July 2024,2 July 2024,1 July 2024,Total
Cost of goods,-67.5,-40.5,-49.5,-67.5,-67.5,-13.5,-31.5,-58.5,-36,-81,-27,-49.5,-27,-31.5,-58.5,-99,-54,-31.5,-40.5,-31.5,-54,-40.5,-63,-58.5,-45,-49.5,-76.5,-85.5,-36,-49.5,-67.5,-1588.5
    Cost of goods sold,-67.5,-40.5,-49.5,-67.5,-67.5,-13.5,-36,-58.5,-36,-81,-27,-49.5,-27,-31.5,-58.5,-99,-54,-31.5,-40.5,-31.5,-54,-40.5,-63,-58.5,-45,-49.5,-76.5,-85.5,-36,-49.5,-67.5,-1593
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,88.41,39.06,48.96,82.72,1.6,-15.79,32.76,91.33,46.33,121.91,8.88,59.43,-3.09,35.74,63.43,132.01,68.4,-0.36,25.49,9.81,68.29,29.07,55.83,42.55,-164.85,-38.29,1.87,115.07,62.95,97.87,96.22,1303.61
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,88.41,39.06,48.96,82.72,1.6,-15.79,32.76,91.33,46.33,121.91,8.88,59.43,-3.09,35.74,63.43,132.01,68.4,-0.36,25.49,9.81,68.29,29.07,55.83,42.55,-164.85,-38.29,1.87,115.07,62.95,97.87,96.22,1303.61
Estimated payout,155.91,79.56,98.46,150.22,69.1,-2.29,64.26,149.83,82.33,202.91,35.88,108.93,23.91,67.24,121.93,231.01,122.4,31.14,65.99,41.31,122.29,69.57,118.83,101.05,-119.85,11.21,78.37,200.57,98.95,147.37,163.72,2892.11
Real ACOS,15.44%,22.51%,22.01%,17.17%,23.24%,36.85%,20.28%,10.3%,15.91%,11.06%,35.52%,17.68%,44.59%,19.03%,20.06%,14.96%,16.33%,42.48%,29.37%,35.87%,16.37%,27.56%,24.11%,27.36%,60.91%,50.08%,46.75%,24.09%,25.96%,15.97%,17.53%,24.35%
% Refunds,0%,0%,0%,0%,13.33%,33.33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9.09%,0%,0%,0%,0%,0%,1.13%
Sellable returns,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,0%
Margin,26.8%,19.74%,20.24%,25.08%,0.49%,-23.94%,18.62%,31.95%,26.34%,30.8%,6.73%,24.57%,-2.34%,23.22%,22.19%,27.29%,25.92%,-0.23%,12.88%,6.37%,25.88%,14.69%,18.13%,14.88%,-74.97%,-15.83%,0.5%,27.54%,35.78%,40.46%,29.17%,16.75%
ROI,130.98%,96.44%,98.91%,122.55%,2.37%,-116.96%,104%,156.12%,128.69%,150.51%,32.89%,120.06%,-11.44%,113.46%,108.43%,133.34%,126.67%,-1.14%,62.94%,31.14%,126.46%,71.78%,88.62%,72.74%,-366.33%,-77.35%,2.44%,134.58%,174.86%,197.72%,142.55%,82.07%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,86,62,94,96,191,52,66,62,52,71,80,82,86,66,94,128,81,90,86,91,71,83,99,86,143,135,169,107,68,67,92,2836
    Browser sessions,37,23,44,42,47,27,35,28,27,28,35,32,42,31,43,55,31,34,26,38,21,30,33,44,60,45,53,28,25,30,34,1108
    Mobile app sessions,49,39,50,54,144,25,31,34,25,43,45,50,44,35,51,73,50,56,60,53,50,53,66,42,83,90,116,79,43,37,58,1728
Unit session percentage,17.44%,14.52%,11.7%,15.63%,7.85%,5.77%,12.12%,20.97%,15.38%,25.35%,7.5%,13.41%,6.98%,10.61%,13.83%,17.19%,14.81%,7.78%,10.47%,7.69%,16.9%,10.84%,14.14%,15.12%,6.99%,8.15%,10.06%,17.76%,11.76%,16.42%,16.3%,12.48%
