Parameter/Date,28 February 2025,27 February 2025,26 February 2025,25 February 2025,24 February 2025,23 February 2025,22 February 2025,21 February 2025,20 February 2025,19 February 2025,18 February 2025,17 February 2025,16 February 2025,15 February 2025,14 February 2025,13 February 2025,12 February 2025,11 February 2025,10 February 2025,9 February 2025,8 February 2025,7 February 2025,6 February 2025,5 February 2025,4 February 2025,3 February 2025,2 February 2025,1 February 2025,Total
    Refund commission,0,0,-0.69,-0.69,0,0,0,0,0,0,0,0,-0.69,-0.69,0,0,0,0,0,-0.69,0,-2.07,0,0,0,0,0,0,-5.52
    Refunded amount,0,0,-22.99,-22.99,0,0,0,0,0,0,0,0,-22.99,-22.99,0,0,0,0,0,-22.99,0,-68.97,0,0,0,0,0,0,-183.92
Amazon fees,-120.12,-111.54,-77.22,-180.18,-129.75,-116.69,-122.22,-96.03,-130.95,-130.95,-116.69,-157.14,-160.65,-165.87,-157.14,-209.52,-226.98,-148.41,-183.33,-209.52,-165.87,-174.6,-294.9,-231.34,-130.95,-165.87,-279.36,-192.06,-4585.85
    FBA per unit fulfilment fee,-73.92,-68.64,-47.52,-110.88,-79.2,-79.2,-73.92,-58.08,-79.2,-79.2,-79.2,-95.04,-105.6,-100.32,-95.04,-126.72,-137.28,-89.76,-110.88,-126.72,-100.32,-105.6,-126.72,-147.84,-79.2,-100.32,-168.96,-116.16,-2761.44
    Referral fee,-46.2,-42.9,-29.7,-69.3,-50.55,-51.75,-48.3,-37.95,-51.75,-51.75,-51.75,-62.1,-69,-65.55,-62.1,-82.8,-89.7,-58.65,-72.45,-82.8,-65.55,-69,-82.8,-96.6,-51.75,-65.55,-110.4,-75.9,-1794.6
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.38,0,0,0,0,0,-85.38
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26
    Warehouse lost,0,0,0,0,0,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,0,13.95,0,0,0,0,0,0,0,0,0,0,13.1,0,0,0,0,27.05
Cost of goods,-63,-58.5,-40.5,-94.5,-67.5,-72,-63,-49.5,-67.5,-67.5,-67.5,-81,-90,-85.5,-81,-108,-121.5,-76.5,-94.5,-112.5,-85.5,-90,-108,-126,-67.5,-85.5,-144,-99,-2367
    Cost of goods sold,-63,-58.5,-40.5,-94.5,-67.5,-67.5,-63,-49.5,-67.5,-67.5,-67.5,-81,-90,-85.5,-81,-108,-121.5,-76.5,-94.5,-112.5,-85.5,-90,-108,-126,-67.5,-85.5,-144,-99,-2362.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,35.75,-9.56,-51.99,12.58,-9.23,-16.87,-28.74,-12.16,11.44,-16.46,-4.46,-0.47,-57.23,-21.1,54.4,76.14,65.7,-53.94,-14.5,-74.84,-50.58,-58.66,-34.43,85.3,-38,-31.86,41.38,-45.42,-247.81
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,35.75,-9.56,-51.99,12.58,-9.23,-16.87,-28.74,-12.16,11.44,-16.46,-4.46,-0.47,-57.23,-21.1,54.4,76.14,65.7,-53.94,-14.5,-74.84,-50.58,-58.66,-34.43,85.3,-38,-31.86,41.38,-45.42,-247.81
Estimated payout,98.75,48.94,-11.49,107.08,58.27,55.13,34.26,37.34,74.44,51.04,63.04,80.53,32.77,64.4,135.4,184.14,187.2,22.56,80,37.66,34.92,26.84,73.57,211.3,29.5,53.64,185.38,53.58,2110.19
Real ACOS,28.91%,43.86%,56.57%,33.41%,44.18%,50.18%,51.38%,47.26%,40.44%,47.23%,47.88%,42.57%,53.53%,42.65%,29.31%,28.65%,30.71%,56.25%,45.46%,51.54%,54.03%,42.99%,33.22%,31.24%,53.47%,49.75%,36.83%,51.43%,42.65%
% Refunds,0%,0%,11.11%,4.76%,0%,0%,0%,0%,0%,0%,0%,0%,5%,5.26%,0%,0%,0%,0%,0%,4%,0%,15%,0%,0%,0%,0%,0%,0%,1.52%
Sellable returns,0%,,,,,,,0%,100%,,,0%,,,,,,,,,0%,100%,,,,,,,25%
Margin,11.61%,-3.34%,-26.27%,2.72%,-2.74%,-4.89%,-8.93%,-4.81%,3.32%,-4.77%,-1.29%,-0.11%,-12.45%,-4.83%,13.15%,13.8%,10.99%,-13.8%,-3%,-13.56%,-11.58%,-12.76%,-6.24%,13.25%,-11.02%,-7.29%,5.62%,-8.98%,-2.07%
ROI,56.75%,-16.34%,-128.37%,13.31%,-13.67%,-23.43%,-45.62%,-24.57%,16.95%,-24.39%,-6.61%,-0.58%,-63.59%,-24.68%,67.16%,70.5%,54.07%,-70.51%,-15.34%,-66.52%,-59.16%,-65.18%,-31.88%,67.7%,-56.3%,-37.26%,28.74%,-45.88%,-10.47%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,125,139,107,150,150,177,168,126,141,166,155,154,213,170,122,142,160,162,167,234,204,171,171,158,167,194,260,220,4673
    Browser sessions,45,62,35,39,58,59,51,41,56,62,55,63,58,56,43,45,56,57,52,68,60,53,48,59,58,58,80,69,1546
    Mobile app sessions,80,77,72,111,92,118,117,85,85,104,100,91,155,114,79,97,104,105,115,166,144,118,123,99,109,136,180,151,3127
Unit session percentage,11.2%,9.35%,8.41%,14%,10%,8.47%,8.33%,8.73%,10.64%,9.04%,9.68%,11.69%,9.39%,11.18%,14.75%,16.9%,16.88%,10.49%,12.57%,10.68%,9.31%,11.7%,14.04%,17.72%,8.98%,9.79%,12.31%,10%,11.23%
