Parameter/Date,31 May 2025,30 May 2025,29 May 2025,28 May 2025,27 May 2025,26 May 2025,25 May 2025,24 May 2025,23 May 2025,22 May 2025,21 May 2025,20 May 2025,19 May 2025,18 May 2025,17 May 2025,16 May 2025,15 May 2025,14 May 2025,13 May 2025,12 May 2025,11 May 2025,10 May 2025,9 May 2025,8 May 2025,7 May 2025,6 May 2025,5 May 2025,4 May 2025,3 May 2025,2 May 2025,1 May 2025,Total
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,5.23,35,23.39,-32.67,54.59,11.13,17.11,-20.21,-732.54,-36.23,-2.84,116.73,33.79,-9.73,61.67,-7.97,40.15,22.54,43.27,26.73,20.5,48.72,18.53,33.64,-10.99,-45.53,71.48,-72.5,28.69,34.43,11.8,-212.09
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,5.23,35,23.39,-32.67,54.59,11.13,17.11,-20.21,-732.54,-36.23,-2.84,116.73,33.79,-9.73,61.67,-7.97,40.15,22.54,43.27,26.73,20.5,48.72,18.53,33.64,-10.99,-45.53,71.48,-72.5,28.69,34.43,11.8,-212.09
Estimated payout,59.23,98,86.39,3.33,149.09,119.13,102.61,20.29,-687.54,8.77,69.16,256.23,119.29,80.27,160.67,41.53,116.65,99.04,133.27,103.23,115,138.72,90.53,105.64,61.01,21.97,192.98,8.5,132.19,115.43,74.8,2195.41
Real ACOS,40.56%,25.84%,30.83%,49.43%,29.06%,36.19%,34.11%,49.1%,51.24%,55.66%,39.24%,20.46%,29.93%,43.91%,25.04%,41.85%,27.15%,32.08%,28.09%,30.91%,33.75%,26.79%,32.88%,28.38%,29.45%,52.86%,25.79%,52.7%,32.46%,29.29%,36.08%,33.74%
% Refunds,0%,7.14%,6.67%,11.11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5.56%,0%,0%,0%,0.74%
Sellable returns,,,100%,100%,,,,,,,,,,,,,,,,,,,,,100%,,0%,,,,100%,80%
Margin,1.9%,10.87%,6.88%,-16.76%,12.38%,2.21%,4.29%,-10.7%,-348.99%,-17.26%,-0.85%,17.94%,8.47%,-2.32%,13.35%,-3.45%,11.25%,6.32%,10.31%,7.49%,4.65%,11.61%,5.52%,10.02%,-3.08%,-14.46%,12.61%,-19.19%,5.94%,9.11%,3.75%,-1.86%
ROI,9.69%,55.56%,34.65%,-80.67%,57.77%,10.31%,20.01%,-49.9%,-1627.87%,-80.51%,-3.94%,83.68%,39.52%,-10.81%,62.29%,-16.1%,52.48%,29.46%,48.08%,34.94%,21.69%,54.13%,25.74%,46.72%,-14.37%,-67.45%,58.83%,-89.51%,27.72%,42.51%,17.48%,-8.74%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,108,86,100,105,117,172,129,98,114,111,123,128,116,162,138,99,92,117,117,112,156,109,114,100,123,168,153,201,160,133,124,3885
    Browser sessions,37,31,41,40,41,55,42,40,38,35,32,46,32,54,38,42,24,41,29,46,53,29,47,37,46,51,41,58,57,51,48,1302
    Mobile app sessions,71,55,59,65,76,117,87,58,76,76,91,82,84,108,100,57,68,76,88,66,103,80,67,63,77,117,112,143,103,82,76,2583
Unit session percentage,11.11%,16.28%,15%,8.57%,17.95%,13.95%,14.73%,9.18%,8.77%,9.01%,13.01%,24.22%,16.38%,12.35%,15.94%,11.11%,18.48%,14.53%,17.09%,15.18%,13.46%,18.35%,14.04%,16%,13.82%,8.93%,17.65%,8.96%,14.38%,13.53%,12.1%,13.87%
