Parameter/Date,31 October 2025,30 October 2025,29 October 2025,28 October 2025,27 October 2025,26 October 2025,25 October 2025,24 October 2025,23 October 2025,22 October 2025,21 October 2025,20 October 2025,19 October 2025,18 October 2025,17 October 2025,16 October 2025,15 October 2025,14 October 2025,13 October 2025,12 October 2025,11 October 2025,10 October 2025,9 October 2025,8 October 2025,7 October 2025,6 October 2025,5 October 2025,4 October 2025,3 October 2025,2 October 2025,1 October 2025,Total
Refund cost,0,0,0,0,-20.23,0,0,0,0,-20.23,0,0,0,0,0,0,0,0,-20.23,0,0,0,0,0,0,0,0,0,0,0,-20.23,-80.92
    Refunded referral fee,0,0,0,0,3.45,0,0,0,0,3.45,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,3.45,13.8
    Refund commission,0,0,0,0,-0.69,0,0,0,0,-0.69,0,0,0,0,0,0,0,0,-0.69,0,0,0,0,0,0,0,0,0,0,0,-0.69,-2.76
    Refunded amount,0,0,0,0,-22.99,0,0,0,0,-22.99,0,0,0,0,0,0,0,0,-22.99,0,0,0,0,0,0,0,0,0,0,0,-22.99,-91.96
Amazon fees,-81.36,-108.48,-54.24,-126.56,-108.48,-144.64,-81.36,-48.36,-126.56,-90.4,-63.28,-153.68,-63.28,-63.28,-99.44,-99.44,-99.44,-143.09,-69.84,-113.8,-122.22,-113.49,-90.15,-122.22,-129.63,-139.68,-113.49,-122.22,-96.03,-113.49,-43.65,-3145.28
    FBA per unit fulfilment fee,-50.31,-67.08,-33.54,-78.26,-67.08,-89.44,-50.31,-33.54,-78.26,-55.9,-39.13,-95.03,-39.13,-39.13,-61.49,-61.49,-61.49,-87.89,-42.24,-68.95,-73.92,-68.64,-58.08,-73.92,-52.8,-84.48,-68.64,-73.92,-58.08,-68.64,-26.4,-1907.21
    Referral fee,-31.05,-41.4,-20.7,-48.3,-41.4,-55.2,-31.05,-20.7,-48.3,-34.5,-24.15,-58.65,-24.15,-24.15,-37.95,-37.95,-37.95,-55.2,-27.6,-44.85,-48.3,-44.85,-37.95,-48.3,-34.5,-55.2,-44.85,-48.3,-37.95,-44.85,-17.25,-1207.5
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.33,0,0,0,0,0,0,-42.33
    Warehouse damage,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88
    Warehouse lost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,5.88
Cost of goods,-40.5,-54,-27,-63,-54,-72,-40.5,-31.5,-63,-45,-31.5,-76.5,-31.5,-31.5,-49.5,-49.5,-49.5,-72,-36,-58.5,-63,-58.5,-54,-63,-45,-72,-58.5,-63,-49.5,-58.5,-22.5,-1584
    Cost of goods sold,-40.5,-54,-27,-63,-54,-72,-40.5,-27,-63,-45,-31.5,-76.5,-31.5,-31.5,-49.5,-49.5,-49.5,-72,-36,-58.5,-63,-58.5,-49.5,-63,-45,-72,-58.5,-63,-49.5,-58.5,-22.5,-1575
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,-9
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,-33.1,-11.69,-62.23,-0.22,-76.35,-84.88,-84.11,-70.14,-7.57,-37.91,-60.59,-3.83,-168.68,-126.34,-80.08,-102.93,-100.42,-55.29,-188.02,-155.53,-101.78,-67.54,-108.78,-101.8,-201.93,-91.47,-173.36,-110.25,-83.69,-82.72,-198.78,-2832.01
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,-33.1,-11.69,-62.23,-0.22,-76.35,-84.88,-84.11,-70.14,-7.57,-37.91,-60.59,-3.83,-168.68,-126.34,-80.08,-102.93,-100.42,-55.29,-188.02,-155.53,-101.78,-67.54,-108.78,-101.8,-201.93,-91.47,-173.36,-110.25,-83.69,-82.72,-198.78,-2832.01
Estimated payout,7.4,42.31,-35.23,62.78,-22.35,-12.88,-43.61,-38.64,55.43,7.09,-29.09,72.67,-137.18,-94.84,-30.58,-53.43,-50.92,16.71,-152.02,-97.03,-38.78,-9.04,-54.78,-38.8,-156.93,-19.47,-114.86,-47.25,-34.19,-24.22,-176.28,-1248.01
Real ACOS,57.1%,45.34%,86.22%,41.17%,61.45%,64.18%,81.76%,92.95%,43.46%,48.8%,78.75%,42.08%,145.92%,119.61%,72.77%,82.3%,80.81%,56.56%,133.68%,94.39%,74.08%,65.05%,86.01%,74.08%,111.87%,67.32%,100.46%,76.71%,75.55%,70.13%,197.78%,75.44%
% Refunds,0%,0%,0%,0%,8.33%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,12.5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,1.14%
Sellable returns,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,0%,,0%
Margin,-16%,-4.24%,-45.11%,-0.07%,-27.68%,-23.08%,-40.65%,-50.85%,-2.35%,-16.49%,-37.65%,-0.98%,-104.82%,-78.51%,-31.67%,-39.61%,-39.71%,-15.03%,-102.23%,-52.04%,-31.62%,-22.6%,-43.01%,-31.63%,-87.83%,-24.87%,-58.01%,-34.25%,-33.09%,-27.68%,-172.93%,-35.17%
ROI,-81.73%,-21.65%,-230.48%,-0.35%,-141.39%,-117.89%,-207.68%,-222.67%,-12.02%,-84.24%,-192.35%,-5.01%,-535.49%,-401.08%,-161.78%,-207.94%,-202.87%,-76.79%,-522.28%,-265.86%,-161.56%,-115.45%,-201.44%,-161.59%,-448.73%,-127.04%,-296.34%,-175%,-169.07%,-141.4%,-883.47%,-178.79%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,75,82,81,96,109,151,115,92,98,81,88,80,0,122,124,120,126,132,157,181,143,116,124,146,149,146,174,127,112,120,131,3598
    Browser sessions,21,34,20,34,34,42,30,23,30,29,28,24,0,36,40,34,33,37,44,43,34,32,30,47,47,37,58,37,39,35,31,1043
    Mobile app sessions,54,48,61,62,75,109,85,69,68,52,60,56,0,86,84,86,93,95,113,138,109,84,94,99,102,109,116,90,73,85,100,2555
Unit session percentage,12%,14.63%,7.41%,14.58%,11.01%,10.6%,7.83%,6.52%,14.29%,12.35%,7.95%,21.25%,0%,5.74%,8.87%,9.17%,8.73%,12.12%,5.1%,7.18%,9.79%,11.21%,8.87%,9.59%,6.71%,10.96%,7.47%,11.02%,9.82%,10.83%,3.82%,9.73%
