Parameter/Date,31 March 2024,30 March 2024,29 March 2024,28 March 2024,27 March 2024,26 March 2024,25 March 2024,24 March 2024,23 March 2024,22 March 2024,21 March 2024,20 March 2024,19 March 2024,18 March 2024,17 March 2024,16 March 2024,15 March 2024,14 March 2024,13 March 2024,12 March 2024,11 March 2024,10 March 2024,9 March 2024,8 March 2024,7 March 2024,6 March 2024,5 March 2024,4 March 2024,3 March 2024,2 March 2024,1 March 2024,Total
Net profit,71.86,78.09,60.42,66.18,109.41,77.42,70,94.86,-3.32,78.87,53.36,67.61,53.83,68.73,102.42,66,52.81,101.93,73.6,81.33,8.96,91.15,68.07,95.39,-65.45,14.7,61.83,36.86,5.51,-24.18,39.16,1757.41
Estimated payout,125.86,141.09,105.42,120.18,203.91,140.42,133,202.86,37.18,146.37,111.86,139.61,121.33,136.23,196.92,129,115.81,187.43,150.1,175.83,67.46,172.15,140.07,180.89,-20.45,59.7,133.83,95.36,59.51,20.82,102.16,3831.91
Real ACOS,13.7%,12.75%,13.49%,15.85%,13.06%,20.17%,18.19%,20.13%,43.09%,17.02%,18.77%,21.71%,24.61%,21.53%,18.75%,19.49%,23.77%,16.53%,16.06%,19.13%,31.02%,17.9%,21.58%,18.1%,36.27%,34.24%,23.35%,32.76%,38.84%,43.12%,28.21%,21.91%
% Refunds,0%,6.67%,0%,0%,4.76%,0%,0%,4.35%,0%,0%,7.14%,0%,0%,0%,0%,0%,0%,0%,5.88%,4.76%,7.69%,0%,0%,0%,10%,0%,0%,0%,0%,10%,0%,1.95%
Sellable returns,,100%,,,0%,,,,100%,,100%,0%,,,,,,,0%,,,,,0%,0%,,,0%,,,,33.33%
Margin,27.23%,23.67%,27.48%,25.08%,23.69%,25.15%,22.74%,18.76%,-1.51%,23.91%,17.33%,19.22%,16.32%,22.33%,22.18%,21.44%,17.15%,24.4%,19.69%,17.61%,3.13%,23.03%,19.35%,22.83%,-29.76%,6.68%,17.57%,12.89%,2.09%,-11%,12.72%,17.3%
ROI,133.07%,115.69%,134.27%,122.56%,115.78%,122.89%,111.11%,87.83%,-7.38%,116.84%,84.7%,93.9%,79.75%,101.82%,108.38%,104.76%,83.83%,119.22%,96.21%,86.06%,15.32%,112.53%,94.54%,111.57%,-145.44%,32.67%,85.88%,63.01%,10.2%,-53.73%,62.16%,84.17%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,100,101,76,95,123,100,101,177,159,105,86,99,131,112,154,109,106,96,91,119,116,115,104,102,103,99,106,120,130,137,94,3466
    Browser sessions,29,36,28,41,46,35,34,49,58,39,31,36,56,43,42,34,37,31,35,43,47,38,34,33,34,36,32,39,47,38,29,1190
    Mobile app sessions,71,65,48,54,77,65,67,128,101,66,55,63,75,69,112,75,69,65,56,76,69,77,70,69,69,63,74,81,83,99,65,2276
Unit session percentage,12%,14.85%,13.16%,12.63%,17.07%,14%,13.86%,12.99%,6.29%,14.29%,16.28%,16.16%,11.45%,12.5%,13.64%,12.84%,13.21%,19.79%,18.68%,17.65%,11.21%,15.65%,15.38%,18.63%,9.71%,10.1%,15.09%,10.83%,9.23%,7.3%,14.89%,13.33%
