Parameter/Date,31 October 2024,30 October 2024,29 October 2024,28 October 2024,27 October 2024,26 October 2024,25 October 2024,24 October 2024,23 October 2024,22 October 2024,21 October 2024,20 October 2024,19 October 2024,18 October 2024,17 October 2024,16 October 2024,15 October 2024,14 October 2024,13 October 2024,12 October 2024,11 October 2024,10 October 2024,9 October 2024,8 October 2024,7 October 2024,6 October 2024,5 October 2024,4 October 2024,3 October 2024,2 October 2024,1 October 2024,Total
    Cost of goods sold,-45,-54,-45,-67.5,-90,-63,-45,-76.5,-49.5,-31.5,-40.5,-45,-22.5,-36,-22.5,-40.5,-94.5,-54,-22.5,-76.5,-27,-54,-58.5,-103.5,-36,-36,-58.5,-45,-27,-45,-31.5,-1543.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,-8.58,47.13,-8.63,96.19,-3.7,41.03,30.46,85.52,40.39,-6.43,10.6,-0.37,-20.68,11.76,-26.41,22.96,49.1,39.35,-44.5,88.45,6.34,58.92,14.13,-0.88,-30.46,20.04,9.61,38.53,7.96,51.18,24.15,643.16
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,-8.58,47.13,-8.63,96.19,-3.7,41.03,30.46,85.52,40.39,-6.43,10.6,-0.37,-20.68,11.76,-26.41,22.96,49.1,39.35,-44.5,88.45,6.34,58.92,14.13,-0.88,-30.46,20.04,9.61,38.53,7.96,51.18,24.15,643.16
Estimated payout,36.42,101.13,31.87,163.69,86.3,104.03,79.96,162.02,89.89,25.07,51.1,44.63,1.82,47.76,-3.91,63.46,143.6,93.35,-22,164.95,33.34,112.92,72.63,102.62,5.54,56.04,68.11,83.53,34.96,96.18,55.65,2186.66
Real ACOS,32.81%,21.25%,33.69%,13.92%,29.75%,19.5%,20.37%,16.23%,22.41%,43.29%,23.98%,39.28%,57.92%,32.42%,63.13%,27.51%,18.76%,24.67%,80.15%,19.53%,35.24%,18.07%,29.29%,27.27%,32.94%,29.13%,25.49%,15.52%,34.49%,17.24%,24.83%,26.63%
% Refunds,0%,0%,10%,0%,0%,7.14%,10%,0%,0%,0%,11.11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7.69%,4.35%,0%,0%,7.69%,10%,0%,0%,0%,2.33%
Sellable returns,,,100%,,,,0%,,,,,,,,,,,0%,,,0%,,,,0%,,,,,,,20%
Margin,-3.9%,17.86%,-4.36%,29.16%,-0.84%,13.33%,13.85%,22.88%,16.7%,-4.18%,5.36%,-0.17%,-18.81%,6.68%,-24.02%,11.6%,10.63%,14.91%,-40.47%,23.66%,4.81%,22.33%,4.94%,-0.18%,-17.31%,11.39%,3.36%,17.52%,6.03%,23.27%,15.69%,8.58%
ROI,-19.07%,87.28%,-19.18%,142.5%,-4.11%,65.13%,61.54%,111.79%,81.6%,-20.41%,26.17%,-0.82%,-91.91%,32.67%,-117.38%,56.69%,51.96%,72.87%,-197.78%,115.62%,23.48%,109.11%,24.15%,-0.85%,-84.61%,55.67%,16.43%,85.62%,29.48%,113.73%,76.67%,41.55%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,96,62,69,67,182,74,49,74,58,66,63,79,69,56,76,71,120,79,101,74,55,60,103,188,84,69,118,56,60,60,63,2501
    Browser sessions,33,19,26,23,59,30,19,30,15,27,24,28,29,19,38,35,42,33,35,27,22,29,41,80,38,25,43,24,31,27,32,983
    Mobile app sessions,63,43,43,44,123,44,30,44,43,39,39,51,40,37,38,36,78,46,66,47,33,31,62,108,46,44,75,32,29,33,31,1518
Unit session percentage,10.42%,19.35%,14.49%,22.39%,10.99%,18.92%,20.41%,22.97%,18.97%,10.61%,14.29%,12.66%,7.25%,14.29%,6.58%,12.68%,17.5%,15.19%,4.95%,22.97%,10.91%,20%,12.62%,12.23%,9.52%,11.59%,11.02%,17.86%,10%,16.67%,11.11%,13.71%
