Parameter/Date,31 December 2022,30 December 2022,29 December 2022,28 December 2022,27 December 2022,26 December 2022,25 December 2022,24 December 2022,23 December 2022,22 December 2022,21 December 2022,20 December 2022,19 December 2022,18 December 2022,17 December 2022,16 December 2022,15 December 2022,14 December 2022,13 December 2022,12 December 2022,11 December 2022,10 December 2022,9 December 2022,8 December 2022,7 December 2022,6 December 2022,5 December 2022,4 December 2022,3 December 2022,2 December 2022,1 December 2022,Total
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,-19.35,0,0,-38.7,0,-19.35,0,0,-19.35,0,0,0,-19.35,0,0,0,-19.35,0,0,0,0,4.5,0,-19.35,0,-34.2,0,-38.7,4.5,0,-218.7
    Refunded referral fee,0,3.3,0,0,6.6,0,3.3,0,0,3.3,0,0,0,3.3,0,0,0,3.3,0,0,0,0,0,0,3.3,0,6.6,0,6.6,0,0,39.6
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,4.5,0,0,4.5,0,13.5
    Refund commission,0,-0.66,0,0,-1.32,0,-0.66,0,0,-0.66,0,0,0,-0.66,0,0,0,-0.66,0,0,0,0,0,0,-0.66,0,-1.32,0,-1.32,0,0,-7.92
    Refunded amount,0,-21.99,0,0,-43.98,0,-21.99,0,0,-21.99,0,0,0,-21.99,0,0,0,-21.99,0,0,0,0,0,0,-21.99,0,-43.98,0,-43.98,0,0,-263.88
Amazon fees,-206.61,-140.19,-252.28,-252.28,-352.89,-198.97,-194.25,-135.15,-144.16,-135.15,-108.12,-99.11,-263.77,-198.22,-234.26,-126.14,-191.72,-198.22,-198.22,-180.2,-225.26,-171.19,-100.61,-393.06,-207.23,-90.1,-207.23,-189.21,-279.31,-100.61,-135.15,-5908.87
    FBA per unit fulfilment fee,-130.71,-97.07,-159.88,-159.88,-222.69,-125.62,-131.33,-85.65,-91.36,-85.65,-68.52,-62.81,-168.95,-125.62,-148.46,-79.94,-123.29,-125.62,-125.62,-114.2,-142.76,-108.49,-62.81,-114.2,-131.33,-57.1,-131.33,-119.91,-177.01,-62.81,-85.65,-3626.27
    Referral fee,-75.9,-56.1,-92.4,-92.4,-128.7,-72.6,-75.9,-49.5,-52.8,-49.5,-39.6,-36.3,-94.82,-72.6,-85.8,-46.2,-68.43,-72.6,-72.6,-66,-82.5,-62.7,-36.3,-66,-75.9,-33,-75.9,-69.3,-102.3,-36.3,-49.5,-2090.45
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-212.86,0,0,0,0,0,0,0,-212.86
    FBA disposal fee,0,0,0,0,-1.5,-0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,0,0,0,0,0,0,-1.5,0,-5.25
    Reversal reimbursement,0,12.98,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.96
Cost of goods,-103.5,-76.5,-126,-126,-175.5,-99,-103.5,-67.5,-72,-67.5,-54,-49.5,-130.5,-99,-117,-63,-94.5,-99,-99,-90,-112.5,-85.5,-49.5,-90,-103.5,-45,-103.5,-94.5,-139.5,-49.5,-67.5,-2853
    Cost of goods sold,-103.5,-76.5,-126,-126,-175.5,-99,-103.5,-67.5,-72,-67.5,-54,-49.5,-130.5,-99,-117,-63,-94.5,-99,-99,-90,-112.5,-85.5,-49.5,-90,-103.5,-45,-103.5,-94.5,-139.5,-49.5,-67.5,-2853
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,195.66,137.79,237.44,237.44,290.52,185.81,188.67,127.2,135.68,107.85,101.76,93.28,237.63,167.21,220.48,118.72,169.71,167.21,186.56,169.6,211.99,161.12,96.28,-43.26,175.69,84.8,160.84,178.08,224.18,96.28,127.2,4949.42
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,195.66,137.79,237.44,237.44,290.52,185.81,188.67,127.2,135.68,107.85,101.76,93.28,237.63,167.21,220.48,118.72,169.71,167.21,186.56,169.6,211.99,161.12,96.28,-43.26,175.69,84.8,160.84,178.08,224.18,96.28,127.2,4949.42
Estimated payout,299.16,214.29,363.44,363.44,466.02,284.81,292.17,194.7,207.68,175.35,155.76,142.78,368.13,266.21,337.48,181.72,264.21,266.21,285.56,259.6,324.49,246.62,141.28,46.74,279.19,129.8,259.84,272.58,363.68,141.28,194.7,7788.92
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,5.88%,0%,0%,5.13%,0%,4.35%,0%,0%,6.67%,0%,0%,0%,4.55%,0%,0%,0%,4.55%,0%,0%,0%,0%,0%,0%,4.35%,0%,8.7%,0%,6.45%,0%,0%,1.89%
Sellable returns,,0%,0%,,0%,,,,,,,,,,,,0%,,,,,,50%,,,,100%,,,100%,,33.33%
Margin,38.69%,36.86%,38.56%,38.56%,33.88%,38.41%,37.3%,38.56%,38.56%,32.7%,38.56%,38.56%,37.61%,34.56%,38.56%,38.56%,37.22%,34.56%,38.56%,38.56%,38.56%,38.56%,39.8%,-9.84%,34.74%,38.56%,31.8%,38.56%,32.89%,39.8%,38.56%,35.53%
ROI,189.04%,180.12%,188.44%,188.44%,165.54%,187.69%,182.29%,188.44%,188.44%,159.78%,188.44%,188.44%,182.09%,168.9%,188.44%,188.44%,179.59%,168.9%,188.44%,188.44%,188.44%,188.44%,194.51%,-48.07%,169.75%,188.44%,155.4%,188.44%,160.7%,194.51%,188.44%,173.48%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7039
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2874
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4165
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9.01%
