Parameter/Date,30 September 2024,29 September 2024,28 September 2024,27 September 2024,26 September 2024,25 September 2024,24 September 2024,23 September 2024,22 September 2024,21 September 2024,20 September 2024,19 September 2024,18 September 2024,17 September 2024,16 September 2024,15 September 2024,14 September 2024,13 September 2024,12 September 2024,11 September 2024,10 September 2024,9 September 2024,8 September 2024,7 September 2024,6 September 2024,5 September 2024,4 September 2024,3 September 2024,2 September 2024,1 September 2024,Total
    Referral fee,-39.6,-23.1,-23.1,-23.1,-26.4,-29.7,-16.5,-58.5,-33,-55.4,-23.1,-16.5,-23.1,-29.7,-42.9,-29.7,-47.3,-16.5,-36.3,-26.4,-46.2,-36.3,-68.4,-23.1,-42.9,-9.9,-26.4,-46.2,-52.8,-46.2,-1018.3
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,-82.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.28
    Compensated clawback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.91,0,-26.91
    Reversal reimbursement,0,0,0,0,0,0,0,0,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41
    Warehouse lost manual,0,0,0,0,0,0,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41
Cost of goods,-54,-31.5,-31.5,-31.5,-40.5,-40.5,-27,-90,-45,-81,-31.5,-22.5,-31.5,-40.5,-58.5,-40.5,-72,-22.5,-49.5,-36,-63,-49.5,-103.5,-31.5,-58.5,-13.5,-36,-63,-63,-63,-1422
    Cost of goods sold,-54,-31.5,-31.5,-31.5,-40.5,-40.5,-22.5,-90,-45,-81,-31.5,-22.5,-31.5,-40.5,-58.5,-40.5,-72,-22.5,-49.5,-36,-63,-49.5,-103.5,-31.5,-58.5,-13.5,-36,-63,-72,-63,-1426.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,43.48,-8.34,-2.97,11.63,20.54,11.14,11.51,33.31,-5.8,34.91,-2.99,-11.62,-68.7,-0.03,61.42,-27.37,20.31,6.73,41.09,32.7,70.33,37.34,32.35,-13.62,57.14,-15.36,15.31,81.02,63.61,60.25,589.32
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,43.48,-8.34,-2.97,11.63,20.54,11.14,11.51,33.31,-5.8,34.91,-2.99,-11.62,-68.7,-0.03,61.42,-27.37,20.31,6.73,41.09,32.7,70.33,37.34,32.35,-13.62,57.14,-15.36,15.31,81.02,63.61,60.25,589.32
Estimated payout,97.48,23.16,28.53,43.13,61.04,51.64,38.51,123.31,39.2,115.91,28.51,10.88,-37.2,40.47,119.92,13.13,92.31,29.23,90.59,68.7,133.33,86.84,135.85,17.88,115.64,-1.86,51.31,144.02,126.61,123.25,2011.32
Real ACOS,16.71%,45.94%,42.45%,32.96%,26.28%,34.89%,38.15%,23.39%,49.25%,26.04%,42.46%,51.09%,31.7%,30.76%,19.03%,44.57%,25.99%,34.4%,23.53%,21.93%,17.67%,25.08%,25.82%,49.37%,20.53%,63.8%,31.82%,14.2%,17.35%,20.95%,28.04%
% Refunds,8.33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11.11%,0%,11.11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.95%
Sellable returns,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%
Margin,16.48%,-5.42%,-1.93%,7.56%,11.68%,5.63%,10.47%,7.57%,-2.64%,8.82%,-1.94%,-10.57%,-44.63%,-0.02%,21.49%,-13.83%,5.77%,6.12%,16.99%,18.59%,22.84%,15.44%,6.4%,-8.85%,19.99%,-23.28%,8.7%,26.32%,18.08%,19.57%,8.48%
ROI,80.52%,-26.48%,-9.43%,36.92%,50.72%,27.51%,42.63%,37.01%,-12.89%,43.1%,-9.49%,-51.64%,-218.1%,-0.07%,104.99%,-67.58%,28.21%,29.91%,83.01%,90.83%,111.63%,75.43%,31.26%,-43.24%,97.68%,-113.78%,42.53%,128.6%,100.97%,95.63%,41.44%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,65,90,83,72,71,90,64,164,102,126,70,67,58,66,63,90,138,50,66,53,69,77,171,102,77,71,79,57,86,93,2530
    Browser sessions,37,37,31,29,29,43,30,73,38,44,29,27,27,35,32,40,48,22,28,33,29,33,57,42,27,34,39,28,40,35,1076
    Mobile app sessions,28,53,52,43,42,47,34,91,64,82,41,40,31,31,31,50,90,28,38,20,40,44,114,60,50,37,40,29,46,58,1454
Unit session percentage,18.46%,7.78%,8.43%,9.72%,12.68%,10%,7.81%,12.2%,9.8%,14.29%,10%,7.46%,12.07%,13.64%,20.63%,10%,11.59%,10%,16.67%,15.09%,20.29%,14.29%,13.45%,6.86%,16.88%,4.23%,10.13%,24.56%,18.6%,15.05%,12.53%
