Parameter/Date,30 November 2022,29 November 2022,28 November 2022,27 November 2022,26 November 2022,25 November 2022,24 November 2022,23 November 2022,22 November 2022,21 November 2022,20 November 2022,19 November 2022,18 November 2022,17 November 2022,16 November 2022,15 November 2022,14 November 2022,13 November 2022,12 November 2022,11 November 2022,10 November 2022,9 November 2022,8 November 2022,7 November 2022,6 November 2022,5 November 2022,4 November 2022,3 November 2022,2 November 2022,1 November 2022,Total
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,144.16,152.64,212,233.46,175.69,245.92,144.16,186.56,195.27,152.64,233.77,228.96,156.62,250.42,218.84,195.04,225.15,186.56,233.46,197.38,186.56,180.19,-193.27,199.02,184.17,151.77,95.28,188.55,139.54,133.81,5234.32
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,144.16,152.64,212,233.46,175.69,245.92,144.16,186.56,195.27,152.64,233.77,228.96,156.62,250.42,218.84,195.04,225.15,186.56,233.46,197.38,186.56,180.19,-193.27,199.02,184.17,151.77,95.28,188.55,139.54,133.81,5234.32
Estimated payout,220.66,233.64,324.5,350.46,279.19,376.42,220.66,285.56,303.27,233.64,350.77,350.46,246.62,376.42,340.34,298.54,346.65,285.56,350.46,314.38,285.56,279.19,-130.27,311.52,292.17,237.27,153.78,296.55,220.54,205.81,8240.32
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,4.35%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3.7%,0%,0%,0%,0%,3.85%,0%,4.35%,0%,0%,4.17%,0%,0%,0%,0%,0%,0.75%
Sellable returns,,,,,,,0%,,,,,0%,,100%,,,0%,,100%,,,100%,,0%,,,,,,,42.86%
Margin,38.56%,38.56%,38.56%,40.83%,34.74%,38.56%,38.56%,38.56%,37.4%,38.56%,40.89%,38.56%,37.49%,39.27%,36.86%,38.56%,39.38%,38.56%,39.32%,34.52%,38.56%,35.63%,-62.78%,37.71%,34.9%,36.33%,33.33%,35.73%,35.25%,38.03%,35.65%
ROI,188.44%,188.44%,188.44%,199.54%,169.75%,188.44%,188.44%,188.44%,180.81%,188.44%,199.8%,188.44%,174.02%,191.89%,180.12%,188.44%,185.31%,188.44%,192.15%,168.7%,188.44%,174.1%,-306.78%,176.91%,170.53%,177.51%,162.87%,174.58%,172.27%,185.85%,173.35%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6607
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2755
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3852
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10.14%
