Parameter/Date,31 January 2023,30 January 2023,29 January 2023,28 January 2023,27 January 2023,26 January 2023,25 January 2023,24 January 2023,23 January 2023,22 January 2023,21 January 2023,20 January 2023,19 January 2023,18 January 2023,17 January 2023,16 January 2023,15 January 2023,14 January 2023,13 January 2023,12 January 2023,11 January 2023,10 January 2023,9 January 2023,8 January 2023,7 January 2023,6 January 2023,5 January 2023,4 January 2023,3 January 2023,2 January 2023,1 January 2023,Total
    FBA per unit fulfilment fee,-70.2,-59.4,-48.6,-54,-32.4,-27,-59.4,-70.2,-64.8,-64.8,-54,-70.2,-48.6,-54,0,0,0,0,-5.4,0,0,0,0,0,0,-5.71,-5.71,0,0,0,-45.68,-840.1
    Referral fee,-42.9,-36.3,-29.7,-33,-19.8,-16.5,-36.3,-42.9,-39.6,-39.6,-33,-42.9,-29.7,-33,0,0,0,0,-3.3,0,0,0,0,0,0,-3.3,-3.3,0,0,0,-26.4,-511.5
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76.75,0,0,0,0,0,0,-76.75
    FBA disposal fee,0,0,0,-2.25,0,0,0,0,-0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
    Warehouse damage exception,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,12.98
Cost of goods,-63,-49.5,-40.5,-45,-27,-22.5,-49.5,-58.5,-54,-54,-45,-58.5,-40.5,-45,0,0,-4.5,0,-4.5,0,0,0,0,0,0,-4.5,-4.5,0,0,0,-36,-706.5
    Cost of goods sold,-63,-49.5,-40.5,-45,-27,-22.5,-49.5,-58.5,-54,-54,-45,-58.5,-40.5,-45,0,0,0,0,-4.5,0,0,0,0,0,0,-4.5,-4.5,0,0,0,-36,-702
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,109.77,96.69,79.11,85.65,52.74,43.95,77.34,114.27,104.73,105.48,87.9,114.27,79.11,105.38,0,0,1.31,0,8.79,4.5,0,0,12.98,0,-76.75,-30.22,8.48,0,0,0,67.84,1253.32
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,109.77,96.69,79.11,85.65,52.74,43.95,77.34,114.27,104.73,105.48,87.9,114.27,79.11,105.38,0,0,1.31,0,8.79,4.5,0,0,12.98,0,-76.75,-30.22,8.48,0,0,0,67.84,1253.32
Estimated payout,172.77,146.19,119.61,130.65,79.74,66.45,126.84,172.77,158.73,159.48,132.9,172.77,119.61,145.88,0,0,5.81,0,13.29,0,0,0,12.98,0,-76.75,-25.72,12.98,0,0,0,103.84,1950.82
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,0%,9.09%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,200%,0%,0%,0%,0%,0%,1.92%
Sellable returns,,,,,,,,,,0%,,,0%,100%,,,,,,100%,,,,,,,,,,,,50%
Margin,38.4%,39.97%,39.97%,38.95%,39.97%,39.97%,31.97%,39.97%,39.69%,39.97%,39.97%,39.97%,39.97%,47.92%,0%,0%,0%,0%,39.97%,0%,0%,0%,0%,0%,0%,-137.43%,38.56%,0%,0%,0%,38.56%,36.77%
ROI,174.24%,195.33%,195.33%,190.33%,195.33%,195.33%,156.24%,195.33%,193.94%,195.33%,195.33%,195.33%,195.33%,234.18%,0%,0%,29.11%,0%,195.33%,,0%,0%,,0%,,-671.56%,188.44%,0%,0%,0%,188.44%,177.4%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1297
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6.09%
