Parameter/Date,30 June 2024,29 June 2024,28 June 2024,27 June 2024,26 June 2024,25 June 2024,24 June 2024,23 June 2024,22 June 2024,21 June 2024,20 June 2024,19 June 2024,18 June 2024,17 June 2024,16 June 2024,15 June 2024,14 June 2024,13 June 2024,12 June 2024,11 June 2024,10 June 2024,9 June 2024,8 June 2024,7 June 2024,6 June 2024,5 June 2024,4 June 2024,3 June 2024,2 June 2024,1 June 2024,Total
Gross profit,68.59,-3.13,38.41,84.55,85.67,63.36,34.52,17.46,-5.7,48.79,25.01,91.46,18.86,39.16,21.08,22.53,83.8,24.94,50.36,34.71,85.42,37.29,82.5,77.46,-52.62,49.25,45.32,56.21,12.17,70.42,1307.85
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,68.59,-3.13,38.41,84.55,85.67,63.36,34.52,17.46,-5.7,48.79,25.01,91.46,18.86,39.16,21.08,22.53,83.8,24.94,50.36,34.71,85.42,37.29,82.5,77.46,-52.62,49.25,45.32,56.21,12.17,70.42,1307.85
Estimated payout,149.59,46.37,69.91,134.05,139.67,103.86,66.02,48.96,16.8,93.79,65.51,167.96,59.36,84.16,61.58,54.03,142.3,56.44,108.86,70.71,157.42,104.79,159,144.96,5.88,98.75,108.32,123.71,66.17,146.92,2855.85
Real ACOS,26.16%,43.54%,17.29%,7.29%,9.78%,10.23%,19.82%,30.9%,29.83%,18.81%,19.83%,16.29%,31.94%,24.44%,31.6%,27.61%,17.76%,26.04%,17.86%,22.52%,17.97%,27.43%,20.18%,18.76%,27.56%,27.5%,27.53%,25.21%,37.63%,23.41%,23.11%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,11.11%,5.88%,0%,0%,0%,0%,0%,0%,7.69%,0%,0%,6.25%,0%,0%,7.69%,0%,0%,0%,0%,0%,1.74%
Sellable returns,,0%,,,,,,,,0%,,0%,,,,,,0%,,0%,0%,100%,,,,,,,,,14.29%
Margin,17.33%,-1.29%,24.95%,34.95%,32.47%,32.01%,22.43%,11.34%,-5.18%,24.65%,12.64%,24.47%,9.53%,17.81%,10.65%,14.64%,29.31%,16.2%,17.62%,19.73%,24.28%,10.6%,22.07%,23.48%,-18.41%,20.36%,14.72%,17.04%,4.61%,18.84%,17.29%
ROI,84.68%,-6.32%,121.94%,170.81%,158.65%,156.44%,109.59%,55.43%,-25.33%,108.42%,61.75%,119.56%,46.57%,87.02%,52.05%,71.52%,143.25%,79.17%,86.09%,96.42%,118.64%,51.79%,107.84%,114.76%,-89.95%,99.49%,71.94%,83.27%,22.54%,92.05%,84.24%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,121,113,54,44,48,75,63,73,74,61,63,90,80,81,81,73,64,68,81,71,85,110,94,83,88,82,98,99,134,114,2465
    Browser sessions,37,44,27,19,27,39,28,30,40,34,33,46,32,44,27,34,30,40,40,34,43,41,45,36,34,32,43,50,48,53,1110
    Mobile app sessions,84,69,27,25,21,36,35,43,34,27,30,44,48,37,54,39,34,28,41,37,42,69,49,47,54,50,55,49,86,61,1355
Unit session percentage,14.88%,9.73%,12.96%,25%,25%,12%,11.11%,9.59%,6.76%,14.75%,14.29%,18.89%,11.25%,12.35%,11.11%,9.59%,20.31%,10.29%,16.05%,11.27%,18.82%,14.55%,18.09%,18.07%,14.77%,13.41%,14.29%,15.15%,8.96%,14.91%,13.96%
