Parameter/Date,31 October 2025,30 October 2025,29 October 2025,28 October 2025,27 October 2025,26 October 2025,25 October 2025,24 October 2025,23 October 2025,22 October 2025,21 October 2025,20 October 2025,19 October 2025,18 October 2025,17 October 2025,16 October 2025,15 October 2025,14 October 2025,13 October 2025,12 October 2025,11 October 2025,10 October 2025,9 October 2025,8 October 2025,7 October 2025,6 October 2025,5 October 2025,4 October 2025,3 October 2025,2 October 2025,1 October 2025,Total
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,0,-1.84,0,0,-3.19,0,0,0,0,0,-7.53
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,0,-1.84,0,0,-3.19,0,0,0,0,0,-7.53
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,-10.46,-13.19,0,0,-13.19,0,-13.19,-13.19,0,0,0,0,0,-39.57,0,0,0,0,0,0,-13.19,0,-26.38,0,-13.19,0,0,0,0,-155.55
    Refunded referral fee,0,0,2.25,2.25,0,0,2.25,0,2.25,2.25,0,0,0,0,0,6.75,0,0,0,0,0,0,2.25,0,4.5,0,2.25,0,0,0,0,27
    Value of returned items,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73
    Refund commission,0,0,-0.45,-0.45,0,0,-0.45,0,-0.45,-0.45,0,0,0,0,0,-1.35,0,0,0,0,0,0,-0.45,0,-0.9,0,-0.45,0,0,0,0,-5.4
    Refunded amount,0,0,-14.99,-14.99,0,0,-14.99,0,-14.99,-14.99,0,0,0,0,0,-44.97,0,0,0,0,0,0,-14.99,0,-29.98,0,-14.99,0,0,0,0,-179.88
Amazon fees,-53.44,-46.76,-20.04,-73.48,-46.76,-60.12,-20.04,-20.04,-80.16,-22.88,-46.76,-73.48,-80.16,-60.12,-26.72,-80.16,-86.84,-53.16,-45.64,-86.04,-83.2,-70.68,-70.4,-96,-145.14,-57.6,-57.6,-57.6,-19.2,-70.4,-64,-1874.62
    FBA per unit fulfilment fee,-35.44,-31.01,-13.29,-48.73,-31.01,-39.87,-13.29,-13.29,-53.16,-17.72,-31.01,-48.73,-53.16,-39.87,-17.72,-53.16,-57.59,-35.16,-29.89,-58.38,-53.95,-45.93,-45.65,-62.25,-87.15,-37.35,-37.35,-37.35,-12.45,-45.65,-41.5,-1228.06
    Referral fee,-18,-15.75,-6.75,-24.75,-15.75,-20.25,-6.75,-6.75,-27,-9,-15.75,-24.75,-27,-20.25,-9,-27,-29.25,-18,-15.75,-31.5,-29.25,-24.75,-24.75,-33.75,-47.25,-20.25,-20.25,-20.25,-6.75,-24.75,-22.5,-643.5
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.74,0,0,0,0,0,0,-10.74
    Warehouse damage,0,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,7.68
Cost of goods,-21.84,-19.11,-8.19,-30.03,-19.11,-24.57,-8.19,-8.19,-32.76,-13.65,-19.11,-30.03,-32.76,-24.57,-10.92,-32.76,-35.49,-21.84,-19.11,-40.95,-35.49,-30.03,-30.03,-40.95,-60.06,-24.57,-24.57,-24.57,-8.19,-30.03,-27.3,-788.97
    Cost of goods sold,-21.84,-19.11,-8.19,-30.03,-19.11,-24.57,-8.19,-8.19,-32.76,-10.92,-19.11,-30.03,-32.76,-24.57,-10.92,-32.76,-35.49,-21.84,-19.11,-38.22,-35.49,-30.03,-30.03,-40.95,-60.06,-24.57,-24.57,-24.57,-8.19,-30.03,-27.3,-783.51
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,-2.73,0,0,0,0,0,0,0,0,0,-2.73,0,0,0,0,0,0,0,0,0,0,0,-5.46
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,44.64,39.06,6.28,48.19,39.06,50.22,3.55,16.74,53.77,10.24,39.06,61.38,66.96,50.22,19.82,27.39,72.54,44.92,40.18,82.87,76.18,64.18,49.43,87.9,83.21,49.55,39.55,52.74,17.58,64.46,58.6,1460.47
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,44.64,39.06,6.28,48.19,39.06,50.22,3.55,16.74,53.77,10.24,39.06,61.38,66.96,50.22,19.82,27.39,72.54,44.92,40.18,82.87,76.18,64.18,49.43,87.9,83.21,49.55,39.55,52.74,17.58,64.46,58.6,1460.47
Estimated payout,66.48,58.17,11.74,78.22,58.17,74.79,11.74,24.93,86.53,23.89,58.17,91.41,99.72,74.79,30.74,60.15,108.03,66.76,59.29,123.82,111.67,94.21,79.46,128.85,143.27,74.12,64.12,77.31,25.77,94.49,85.9,2246.71
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4.17%,0%,0%,0%,0%,0%,0%,0%,1.12%,0%,0%,2.36%,0%,0%,0%,0%,0%,0.18%
% Refunds,0%,0%,33.33%,9.09%,0%,0%,33.33%,0%,8.33%,25%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,9.09%,0%,9.09%,0%,11.11%,0%,0%,0%,0%,4.18%
Sellable returns,0%,,100%,,,,,,,,,,,0%,,,100%,100%,,,,,0%,0%,0%,,,,,,,41.67%
Margin,37.22%,37.22%,13.96%,29.23%,37.22%,37.22%,7.89%,37.22%,29.89%,17.08%,37.22%,37.22%,37.22%,37.22%,33.06%,15.23%,37.22%,37.46%,38.29%,39.49%,39.09%,38.92%,29.98%,39.09%,26.43%,36.73%,29.32%,39.09%,39.09%,39.09%,39.09%,34.07%
ROI,204.4%,204.4%,76.68%,160.47%,204.4%,204.4%,43.35%,204.4%,164.13%,75.02%,204.4%,204.4%,204.4%,204.4%,181.5%,83.61%,204.4%,205.68%,210.26%,202.37%,214.65%,213.72%,164.6%,214.65%,138.54%,201.67%,160.97%,214.65%,214.65%,214.65%,214.65%,185.11%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,18,26,10,24,31,36,16,28,27,19,22,16,39,26,27,26,35,32,31,45,40,27,24,37,42,44,38,30,26,28,31,901
    Browser sessions,7,12,3,8,13,9,6,6,11,9,8,5,11,5,9,6,12,12,12,19,13,8,8,12,15,20,15,11,12,6,13,316
    Mobile app sessions,11,14,7,16,18,27,10,22,16,10,14,11,28,21,18,20,23,20,19,26,27,19,16,25,27,24,23,19,14,22,18,585
Unit session percentage,44.44%,26.92%,30%,45.83%,22.58%,25%,18.75%,10.71%,44.44%,21.05%,31.82%,68.75%,30.77%,34.62%,14.81%,46.15%,37.14%,25%,22.58%,31.11%,32.5%,40.74%,45.83%,40.54%,52.38%,20.45%,23.68%,30%,11.54%,39.29%,32.26%,31.85%
