Parameter/Date,28 February 2023,27 February 2023,26 February 2023,25 February 2023,24 February 2023,23 February 2023,22 February 2023,21 February 2023,20 February 2023,19 February 2023,18 February 2023,17 February 2023,16 February 2023,15 February 2023,14 February 2023,13 February 2023,12 February 2023,11 February 2023,10 February 2023,9 February 2023,8 February 2023,7 February 2023,6 February 2023,5 February 2023,4 February 2023,3 February 2023,2 February 2023,1 February 2023,Total
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,0,0,0,0,0,0,0,-14.07,11.9,0,-4.72,0,0,0,0,-14.07,0,0,3.39,0,0,-9.77,5.5,2.8,15.42,0,-0.97,6.62,2.03
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,0,0,0,0,0,0,0,-14.07,11.9,0,-4.72,0,0,0,0,-14.07,0,0,3.39,0,0,-9.77,5.5,2.8,15.42,0,-0.97,6.62,2.03
Estimated payout,0,0,0,0,0,0,0,-14.07,11.9,0,-4.72,0,0,0,0,-14.07,0,0,6.12,0,0,-9.77,8.23,5.53,20.88,0,-0.97,9.35,18.41
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20.2%,0%,0%,0%,7%,23.89%,3.25%,0%,0%,0%,9.06%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%
Sellable returns,,,,,,,,,,,100%,,,0%,,,,,,,,,,,,,,,50%
Margin,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-29.52%,0%,0%,0%,0%,0%,0%,0%,21.2%,0%,0%,0%,34.4%,17.51%,96.44%,0%,0%,41.4%,2.12%
ROI,0%,0%,0%,0%,0%,0%,0%,,,0%,-172.89%,0%,0%,0%,0%,,0%,0%,124.18%,0%,0%,,201.47%,102.56%,282.42%,0%,,242.49%,10.62%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16.22%
