Parameter/Date,31 August 2022,30 August 2022,29 August 2022,28 August 2022,27 August 2022,26 August 2022,25 August 2022,24 August 2022,23 August 2022,22 August 2022,21 August 2022,20 August 2022,19 August 2022,18 August 2022,17 August 2022,16 August 2022,15 August 2022,14 August 2022,13 August 2022,12 August 2022,11 August 2022,10 August 2022,9 August 2022,8 August 2022,7 August 2022,6 August 2022,5 August 2022,4 August 2022,3 August 2022,2 August 2022,1 August 2022,Total
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.69%
Sellable returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin,49.76%,49.76%,49.76%,49.76%,49.76%,49.76%,49.76%,49.76%,49.76%,-38.23%,49.76%,49.76%,49.76%,49.76%,49.76%,49.76%,49.76%,49.76%,49.76%,49.76%,0%,49.76%,49.76%,49.76%,0%,0%,0%,0%,0%,0%,0%,48.27%
ROI,346.15%,346.15%,346.15%,346.15%,346.15%,346.15%,346.15%,346.15%,346.15%,-265.93%,346.15%,346.15%,346.15%,346.15%,346.15%,346.15%,346.15%,346.15%,346.15%,346.15%,0%,346.15%,346.15%,346.15%,0%,0%,0%,0%,0%,0%,0%,335.78%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
