Parameter/Date,31 July 2025,30 July 2025,29 July 2025,28 July 2025,27 July 2025,26 July 2025,25 July 2025,24 July 2025,23 July 2025,22 July 2025,21 July 2025,20 July 2025,19 July 2025,18 July 2025,17 July 2025,16 July 2025,15 July 2025,14 July 2025,13 July 2025,12 July 2025,11 July 2025,10 July 2025,9 July 2025,8 July 2025,7 July 2025,6 July 2025,5 July 2025,4 July 2025,3 July 2025,2 July 2025,1 July 2025,Total
Cost of goods,-35.49,-19.11,-19.11,-24.57,-21.84,-32.76,-51.87,-30.03,-32.76,-38.22,-40.95,-10.92,-40.95,-27.3,-32.76,-38.22,-30.03,-19.11,-49.14,-27.3,-79.17,-76.44,-57.33,-38.22,-27.3,-21.84,-38.22,-10.92,-13.65,-60.06,-27.3,-1072.89
    Cost of goods sold,-35.49,-19.11,-19.11,-24.57,-21.84,-32.76,-51.87,-30.03,-32.76,-38.22,-40.95,-10.92,-40.95,-27.3,-32.76,-38.22,-30.03,-19.11,-49.14,-27.3,-79.17,-76.44,-57.33,-38.22,-27.3,-21.84,-38.22,-10.92,-13.65,-60.06,-27.3,-1072.89
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,74.05,41.02,41.02,51.4,46.88,68.84,111.34,64.46,70.32,56.72,98.19,26.84,100.34,67.1,80.52,93.94,73.81,46.97,120.78,67.1,105.98,114.44,81.89,76.51,69.83,13.33,93.94,26.84,33.55,117.5,23.77,2159.22
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,74.05,41.02,41.02,51.4,46.88,68.84,111.34,64.46,70.32,56.72,98.19,26.84,100.34,67.1,80.52,93.94,73.81,46.97,120.78,67.1,105.98,114.44,81.89,76.51,69.83,13.33,93.94,26.84,33.55,117.5,23.77,2159.22
Estimated payout,109.54,60.13,60.13,75.97,68.72,101.6,163.21,94.49,103.08,94.94,139.14,37.76,141.29,94.4,113.28,132.16,103.84,66.08,169.92,94.4,182.42,190.88,139.22,114.73,94.4,35.17,132.16,37.76,47.2,177.56,51.07,3226.65
Real ACOS,1.09%,0%,0%,0.99%,0%,0.82%,0%,0%,0%,0%,0%,0%,0.13%,0%,0%,0%,0%,0%,0%,0%,0.3%,0%,0.71%,0.54%,0%,0.79%,0%,0%,0%,8.56%,23.55%,1.27%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,14.29%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3.45%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.76%
Sellable returns,,,,,,,,,,,,,,,,,,,,,100%,,,,100%,,,,,,,100%
Margin,38%,39.09%,39.09%,38.1%,39.09%,38.27%,39.09%,39.09%,39.09%,27.03%,43.67%,41.96%,41.83%,41.96%,41.96%,41.96%,41.96%,41.96%,41.96%,41.96%,28.33%,31.67%,30.49%,37.38%,43.67%,10.42%,41.96%,41.96%,41.96%,33.4%,16.52%,36.73%
ROI,208.65%,214.65%,214.65%,209.2%,214.65%,210.13%,214.65%,214.65%,214.65%,148.4%,239.78%,245.79%,245.03%,245.79%,245.79%,245.79%,245.79%,245.79%,245.79%,245.79%,133.86%,149.71%,142.84%,200.18%,255.79%,61.03%,245.79%,245.79%,245.79%,195.64%,87.07%,201.25%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,29,45,38,27,41,44,38,48,38,43,50,40,51,47,34,53,51,37,68,79,119,101,112,85,35,40,43,29,30,66,64,1625
    Browser sessions,9,15,11,11,17,18,12,13,15,11,15,13,17,12,9,18,13,11,14,26,22,35,29,34,14,13,13,11,10,20,31,512
    Mobile app sessions,20,30,27,16,24,26,26,35,23,32,35,27,34,35,25,35,38,26,54,53,97,66,83,51,21,27,30,18,20,46,33,1113
Unit session percentage,44.83%,15.56%,18.42%,33.33%,19.51%,27.27%,50%,22.92%,31.58%,32.56%,30%,10%,29.41%,21.28%,35.29%,26.42%,21.57%,18.92%,26.47%,12.66%,24.37%,27.72%,18.75%,16.47%,28.57%,20%,32.56%,13.79%,16.67%,33.33%,15.63%,24.18%
