Parameter/Date,31 March 2024,30 March 2024,29 March 2024,28 March 2024,27 March 2024,26 March 2024,25 March 2024,24 March 2024,23 March 2024,22 March 2024,21 March 2024,20 March 2024,19 March 2024,18 March 2024,17 March 2024,16 March 2024,15 March 2024,14 March 2024,13 March 2024,12 March 2024,11 March 2024,10 March 2024,9 March 2024,8 March 2024,7 March 2024,6 March 2024,5 March 2024,4 March 2024,3 March 2024,2 March 2024,1 March 2024,Total
    Refunded amount,-16.99,0,-16.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.99,0,0,0,0,0,0,0,0,0,-50.97
Amazon fees,-123.66,-89.31,-126.06,-123.66,-151.14,-132.71,-151.14,-206.1,-110.96,-82.44,-158.01,-164.88,-151.14,-103.05,-116.79,-158.01,-89.31,-68.7,-89.31,-109.92,-103.05,-151.14,-171.75,-139.58,-151.75,-144.27,-130.53,-109.92,-158.01,-103.05,-64.01,-3933.36
    FBA per unit fulfilment fee,-77.76,-56.16,-73.44,-77.76,-95.04,-77.76,-95.04,-129.6,-69.12,-51.84,-99.36,-103.68,-95.04,-64.8,-73.44,-99.36,-56.16,-43.2,-56.16,-69.12,-64.8,-95.04,-108,-82.08,-77.76,-90.72,-82.08,-69.12,-99.36,-64.8,-34.56,-2432.16
    Referral fee,-45.9,-33.15,-43.35,-45.9,-56.1,-45.9,-56.1,-76.5,-40.8,-30.6,-58.65,-61.2,-56.1,-38.25,-43.35,-58.65,-33.15,-25.5,-33.15,-40.8,-38.25,-56.1,-63.75,-48.45,-45.9,-53.55,-48.45,-40.8,-58.65,-38.25,-20.4,-1435.65
    Compensated clawback,0,0,-9.27,0,0,-9.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.05,0,0,0,0,0,0,-9.05,-36.42
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.09,0,0,0,0,0,0,-28.09
    FBA disposal fee,0,0,0,0,0,0,0,0,-1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04
Cost of goods,-49.14,-35.49,-43.68,-49.14,-60.06,-46.41,-60.06,-81.9,-43.68,-32.76,-62.79,-65.52,-60.06,-40.95,-46.41,-62.79,-35.49,-30.03,-35.49,-43.68,-40.95,-60.06,-68.25,-49.14,-49.14,-57.33,-51.87,-43.68,-62.79,-40.95,-19.11,-1528.8
    Cost of goods sold,-49.14,-35.49,-46.41,-49.14,-60.06,-49.14,-60.06,-81.9,-43.68,-32.76,-62.79,-65.52,-60.06,-40.95,-46.41,-62.79,-35.49,-30.03,-35.49,-43.68,-40.95,-60.06,-68.25,-51.87,-49.14,-57.33,-51.87,-43.68,-62.79,-40.95,-21.84,-1539.72
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,2.73,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,2.73,10.92
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,64.83,51.41,63.19,87.33,92.29,77.5,95.11,148.79,55.09,37.6,135.63,108.75,104.55,45.54,65.75,105.15,38.1,10.68,26.69,72.42,61.59,89.75,131.94,79.09,60.45,95.62,91.46,69.85,121.71,69.74,12.7,2370.3
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,64.83,51.41,63.19,87.33,92.29,77.5,95.11,148.79,55.09,37.6,135.63,108.75,104.55,45.54,65.75,105.15,38.1,10.68,26.69,72.42,61.59,89.75,131.94,79.09,60.45,95.62,91.46,69.85,121.71,69.74,12.7,2370.3
Estimated payout,113.97,86.9,106.87,136.47,152.35,123.91,155.17,230.69,98.77,70.36,198.42,174.27,164.61,86.49,112.16,167.94,73.59,40.71,62.18,116.1,102.54,149.81,200.19,128.23,109.59,152.95,143.33,113.53,184.5,107.96,31.81,3896.37
Real ACOS,17.41%,20.22%,14.18%,14.94%,18.81%,16.09%,18.05%,14.3%,22.85%,25.05%,8.79%,16.83%,15.53%,25.63%,20.73%,16.59%,26.25%,35.6%,31.41%,16.86%,19.33%,15.49%,12.43%,17.04%,14.54%,16.7%,15.16%,17.8%,12.35%,17.2%,29.5%,17.68%
% Refunds,5.56%,0%,5.88%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4.55%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.53%
Sellable returns,,,,,,,0%,,,,,,,,,,,,,,0%,,,,,,,,,100%,0%,25%
Margin,21.2%,23.28%,21.88%,28.56%,24.69%,25.34%,25.45%,29.19%,20.27%,18.44%,34.71%,26.67%,27.97%,17.87%,22.76%,26.91%,17.25%,6.29%,12.08%,26.64%,24.17%,24.01%,31.06%,24.5%,19.77%,26.8%,28.33%,25.7%,31.15%,27.37%,9.34%,24.78%
ROI,131.93%,144.86%,144.67%,177.72%,153.66%,166.99%,158.36%,181.67%,126.12%,114.77%,216.01%,165.98%,174.08%,111.21%,141.67%,167.46%,107.35%,35.56%,75.2%,165.8%,150.4%,149.43%,193.32%,160.95%,123.02%,166.79%,176.33%,159.91%,193.84%,170.31%,66.46%,155.04%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,138,115,100,104,142,107,132,185,142,104,119,146,160,213,331,118,104,87,90,76,98,132,101,99,60,81,67,93,96,79,79,3698
    Browser sessions,49,45,38,36,57,47,56,72,49,44,60,65,59,84,105,54,45,29,43,26,42,35,38,34,28,29,29,42,28,27,34,1429
    Mobile app sessions,89,70,62,68,85,60,76,113,93,60,59,81,101,129,226,64,59,58,47,50,56,97,63,65,32,52,38,51,68,52,45,2269
Unit session percentage,13.04%,11.3%,17%,17.31%,15.49%,16.82%,16.67%,16.22%,11.27%,11.54%,19.33%,16.44%,13.75%,7.04%,5.14%,19.49%,12.5%,12.64%,14.44%,21.05%,15.31%,16.67%,24.75%,19.19%,30%,25.93%,28.36%,17.2%,23.96%,18.99%,10.13%,15.25%
