Parameter/Date,31 January 2025,30 January 2025,29 January 2025,28 January 2025,27 January 2025,26 January 2025,25 January 2025,24 January 2025,23 January 2025,22 January 2025,21 January 2025,20 January 2025,19 January 2025,18 January 2025,17 January 2025,16 January 2025,15 January 2025,14 January 2025,13 January 2025,12 January 2025,11 January 2025,10 January 2025,9 January 2025,8 January 2025,7 January 2025,6 January 2025,5 January 2025,4 January 2025,3 January 2025,2 January 2025,1 January 2025,Total
    Free replacement refund items,0,0,0,0,0,0,0,0,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01
    Warehouse lost,0,0,0,0,0,0,0,0,41.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.16
Cost of goods,-19.11,-19.11,-24.57,-19.11,-35.49,-16.38,-27.3,-5.46,-43.68,-24.57,-30.03,-16.38,-27.3,-38.22,-19.11,-21.84,-16.38,-27.3,-27.3,-40.95,-32.76,-13.65,-8.19,-13.65,-21.84,-10.92,-8.19,-38.22,-27.3,-24.57,-40.95,-739.83
    Cost of goods sold,-19.11,-19.11,-24.57,-19.11,-35.49,-16.38,-27.3,-5.46,-32.76,-24.57,-30.03,-16.38,-27.3,-38.22,-19.11,-21.84,-16.38,-27.3,-27.3,-40.95,-32.76,-13.65,-8.19,-13.65,-21.84,-10.92,-8.19,-38.22,-27.3,-24.57,-40.95,-728.91
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,-10.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.92
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,58.87,58.87,75.69,58.87,109.33,50.46,84.1,0.99,141.17,75.69,92.51,50.46,84.1,117.74,43.04,67.28,48.28,67.15,82.42,122.79,98.12,40.93,24.39,40.65,-117.77,32.52,24.39,113.82,81.3,51.45,121.95,2001.56
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,58.87,58.87,75.69,58.87,109.33,50.46,84.1,0.99,141.17,75.69,92.51,50.46,84.1,117.74,43.04,67.28,48.28,67.15,82.42,122.79,98.12,40.93,24.39,40.65,-117.77,32.52,24.39,113.82,81.3,51.45,121.95,2001.56
Estimated payout,77.98,77.98,100.26,77.98,144.82,66.84,111.4,6.45,184.85,100.26,122.54,66.84,111.4,155.96,62.15,89.12,64.66,94.45,109.72,163.74,130.88,54.58,32.58,54.3,-95.93,43.44,32.58,152.04,108.6,76.02,162.9,2741.39
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,14.29%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.12%
Sellable returns,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,0%
Margin,46.75%,46.75%,46.75%,46.75%,46.75%,46.75%,46.75%,2.75%,65.39%,46.75%,46.75%,46.75%,46.75%,46.75%,34.18%,46.75%,44.73%,37.33%,45.81%,45.5%,45.45%,45.5%,45.19%,45.19%,-81.83%,45.19%,45.19%,45.19%,45.19%,40.86%,45.19%,41.98%
ROI,308.06%,308.06%,308.06%,308.06%,308.06%,308.06%,308.06%,18.13%,323.19%,308.06%,308.06%,308.06%,308.06%,308.06%,225.22%,308.06%,294.75%,245.97%,301.9%,299.85%,299.51%,299.85%,297.8%,297.8%,-539.24%,297.8%,297.8%,297.8%,297.8%,209.4%,297.8%,270.54%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,40,48,44,57,76,89,60,34,36,30,35,49,61,47,34,50,34,41,58,73,67,63,48,44,29,33,51,40,46,50,58,1525
    Browser sessions,12,14,13,14,25,16,10,3,12,8,12,7,18,13,9,14,10,12,17,24,24,24,21,14,7,6,11,10,13,10,13,416
    Mobile app sessions,28,34,31,43,51,73,50,31,24,22,23,42,43,34,25,36,24,29,41,49,43,39,27,30,22,27,40,30,33,40,45,1109
Unit session percentage,17.5%,14.58%,20.45%,12.28%,17.11%,6.74%,16.67%,5.88%,33.33%,30%,31.43%,12.24%,16.39%,29.79%,20.59%,16%,17.65%,24.39%,17.24%,20.55%,17.91%,7.94%,6.25%,11.36%,27.59%,12.12%,5.88%,35%,21.74%,18%,25.86%,17.51%
