Parameter/Date,30 September 2024,29 September 2024,28 September 2024,27 September 2024,26 September 2024,25 September 2024,24 September 2024,23 September 2024,22 September 2024,21 September 2024,20 September 2024,19 September 2024,18 September 2024,17 September 2024,16 September 2024,15 September 2024,14 September 2024,13 September 2024,12 September 2024,11 September 2024,10 September 2024,9 September 2024,8 September 2024,7 September 2024,6 September 2024,5 September 2024,4 September 2024,3 September 2024,2 September 2024,1 September 2024,Total
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,22.68,30.24,60.48,7.56,5,60.48,37.8,33.46,75.6,38.85,45.36,0.17,-27.19,90.72,52.92,60.48,51.8,22.68,52.92,22.85,35.7,45.36,64.75,37.8,37.8,52.92,52.92,7.56,52.92,52.92,1185.51
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,22.68,30.24,60.48,7.56,5,60.48,37.8,33.46,75.6,38.85,45.36,0.17,-27.19,90.72,52.92,60.48,51.8,22.68,52.92,22.85,35.7,45.36,64.75,37.8,37.8,52.92,52.92,7.56,52.92,52.92,1185.51
Estimated payout,30.87,41.16,82.32,10.29,15.92,82.32,51.45,47.11,102.9,55.23,61.74,5.63,-19,123.48,72.03,82.32,73.64,30.87,72.03,36.5,41.16,61.74,92.05,51.45,51.45,72.03,72.03,10.29,72.03,72.03,1655.07
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.73%
Sellable returns,,,,,0%,,,,,,,,,,,,,,,0%,100%,,,0%,,,,,,,40%
Margin,66.75%,44.5%,44.5%,44.5%,9.81%,44.5%,44.5%,39.39%,44.5%,38.11%,44.5%,0.5%,-53.35%,44.5%,44.5%,44.5%,38.11%,44.5%,44.5%,26.9%,52.53%,44.5%,38.11%,44.5%,44.5%,44.5%,44.5%,44.5%,44.5%,44.5%,40.57%
ROI,276.92%,276.92%,276.92%,276.92%,45.79%,276.92%,276.92%,245.13%,276.92%,237.18%,276.92%,3.11%,-331.99%,276.92%,276.92%,276.92%,237.18%,276.92%,276.92%,167.4%,326.92%,276.92%,237.18%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,249.57%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,25,31,35,22,31,31,23,39,36,39,19,23,21,24,19,30,47,22,25,16,26,27,45,27,37,28,23,15,32,53,871
    Browser sessions,11,10,9,10,11,19,10,12,14,7,4,9,9,9,5,10,14,9,9,11,10,9,12,7,12,11,7,2,10,14,296
    Mobile app sessions,14,21,26,12,20,12,13,27,22,32,15,14,12,15,14,20,33,13,16,5,16,18,33,20,25,17,16,13,22,39,575
Unit session percentage,8%,12.9%,22.86%,4.55%,12.9%,25.81%,21.74%,12.82%,27.78%,15.38%,31.58%,8.7%,14.29%,50%,36.84%,26.67%,17.02%,13.64%,28%,31.25%,15.38%,22.22%,22.22%,18.52%,13.51%,25%,30.43%,6.67%,21.88%,13.21%,19.86%
