Parameter/Date,30 November 2022,29 November 2022,28 November 2022,27 November 2022,26 November 2022,25 November 2022,24 November 2022,23 November 2022,22 November 2022,21 November 2022,20 November 2022,19 November 2022,18 November 2022,17 November 2022,16 November 2022,15 November 2022,14 November 2022,13 November 2022,12 November 2022,11 November 2022,10 November 2022,9 November 2022,8 November 2022,7 November 2022,6 November 2022,5 November 2022,4 November 2022,3 November 2022,2 November 2022,1 November 2022,Total
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,-50.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.98,2.73,0,0,-16.71,0,0,0,0,-78.09
    Refunded referral fee,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,0,0,0,2.85,0,0,0,0,14.25
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,2.73,0,0,0,0,0,0,0,5.46
    Refund commission,0,-1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.57,0,0,0,-0.57,0,0,0,0,-2.85
    Refunded amount,0,-56.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.99,0,0,0,-18.99,0,0,0,0,-94.95
Amazon fees,0,-35.6,-35.6,-28.48,-14.24,-56.97,-35.6,-21.36,-35.6,-21.36,-42.72,-14.24,-42.72,-21.36,-35.6,-21.88,-28.48,-14.24,-14.24,-14.24,-35.6,-21.36,-138.91,-28.48,-42.72,-42.72,-21.36,-28.48,-28.48,-28.48,-951.12
    FBA per unit fulfilment fee,0,-21.35,-21.35,-17.08,-8.54,-34.17,-21.35,-12.81,-21.35,-12.81,-25.62,-8.54,-25.62,-12.81,-21.35,-12.81,-17.08,-8.54,-8.54,-8.54,-21.35,-12.81,-21.35,-17.08,-25.62,-25.62,-12.81,-17.08,-17.08,-17.08,-508.14
    Referral fee,0,-14.25,-14.25,-11.4,-5.7,-22.8,-14.25,-8.55,-14.25,-8.55,-17.1,-5.7,-17.1,-8.55,-14.25,-8.55,-11.4,-5.7,-5.7,-5.7,-14.25,-8.55,-14.25,-11.4,-17.1,-17.1,-8.55,-11.4,-11.4,-11.4,-339.15
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.31,0,0,0,0,0,0,0,-103.31
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.52
Cost of goods,0,-13.65,-13.65,-10.92,-5.46,-21.84,-13.65,-8.19,-13.65,-8.19,-16.38,-5.46,-16.38,-8.19,-13.65,-8.19,-10.92,-5.46,-5.46,-5.46,-13.65,-8.19,-13.65,-10.92,-16.38,-16.38,-8.19,-10.92,-10.92,-10.92,-324.87
    Cost of goods sold,0,-13.65,-13.65,-10.92,-5.46,-21.84,-13.65,-8.19,-13.65,-8.19,-16.38,-5.46,-16.38,-8.19,-13.65,-8.19,-10.92,-5.46,-5.46,-5.46,-13.65,-8.19,-13.65,-10.92,-16.38,-16.38,-8.19,-10.92,-10.92,-10.92,-324.87
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,0,-4.43,45.7,36.56,18.28,73.11,45.7,27.42,45.7,27.42,54.84,18.28,54.84,27.42,45.7,26.9,36.56,18.28,18.28,18.28,45.7,13.44,-54.88,36.56,54.84,38.13,27.42,36.56,36.56,36.56,905.73
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,0,-4.43,45.7,36.56,18.28,73.11,45.7,27.42,45.7,27.42,54.84,18.28,54.84,27.42,45.7,26.9,36.56,18.28,18.28,18.28,45.7,13.44,-54.88,36.56,54.84,38.13,27.42,36.56,36.56,36.56,905.73
Estimated payout,0,9.22,59.35,47.48,23.74,94.95,59.35,35.61,59.35,35.61,71.22,23.74,71.22,35.61,59.35,35.09,47.48,23.74,23.74,23.74,59.35,18.9,-43.96,47.48,71.22,54.51,35.61,47.48,47.48,47.48,1225.14
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,60%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33.33%,0%,0%,0%,16.67%,0%,0%,0%,0%,4.2%
Sellable returns,,,,,,,,,,,,,,,,,,,,,,100%,100%,,,,,,,,100%
Margin,0%,-4.67%,48.13%,48.13%,48.13%,48.12%,48.13%,48.13%,48.13%,48.13%,48.13%,48.13%,48.13%,48.13%,48.13%,47.22%,48.13%,48.13%,48.13%,48.13%,48.13%,23.59%,-57.8%,48.13%,48.13%,33.46%,48.13%,48.13%,48.13%,48.13%,40.08%
ROI,0%,-32.45%,334.8%,334.8%,334.8%,334.75%,334.8%,334.8%,334.8%,334.8%,334.8%,334.8%,334.8%,334.8%,334.8%,328.45%,334.8%,334.8%,334.8%,334.8%,334.8%,164.1%,-402.05%,334.8%,334.8%,232.78%,334.8%,334.8%,334.8%,334.8%,278.8%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,14.99%
