Parameter/Date,31 March 2025,30 March 2025,29 March 2025,28 March 2025,27 March 2025,26 March 2025,25 March 2025,24 March 2025,23 March 2025,22 March 2025,21 March 2025,20 March 2025,19 March 2025,18 March 2025,17 March 2025,16 March 2025,15 March 2025,14 March 2025,13 March 2025,12 March 2025,11 March 2025,10 March 2025,9 March 2025,8 March 2025,7 March 2025,6 March 2025,5 March 2025,4 March 2025,3 March 2025,2 March 2025,1 March 2025,Total
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,-14.95,2.73,0,0,0,0,2.73,0,0,-14.95,-14.95,0,-14.95,0,0,0,0,0,0,0,0,0,0,0,-54.34
    Refunded referral fee,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,0,2.55,2.55,0,2.55,0,0,0,0,0,0,0,0,0,0,0,10.2
    Value of returned items,0,0,0,0,0,0,0,0,2.73,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46
    Refund commission,0,0,0,0,0,0,0,-0.51,0,0,0,0,0,0,0,0,-0.51,-0.51,0,-0.51,0,0,0,0,0,0,0,0,0,0,0,-2.04
    Refunded amount,0,0,0,0,0,0,0,-16.99,0,0,0,0,0,0,0,0,-16.99,-16.99,0,-16.99,0,0,0,0,0,0,0,0,0,0,0,-67.96
Amazon fees,-60.3,-46.9,-67,-26.8,-60.3,-40.2,-53.6,-80.4,-40.2,-46.9,-60.3,-53.6,-60.3,-40.2,-60.3,-93.8,-55.86,-60.3,-53.6,-53.6,-53.6,-20.1,-60.3,-46.9,-67,-77.81,-40.2,-62.84,-40.2,-22.64,-40.2,-1646.25
    FBA per unit fulfilment fee,-37.35,-29.05,-41.5,-16.6,-37.35,-24.9,-33.2,-49.8,-24.9,-29.05,-37.35,-33.2,-37.35,-24.9,-37.35,-58.1,-41.5,-37.35,-33.2,-33.2,-33.2,-12.45,-37.35,-29.05,-41.5,-24.9,-24.9,-45.65,-24.9,-20.75,-24.9,-1016.75
    Referral fee,-22.95,-17.85,-25.5,-10.2,-22.95,-15.3,-20.4,-30.6,-15.3,-17.85,-22.95,-20.4,-22.95,-15.3,-22.95,-35.7,-25.5,-22.95,-20.4,-20.4,-20.4,-7.65,-22.95,-17.85,-25.5,-15.3,-15.3,-28.05,-15.3,-12.75,-15.3,-624.75
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.61,0,0,0,0,0,-37.61
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.86,0,10.86,0,21.72
Cost of goods,-24.57,-19.11,-27.3,-10.92,-24.57,-16.38,-21.84,-32.76,-16.38,-19.11,-24.57,-21.84,-24.57,-16.38,-24.57,-38.22,-27.3,-24.57,-21.84,-21.84,-21.84,-8.19,-24.57,-19.11,-27.3,-16.38,-16.38,-30.03,-16.38,-13.65,-16.38,-668.85
    Cost of goods sold,-24.57,-19.11,-27.3,-10.92,-24.57,-16.38,-21.84,-32.76,-16.38,-19.11,-24.57,-21.84,-24.57,-16.38,-24.57,-38.22,-27.3,-24.57,-21.84,-21.84,-21.84,-8.19,-24.57,-19.11,-27.3,-16.38,-16.38,-30.03,-16.38,-13.65,-16.38,-668.85
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,68.04,52.92,75.6,30.24,68.04,45.36,60.48,75.77,48.09,52.92,68.04,60.48,68.04,48.09,68.04,105.84,71.79,53.09,60.48,45.53,60.48,22.68,68.04,52.92,75.6,7.75,45.36,94.02,45.36,48.66,45.36,1793.11
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,68.04,52.92,75.6,30.24,68.04,45.36,60.48,75.77,48.09,52.92,68.04,60.48,68.04,48.09,68.04,105.84,71.79,53.09,60.48,45.53,60.48,22.68,68.04,52.92,75.6,7.75,45.36,94.02,45.36,48.66,45.36,1793.11
Estimated payout,92.61,72.03,102.9,41.16,92.61,61.74,82.32,108.53,61.74,72.03,92.61,82.32,92.61,61.74,92.61,144.06,99.09,77.66,82.32,67.37,82.32,30.87,92.61,72.03,102.9,24.13,61.74,124.05,61.74,62.31,61.74,2456.5
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,0%,0%,8.33%,0%,0%,0%,0%,0%,0%,0%,0%,10%,11.11%,0%,12.5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.63%
Sellable returns,,,,,0%,,,,100%,,,0%,,100%,,,,,,,,,,,,,,,,,,50%
Margin,44.5%,44.5%,44.5%,44.5%,44.5%,44.5%,44.5%,37.16%,47.17%,44.5%,44.5%,44.5%,44.5%,47.17%,44.5%,44.5%,42.25%,34.72%,44.5%,33.5%,44.5%,44.5%,44.5%,44.5%,44.5%,7.6%,44.5%,50.31%,44.5%,57.28%,44.5%,43.08%
ROI,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,231.29%,293.59%,276.92%,276.92%,276.92%,276.92%,293.59%,276.92%,276.92%,262.97%,216.08%,276.92%,208.47%,276.92%,276.92%,276.92%,276.92%,276.92%,47.31%,276.92%,313.09%,276.92%,356.48%,276.92%,268.09%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,34,26,35,38,29,45,38,32,46,35,30,32,45,28,31,57,40,32,29,29,23,31,37,36,36,31,33,27,30,27,41,1063
    Browser sessions,11,6,13,9,10,16,13,11,15,14,10,5,12,12,13,14,12,12,8,14,7,13,10,11,8,9,13,7,11,6,13,338
    Mobile app sessions,23,20,22,29,19,29,25,21,31,21,20,27,33,16,18,43,28,20,21,15,16,18,27,25,28,22,20,20,19,21,28,725
Unit session percentage,26.47%,26.92%,28.57%,10.53%,31.03%,13.33%,21.05%,37.5%,13.04%,20%,30%,25%,20%,21.43%,29.03%,24.56%,25%,28.13%,27.59%,27.59%,34.78%,9.68%,24.32%,19.44%,27.78%,19.35%,18.18%,40.74%,20%,18.52%,14.63%,23.05%
