Parameter/Date,30 June 2024,29 June 2024,28 June 2024,27 June 2024,26 June 2024,25 June 2024,24 June 2024,23 June 2024,22 June 2024,21 June 2024,20 June 2024,19 June 2024,18 June 2024,17 June 2024,16 June 2024,15 June 2024,14 June 2024,13 June 2024,12 June 2024,11 June 2024,10 June 2024,9 June 2024,8 June 2024,7 June 2024,6 June 2024,5 June 2024,4 June 2024,3 June 2024,2 June 2024,1 June 2024,Total
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,-14.95,0,0,0,0,5.46,0,0,0,0,-14.95,0,0,0,0,-29.9,0,0,0,0,0,0,-54.34
    Refunded referral fee,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,5.1,0,0,0,0,0,0,10.2
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46
    Refund commission,0,0,0,0,0,0,0,0,-0.51,0,0,0,0,0,0,0,0,0,-0.51,0,0,0,0,-1.02,0,0,0,0,0,0,-2.04
    Refunded amount,0,0,0,0,0,0,0,0,-16.99,0,0,0,0,0,0,0,0,0,-16.99,0,0,0,0,-33.98,0,0,0,0,0,0,-67.96
Amazon fees,-67,-40.2,-13.4,-33.5,-33.5,-50.01,-73.7,-20.1,-73.7,-53.6,-46.9,-67,-9.81,-26.8,-26.8,-53.6,-33.5,-60.3,-53.6,-53.6,-73.7,-73.7,-67,-80.4,-84.62,-67,-73.7,-23.21,-86.99,-67,-1587.94
    FBA per unit fulfilment fee,-41.5,-24.9,-8.3,-20.75,-20.75,-37.35,-45.65,-12.45,-45.65,-33.2,-29.05,-41.5,-12.45,-16.6,-16.6,-33.2,-20.75,-37.35,-33.2,-33.2,-45.65,-45.65,-41.5,-49.8,-41.5,-41.5,-45.65,-20.75,-57.25,-41.5,-995.15
    Referral fee,-25.5,-15.3,-5.1,-12.75,-12.75,-22.95,-28.05,-7.65,-28.05,-20.4,-17.85,-25.5,-7.65,-10.2,-10.2,-20.4,-12.75,-22.95,-20.4,-20.4,-28.05,-28.05,-25.5,-30.6,-25.5,-25.5,-28.05,-12.75,-29.74,-25.5,-606.04
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.62,0,0,0,0,0,-17.62
    Warehouse damage,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,20.58
Cost of goods,-27.3,-16.38,-5.46,-13.65,-13.65,-27.3,-30.03,-8.19,-30.03,-21.84,-19.11,-27.3,-8.19,-10.92,-10.92,-21.84,-13.65,-24.57,-21.84,-21.84,-30.03,-30.03,-27.3,-35.49,-27.3,-27.3,-30.03,-13.65,-30.03,-27.3,-652.47
    Cost of goods sold,-27.3,-16.38,-5.46,-13.65,-13.65,-24.57,-30.03,-8.19,-30.03,-21.84,-19.11,-27.3,-8.19,-10.92,-10.92,-21.84,-13.65,-24.57,-21.84,-21.84,-30.03,-30.03,-27.3,-35.49,-27.3,-27.3,-30.03,-13.65,-30.03,-27.3,-649.74
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,-2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,75.6,32.46,-12.81,-0.38,15.21,50.66,60.79,-19.51,24.37,23.79,-3.41,26.25,-2.77,4.97,7.07,22.07,18.05,31.03,22.09,17.14,40.38,13.78,5.94,13.43,1.44,18.27,38.45,7.42,15.67,27.79,575.24
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,75.6,32.46,-12.81,-0.38,15.21,50.66,60.79,-19.51,24.37,23.79,-3.41,26.25,-2.77,4.97,7.07,22.07,18.05,31.03,22.09,17.14,40.38,13.78,5.94,13.43,1.44,18.27,38.45,7.42,15.67,27.79,575.24
Estimated payout,102.9,48.84,-7.35,13.27,28.86,77.96,90.82,-11.32,54.4,45.63,15.7,53.55,5.42,10.43,17.99,43.91,31.7,55.6,43.93,38.98,70.41,43.81,33.24,48.92,28.74,45.57,68.48,21.07,45.7,55.09,1222.25
Real ACOS,0%,12.65%,82.2%,44.94%,26.59%,16.31%,11.97%,82.77%,23.46%,26.99%,47.36%,29.05%,70.12%,45.22%,34.09%,28.26%,23.25%,24.2%,17.25%,31.89%,22.89%,37.12%,41%,21.91%,33.28%,33.74%,23.92%,47.88%,33.71%,28.14%,28.96%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,9.09%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12.5%,0%,0%,0%,0%,15.38%,0%,0%,0%,0%,0%,0%,1.68%
Sellable returns,,,,,,,,,0%,,,,0%,100%,,,,0%,,,,,,0%,,,,,,,33.33%
Margin,44.5%,31.84%,-37.7%,-0.45%,17.9%,33.13%,32.53%,-38.28%,13.04%,17.5%,-2.87%,15.45%,-5.43%,7.31%,10.4%,16.24%,21.25%,20.29%,16.25%,12.61%,21.61%,7.37%,3.5%,6.59%,0.85%,10.75%,20.57%,8.73%,7.83%,16.36%,14.24%
ROI,276.92%,198.17%,-234.62%,-2.78%,111.43%,185.57%,202.43%,-238.22%,81.15%,108.93%,-17.84%,96.15%,-33.82%,45.51%,64.74%,101.05%,132.23%,126.29%,101.14%,78.48%,134.47%,45.89%,21.76%,37.84%,5.27%,66.92%,128.04%,54.36%,52.18%,101.79%,88.16%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,53,52,40,52,52,34,44,69,48,48,64,64,53,40,41,66,34,42,54,62,58,100,99,60,74,78,67,72,91,64,1775
    Browser sessions,23,16,21,18,16,19,20,26,18,19,28,30,25,18,14,21,11,26,25,30,23,40,46,28,31,25,30,29,40,22,738
    Mobile app sessions,30,36,19,34,36,15,24,43,30,29,36,34,28,22,27,45,23,16,29,32,35,60,53,32,43,53,37,43,51,42,1037
Unit session percentage,18.87%,11.54%,5%,9.62%,9.62%,26.47%,25%,4.35%,22.92%,16.67%,10.94%,15.63%,5.66%,10%,9.76%,12.12%,14.71%,21.43%,14.81%,12.9%,18.97%,11%,10.1%,21.67%,13.51%,12.82%,16.42%,6.94%,12.09%,15.63%,13.41%
