Parameter/Date,31 October 2022,30 October 2022,29 October 2022,28 October 2022,27 October 2022,26 October 2022,25 October 2022,24 October 2022,23 October 2022,22 October 2022,21 October 2022,20 October 2022,19 October 2022,18 October 2022,17 October 2022,16 October 2022,15 October 2022,14 October 2022,13 October 2022,12 October 2022,11 October 2022,10 October 2022,9 October 2022,8 October 2022,7 October 2022,6 October 2022,5 October 2022,4 October 2022,3 October 2022,2 October 2022,1 October 2022,Total
    Cost of goods sold,-10.92,-10.92,-5.46,-8.19,-8.19,-13.65,-10.92,-8.19,-8.19,-8.19,-13.65,-8.19,-13.65,-13.65,-21.84,-13.65,-8.19,-10.92,0,-10.92,-16.38,-5.46,-10.92,-2.73,-21.84,-10.92,-10.92,-13.65,-21.84,-8.19,-21.84,-352.17
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,36.56,36.56,18.28,10.71,27.42,45.7,36.56,10.71,10.71,27.42,45.7,27.42,29.55,45.7,73.12,45.7,27.42,37.18,0,24.88,37.32,18.9,-3.48,9.45,75.6,37.8,37.8,46.73,75.6,31.08,75.6,1059.7
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,36.56,36.56,18.28,10.71,27.42,45.7,36.56,10.71,10.71,27.42,45.7,27.42,29.55,45.7,73.12,45.7,27.42,37.18,0,24.88,37.32,18.9,-3.48,9.45,75.6,37.8,37.8,46.73,75.6,31.08,75.6,1059.7
Estimated payout,47.48,47.48,23.74,18.9,35.61,59.35,47.48,18.9,18.9,35.61,59.35,35.61,43.2,59.35,94.96,59.35,35.61,48.1,0,35.8,53.7,24.36,7.44,12.18,97.44,48.72,48.72,60.38,97.44,36.54,97.44,1409.14
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,33.33%,0%,0%,0%,33.33%,33.33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.33%
Sellable returns,,,,0%,,0%,,,,,,,,,,,,,,,,,,,,,,,,100%,,33.33%
Margin,48.13%,48.13%,48.13%,18.8%,48.13%,48.13%,48.13%,18.8%,18.8%,48.13%,48.13%,48.13%,31.12%,48.13%,48.13%,48.13%,48.13%,48.95%,0%,40.95%,40.95%,49.76%,-4.58%,49.76%,49.76%,49.76%,49.76%,49.22%,49.76%,54.56%,49.76%,43.94%
ROI,334.8%,334.8%,334.8%,130.77%,334.8%,334.8%,334.8%,130.77%,130.77%,334.8%,334.8%,334.8%,216.48%,334.8%,334.8%,334.8%,334.8%,340.48%,0%,227.84%,227.84%,346.15%,-31.87%,346.15%,346.15%,346.15%,346.15%,342.34%,346.15%,379.49%,346.15%,300.91%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15.89%
