Parameter/Date,30 November 2024,29 November 2024,28 November 2024,27 November 2024,26 November 2024,25 November 2024,24 November 2024,23 November 2024,22 November 2024,21 November 2024,20 November 2024,19 November 2024,18 November 2024,17 November 2024,16 November 2024,15 November 2024,14 November 2024,13 November 2024,12 November 2024,11 November 2024,10 November 2024,9 November 2024,8 November 2024,7 November 2024,6 November 2024,5 November 2024,4 November 2024,3 November 2024,2 November 2024,1 November 2024,Total
Cost of goods,-30.03,-21.84,-5.46,-13.65,-24.57,-27.3,-10.92,-27.3,-49.14,-19.11,-19.11,-24.57,-21.84,-35.49,-8.19,-19.11,-5.46,-10.92,-13.65,-32.76,-13.65,-16.38,-24.57,-30.03,-24.57,0,-13.65,-16.38,-24.57,-10.92,-595.14
    Cost of goods sold,-27.3,-21.84,-8.19,-13.65,-24.57,-27.3,-10.92,-27.3,-49.14,-19.11,-19.11,-24.57,-21.84,-35.49,-8.19,-19.11,-10.92,-13.65,-19.11,-32.76,-13.65,-16.38,-24.57,-30.03,-24.57,0,-13.65,-16.38,-24.57,-10.92,-608.79
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,-2.73,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,2.73,5.46,0,0,0,0,0,0,0,0,0,0,0,13.65
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,51.12,44.64,9.18,36.4,65.52,58.13,29.12,57.85,96.36,50.96,50.96,65.52,58.24,-132.83,21.84,50.96,14,28.84,35.84,75.8,36.4,43.68,65.52,62.74,-159.01,0,36.4,43.68,65.52,29.12,992.5
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,51.12,44.64,9.18,36.4,65.52,58.13,29.12,57.85,96.36,50.96,50.96,65.52,58.24,-132.83,21.84,50.96,14,28.84,35.84,75.8,36.4,43.68,65.52,62.74,-159.01,0,36.4,43.68,65.52,29.12,992.5
Estimated payout,81.15,66.48,14.64,50.05,90.09,85.43,40.04,85.15,145.5,70.07,70.07,90.09,80.08,-97.34,30.03,70.07,19.46,39.76,49.49,108.56,50.05,60.06,90.09,92.77,-134.44,0,50.05,60.06,90.09,40.04,1587.64
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,10%,0%,0%,0%,0%,10%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.35%
Sellable returns,,,,0%,,,,,0%,,,,,,,,,,,,,,,,,,,,,,0%
Margin,34.1%,37.22%,20.41%,42.85%,42.85%,38.02%,42.85%,34.05%,31.51%,42.85%,42.85%,42.85%,42.85%,-60.14%,42.85%,42.85%,20.6%,33.95%,30.14%,37.18%,42.85%,42.85%,42.85%,33.57%,-103.99%,0%,42.85%,42.85%,42.85%,42.85%,26.61%
ROI,170.23%,204.4%,168.13%,266.67%,266.67%,212.93%,266.67%,211.9%,196.09%,266.67%,266.67%,266.67%,266.67%,-374.27%,266.67%,266.67%,256.41%,264.1%,262.56%,231.38%,266.67%,266.67%,266.67%,208.92%,-647.17%,0%,266.67%,266.67%,266.67%,266.67%,166.77%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,46,54,33,36,44,44,65,56,102,46,28,39,38,38,24,41,33,30,32,44,24,28,24,39,22,9,23,32,28,16,1123
    Browser sessions,15,11,9,14,9,15,14,15,28,10,7,9,11,13,6,9,12,11,10,15,6,13,7,12,5,5,5,7,7,5,318
    Mobile app sessions,31,43,24,22,35,29,51,41,74,36,21,30,27,25,18,32,21,19,22,29,18,15,17,27,17,4,18,25,21,11,805
Unit session percentage,21.74%,14.81%,9.09%,13.89%,20.45%,22.73%,6.15%,17.86%,17.65%,15.22%,25%,23.08%,21.05%,34.21%,12.5%,17.07%,12.12%,16.67%,21.88%,27.27%,20.83%,21.43%,37.5%,28.21%,40.91%,0%,21.74%,18.75%,32.14%,25%,19.86%
