Parameter/Date,30 November 2025,29 November 2025,28 November 2025,27 November 2025,26 November 2025,25 November 2025,24 November 2025,23 November 2025,22 November 2025,21 November 2025,20 November 2025,19 November 2025,18 November 2025,17 November 2025,16 November 2025,15 November 2025,14 November 2025,13 November 2025,12 November 2025,11 November 2025,10 November 2025,9 November 2025,8 November 2025,7 November 2025,6 November 2025,5 November 2025,4 November 2025,3 November 2025,2 November 2025,1 November 2025,Total
Refund cost,0,0,0,0,0,0,0,0,0,0,-13.19,0,-13.19,0,0,0,0,0,0,0,0,0,2.73,0,0,-13.19,-13.19,0,-13.19,0,-63.22
    Refunded referral fee,0,0,0,0,0,0,0,0,0,0,2.25,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,2.25,2.25,0,2.25,0,11.25
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,2.73
    Refund commission,0,0,0,0,0,0,0,0,0,0,-0.45,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,-0.45,-0.45,0,-0.45,0,-2.25
    Refunded amount,0,0,0,0,0,0,0,0,0,0,-14.99,0,-14.99,0,0,0,0,0,0,0,0,0,0,0,0,-14.99,-14.99,0,-14.99,0,-74.95
Amazon fees,-86.84,-106.88,-106.88,-40.08,-60.12,-93.52,-106.88,-60.12,-60.12,-53.44,-66.8,-66.8,-73.48,-71.85,-86.84,-53.44,-40.08,-40.08,-40.08,-60.12,-66.8,-80.16,-66.8,-84.52,-66.8,-40.08,-66.8,-53.44,-73.48,-86.84,-2060.17
    FBA per unit fulfilment fee,-57.59,-70.88,-70.88,-26.58,-39.87,-62.02,-70.88,-39.87,-39.87,-35.44,-44.3,-44.3,-48.73,-53.16,-57.59,-35.44,-26.58,-26.58,-26.58,-39.87,-44.3,-53.16,-44.3,-31.01,-44.3,-26.58,-44.3,-35.44,-48.73,-57.59,-1346.72
    Referral fee,-29.25,-36,-36,-13.5,-20.25,-31.5,-36,-20.25,-20.25,-18,-22.5,-22.5,-24.75,-27,-29.25,-18,-13.5,-13.5,-13.5,-20.25,-22.5,-27,-22.5,-15.75,-22.5,-13.5,-22.5,-18,-24.75,-29.25,-684
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.76,0,0,0,0,0,0,-37.76
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31
Cost of goods,-35.49,-43.68,-43.68,-16.38,-24.57,-38.22,-43.68,-24.57,-24.57,-21.84,-27.3,-27.3,-30.03,-32.76,-35.49,-21.84,-16.38,-16.38,-16.38,-24.57,-27.3,-32.76,-27.3,-19.11,-27.3,-16.38,-30.03,-21.84,-30.03,-35.49,-832.65
    Cost of goods sold,-35.49,-43.68,-43.68,-16.38,-24.57,-38.22,-43.68,-24.57,-24.57,-21.84,-27.3,-27.3,-30.03,-32.76,-35.49,-21.84,-16.38,-16.38,-16.38,-24.57,-27.3,-32.76,-27.3,-19.11,-27.3,-16.38,-30.03,-21.84,-30.03,-35.49,-832.65
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,72.54,89.28,89.28,33.48,50.22,78.12,89.28,50.22,50.22,44.64,42.61,55.8,48.19,75.27,72.54,44.64,33.48,33.48,33.48,50.22,55.8,66.96,58.53,1.3,55.8,20.29,39.88,44.64,48.19,72.54,1600.92
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,72.54,89.28,89.28,33.48,50.22,78.12,89.28,50.22,50.22,44.64,42.61,55.8,48.19,75.27,72.54,44.64,33.48,33.48,33.48,50.22,55.8,66.96,58.53,1.3,55.8,20.29,39.88,44.64,48.19,72.54,1600.92
Estimated payout,108.03,132.96,132.96,49.86,74.79,116.34,132.96,74.79,74.79,66.48,69.91,83.1,78.22,108.03,108.03,66.48,49.86,49.86,49.86,74.79,83.1,99.72,83.1,20.41,83.1,36.67,69.91,66.48,78.22,108.03,2430.84
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,9.09%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16.67%,9.09%,0%,9.09%,0%,1.64%
Sellable returns,,,,,,,,,,,0%,,,,0%,,,,,,,,50%,,,,,,,100%,40%
Margin,37.22%,37.22%,37.22%,37.22%,37.22%,37.22%,37.22%,37.22%,37.22%,37.22%,28.43%,37.22%,29.23%,41.84%,37.22%,37.22%,37.22%,37.22%,37.22%,37.22%,37.22%,37.22%,39.05%,1.24%,37.22%,22.56%,26.6%,37.22%,29.23%,37.22%,35.13%
ROI,204.4%,204.4%,204.4%,204.4%,204.4%,204.4%,204.4%,204.4%,204.4%,204.4%,156.08%,204.4%,160.47%,229.76%,204.4%,204.4%,204.4%,204.4%,204.4%,204.4%,204.4%,204.4%,214.4%,6.8%,204.4%,123.87%,132.8%,204.4%,160.47%,204.4%,192.27%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,34,44,50,32,34,34,43,39,39,17,29,25,25,23,31,39,18,22,19,32,35,33,33,18,28,30,18,20,43,18,905
    Browser sessions,10,15,13,11,13,10,16,12,10,8,7,7,10,3,10,19,7,7,6,12,12,13,8,3,11,7,6,6,14,6,292
    Mobile app sessions,24,29,37,21,21,24,27,27,29,9,22,18,15,20,21,20,11,15,13,20,23,20,25,15,17,23,12,14,29,12,613
Unit session percentage,38.24%,36.36%,32%,18.75%,26.47%,41.18%,37.21%,23.08%,23.08%,47.06%,34.48%,40%,44%,52.17%,41.94%,20.51%,33.33%,27.27%,31.58%,28.13%,28.57%,36.36%,30.3%,38.89%,35.71%,20%,61.11%,40%,25.58%,72.22%,33.7%
