Parameter/Date,31 December 2024,30 December 2024,29 December 2024,28 December 2024,27 December 2024,26 December 2024,25 December 2024,24 December 2024,23 December 2024,22 December 2024,21 December 2024,20 December 2024,19 December 2024,18 December 2024,17 December 2024,16 December 2024,15 December 2024,14 December 2024,13 December 2024,12 December 2024,11 December 2024,10 December 2024,9 December 2024,8 December 2024,7 December 2024,6 December 2024,5 December 2024,4 December 2024,3 December 2024,2 December 2024,1 December 2024,Total
Cost of goods,-27.3,-38.22,-32.76,-30.03,-5.46,-32.76,-19.11,-16.38,-19.11,-21.84,-13.65,-2.73,-27.3,-30.03,-19.11,-32.76,-19.11,-13.65,-10.92,-13.65,-16.38,-21.84,-8.19,-30.03,-21.84,-10.92,-21.84,-8.19,-13.65,-21.84,-27.3,-627.9
    Cost of goods sold,-27.3,-38.22,-32.76,-30.03,-5.46,-32.76,-19.11,-16.38,-19.11,-21.84,-13.65,-2.73,-27.3,-30.03,-19.11,-32.76,-19.11,-13.65,-10.92,-13.65,-16.38,-21.84,-8.19,-32.76,-21.84,-10.92,-21.84,-8.19,-13.65,-21.84,-27.3,-630.63
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,2.73
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,81.3,113.82,97.56,89.43,16.26,81.73,56.91,48.78,56.91,65.04,40.65,8.13,81.3,89.43,56.91,97.56,56.91,40.65,32.52,40.65,48.78,65.04,27.12,77.09,65.04,-179.52,65.04,24.39,38.1,44.64,55.8,1583.97
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,81.3,113.82,97.56,89.43,16.26,81.73,56.91,48.78,56.91,65.04,40.65,8.13,81.3,89.43,56.91,97.56,56.91,40.65,32.52,40.65,48.78,65.04,27.12,77.09,65.04,-179.52,65.04,24.39,38.1,44.64,55.8,1583.97
Estimated payout,108.6,152.04,130.32,119.46,21.72,114.49,76.02,65.16,76.02,86.88,54.3,10.86,108.6,119.46,76.02,130.32,76.02,54.3,43.44,54.3,65.16,86.88,32.58,107.12,86.88,-168.6,86.88,32.58,51.75,66.48,83.1,2209.14
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,8.33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8.33%,0%,0%,0%,0%,0%,0%,0%,0.87%
Sellable returns,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,0%,50%
Margin,45.19%,45.19%,45.19%,45.19%,45.19%,37.86%,45.19%,45.19%,45.19%,45.19%,45.19%,45.19%,45.19%,45.19%,45.19%,45.19%,45.19%,45.19%,45.19%,45.19%,45.19%,45.19%,50.25%,35.71%,45.19%,-249.47%,45.19%,45.19%,43.82%,37.22%,37.22%,38.65%
ROI,297.8%,297.8%,297.8%,297.8%,297.8%,249.48%,297.8%,297.8%,297.8%,297.8%,297.8%,297.8%,297.8%,297.8%,297.8%,297.8%,297.8%,297.8%,297.8%,297.8%,297.8%,297.8%,331.14%,256.71%,297.8%,-1643.96%,297.8%,297.8%,279.12%,204.4%,204.4%,252.26%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,51,52,73,65,59,44,49,21,42,44,56,37,43,46,48,46,63,49,31,43,44,39,35,41,33,24,22,30,22,35,48,1335
    Browser sessions,15,20,15,16,12,16,7,4,9,6,13,11,6,14,11,10,17,15,4,5,9,8,9,12,10,5,7,13,8,10,14,331
    Mobile app sessions,36,32,58,49,47,28,42,17,33,38,43,26,37,32,37,36,46,34,27,38,35,31,26,29,23,19,15,17,14,25,34,1004
Unit session percentage,19.61%,26.92%,16.44%,16.92%,3.39%,27.27%,14.29%,28.57%,16.67%,18.18%,8.93%,2.7%,23.26%,23.91%,14.58%,26.09%,11.11%,10.2%,12.9%,11.63%,13.64%,20.51%,8.57%,29.27%,24.24%,16.67%,36.36%,10%,22.73%,22.86%,20.83%,17.3%
