Parameter/Date,30 April 2023,29 April 2023,28 April 2023,27 April 2023,26 April 2023,25 April 2023,24 April 2023,23 April 2023,22 April 2023,21 April 2023,20 April 2023,19 April 2023,18 April 2023,17 April 2023,16 April 2023,15 April 2023,14 April 2023,13 April 2023,12 April 2023,11 April 2023,10 April 2023,9 April 2023,8 April 2023,7 April 2023,6 April 2023,5 April 2023,4 April 2023,3 April 2023,2 April 2023,1 April 2023,Total
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Sellable returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ROI,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
