Parameter/Date,31 October 2023,30 October 2023,29 October 2023,28 October 2023,27 October 2023,26 October 2023,25 October 2023,24 October 2023,23 October 2023,22 October 2023,21 October 2023,20 October 2023,19 October 2023,18 October 2023,17 October 2023,16 October 2023,15 October 2023,14 October 2023,13 October 2023,12 October 2023,11 October 2023,10 October 2023,9 October 2023,8 October 2023,7 October 2023,6 October 2023,5 October 2023,4 October 2023,3 October 2023,2 October 2023,1 October 2023,Total
    Refunded amount,0,0,0,0,-15.99,0,0,0,0,0,0,-15.99,0,0,0,0,0,0,0,0,-15.99,0,0,0,0,0,0,0,0,0,0,-47.97
Amazon fees,-62.46,-105.07,-117.98,-62.46,-48.58,-55.52,-62.46,-55.52,-69.4,-69.4,-55.52,-41.64,-76.34,-41.64,-27.76,-55.52,-41.64,-48.28,-26.56,-60.06,-39.84,-39.84,-46.48,-46.48,-53.28,-33.2,-19.92,-39.84,-33.2,-66.7,-6.64,-1609.23
    FBA per unit fulfilment fee,-40.86,-68.1,-77.18,-40.86,-31.78,-36.32,-40.86,-36.32,-45.4,-45.4,-36.32,-27.24,-49.94,-27.24,-18.16,-36.32,-27.24,-31.48,-16.96,-38.46,-25.44,-25.44,-29.68,-29.68,-33.92,-21.2,-12.72,-25.44,-21.2,-42.7,-4.24,-1044.1
    Referral fee,-21.6,-36,-40.8,-21.6,-16.8,-19.2,-21.6,-19.2,-24,-24,-19.2,-14.4,-26.4,-14.4,-9.6,-19.2,-14.4,-16.8,-9.6,-21.6,-14.4,-14.4,-16.8,-16.8,-19.2,-12,-7.2,-14.4,-12,-24,-2.4,-564
    FBA disposal fee,0,-0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.97
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16,0,0,0,0,0,0,-0.16
Cost of goods,-24.57,-40.95,-46.41,-24.57,-19.11,-21.84,-24.57,-21.84,-27.3,-27.3,-21.84,-16.38,-30.03,-16.38,-10.92,-21.84,-16.38,-19.11,-10.92,-24.57,-16.38,-16.38,-19.11,-19.11,-21.84,-13.65,-8.19,-16.38,-13.65,-27.3,-2.73,-641.55
    Cost of goods sold,-24.57,-40.95,-46.41,-24.57,-19.11,-21.84,-24.57,-21.84,-27.3,-27.3,-21.84,-16.38,-30.03,-16.38,-10.92,-21.84,-16.38,-19.11,-10.92,-24.57,-16.38,-16.38,-19.11,-19.11,-21.84,-13.65,-8.19,-16.38,-13.65,-27.3,-2.73,-641.55
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,40.33,65.44,81.47,32.61,18.32,35.97,38.86,30.14,41.26,43.53,30.17,10.78,40.7,20.24,8.82,30.07,18.48,23.83,10.66,45.17,7.69,21.21,31.58,27.97,29.15,17.51,3.42,19.88,22.35,42.94,-6.33,884.22
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,40.33,65.44,81.47,32.61,18.32,35.97,38.86,30.14,41.26,43.53,30.17,10.78,40.7,20.24,8.82,30.07,18.48,23.83,10.66,45.17,7.69,21.21,31.58,27.97,29.15,17.51,3.42,19.88,22.35,42.94,-6.33,884.22
Estimated payout,64.9,106.39,127.88,57.18,37.43,57.81,63.43,51.98,68.56,70.83,52.01,27.16,70.73,36.62,19.74,51.91,34.86,42.94,21.58,69.74,24.07,37.59,50.69,47.08,50.99,31.16,11.61,36.26,36,70.24,-3.6,1525.77
Real ACOS,11.5%,11.84%,9.55%,16.86%,10.59%,11.41%,12.52%,15.96%,13.72%,12.3%,15.94%,13.62%,16.39%,18.43%,25.73%,16.02%,20.26%,18.5%,24.73%,9.8%,18.72%,19.29%,13.19%,16.41%,18.49%,19.5%,34.27%,20.68%,13.45%,14.36%,80.99%,15.45%
% Refunds,0%,0%,0%,0%,14.29%,0%,0%,0%,0%,0%,0%,16.67%,0%,0%,0%,0%,0%,0%,0%,0%,16.67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.28%
Sellable returns,,,,,,0%,,,,,,,,,,,,,,,0%,,,,,,,,,,,0%
Margin,28.02%,27.28%,29.97%,22.66%,16.37%,28.12%,27%,23.56%,25.8%,27.22%,23.59%,11.24%,23.14%,21.1%,13.79%,23.51%,19.26%,21.29%,16.67%,31.39%,8.02%,22.11%,28.21%,24.99%,22.79%,21.9%,7.13%,20.72%,27.95%,26.85%,-39.59%,23.53%
ROI,164.14%,159.8%,175.54%,132.72%,95.87%,164.7%,158.16%,138%,151.14%,159.45%,138.14%,65.81%,135.53%,123.57%,80.77%,137.68%,112.82%,124.7%,97.62%,183.84%,46.95%,129.49%,165.25%,146.36%,133.47%,128.28%,41.76%,121.37%,163.74%,157.29%,-231.87%,137.83%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15.9%
