Parameter/Date,31 December 2025,30 December 2025,29 December 2025,28 December 2025,27 December 2025,26 December 2025,25 December 2025,24 December 2025,23 December 2025,22 December 2025,21 December 2025,20 December 2025,19 December 2025,18 December 2025,17 December 2025,16 December 2025,15 December 2025,14 December 2025,13 December 2025,12 December 2025,11 December 2025,10 December 2025,9 December 2025,8 December 2025,7 December 2025,6 December 2025,5 December 2025,4 December 2025,3 December 2025,2 December 2025,1 December 2025,Total
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,10%,6.67%,0%,0%,0%,0%,0%,0%,0%,5.56%,6.67%,0%,6.67%,0%,0%,0%,0%,0%,0%,16.67%,14.29%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.74%
Sellable returns,100%,,,,,,,,0%,,,,,,,,,,,,,,,,,,100%,,,,,66.67%
Margin,28.43%,31.36%,37.22%,37.22%,37.22%,37.22%,37.22%,45.14%,36.36%,32.34%,35.05%,37.22%,35.05%,-630.01%,37.22%,37.22%,37.22%,37.22%,37.22%,22.56%,24.65%,37.22%,37.22%,37.22%,-56.66%,37.22%,39.83%,37.22%,37.22%,37.22%,37.22%,22.01%
ROI,156.08%,172.19%,204.4%,204.4%,204.4%,204.4%,204.4%,247.88%,199.63%,177.55%,192.48%,204.4%,192.48%,-3459.28%,204.4%,204.4%,204.4%,204.4%,204.4%,123.87%,135.37%,204.4%,204.4%,204.4%,-311.11%,204.4%,218.68%,204.4%,204.4%,204.4%,204.4%,120.85%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,31,52,62,60,0,50,34,26,26,40,38,44,26,24,38,30,43,42,50,29,36,28,35,35,40,47,27,32,24,20,30,1099
    Browser sessions,11,16,23,17,0,16,11,10,9,12,15,9,10,12,13,10,14,20,21,12,11,10,11,16,11,11,11,13,6,6,9,376
    Mobile app sessions,20,36,39,43,0,34,23,16,17,28,23,35,16,12,25,20,29,22,29,17,25,18,24,19,29,36,16,19,18,14,21,723
Unit session percentage,32.26%,28.85%,27.42%,31.67%,0%,44%,20.59%,26.92%,30.77%,45%,39.47%,20.45%,57.69%,25%,15.79%,53.33%,41.86%,42.86%,36%,20.69%,19.44%,42.86%,48.57%,34.29%,45%,44.68%,25.93%,28.13%,66.67%,45%,36.67%,36.67%
