Parameter/Date,30 September 2025,29 September 2025,28 September 2025,27 September 2025,26 September 2025,25 September 2025,24 September 2025,23 September 2025,22 September 2025,21 September 2025,20 September 2025,19 September 2025,18 September 2025,17 September 2025,16 September 2025,15 September 2025,14 September 2025,13 September 2025,12 September 2025,11 September 2025,10 September 2025,9 September 2025,8 September 2025,7 September 2025,6 September 2025,5 September 2025,4 September 2025,3 September 2025,2 September 2025,1 September 2025,Total
Refunds,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,9
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,-4.12,0,-4.65,-2.5,0,-3.51,-1.56,0,-1.9,-1.31,0,-1.32,0,0,-0.94,0,0,-0.74,0,0,0,0,0,0,0,-22.55
    Sponsored Products,0,0,0,0,0,-4.12,0,-4.65,-2.5,0,-3.51,-1.56,0,-1.9,-1.31,0,-1.32,0,0,-0.94,0,0,-0.74,0,0,0,0,0,0,0,-22.55
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-13.19,-13.19,0,0,0,0,0,0,-13.19,0,-13.19,0,0,-13.19,0,0,0,0,-13.19,0,0,0,0,0,-13.19,-13.19,-13.19,0,0,0,-118.71
    Refunded referral fee,2.25,2.25,0,0,0,0,0,0,2.25,0,2.25,0,0,2.25,0,0,0,0,2.25,0,0,0,0,0,2.25,2.25,2.25,0,0,0,20.25
    Refund commission,-0.45,-0.45,0,0,0,0,0,0,-0.45,0,-0.45,0,0,-0.45,0,0,0,0,-0.45,0,0,0,0,0,-0.45,-0.45,-0.45,0,0,0,-4.05
    Refunded amount,-14.99,-14.99,0,0,0,0,0,0,-14.99,0,-14.99,0,0,-14.99,0,0,0,0,-14.99,0,0,0,0,0,-14.99,-14.99,-14.99,0,0,0,-134.91
Amazon fees,-25.6,-102.4,-76.8,-70.4,-25.6,-77.84,-32,-83.2,-83.2,-102.4,-83.2,-44.8,-44.8,-89.6,-57.6,-115.2,-64,-76.8,-67.36,-51.2,-76.8,-44.8,-96,-102.4,-106.56,-83.2,-64,-70.4,-115.2,-83.2,-2216.56
    FBA per unit fulfilment fee,-16.6,-66.4,-49.8,-45.65,-16.6,-49.8,-20.75,-53.95,-53.95,-66.4,-53.95,-29.05,-29.05,-58.1,-37.35,-74.7,-41.5,-49.8,-49.8,-33.2,-49.8,-29.05,-62.25,-66.4,-58.1,-53.95,-41.5,-45.65,-74.7,-53.95,-1431.75
    Referral fee,-9,-36,-27,-24.75,-9,-27,-11.25,-29.25,-29.25,-36,-29.25,-15.75,-15.75,-31.5,-20.25,-40.5,-22.5,-27,-27,-18,-27,-15.75,-33.75,-36,-31.5,-29.25,-22.5,-24.75,-40.5,-29.25,-776.25
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.96,0,0,0,0,0,-16.96
    FBA disposal fee,0,0,0,0,0,-1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,9.44
Cost of goods,-10.92,-43.68,-32.76,-30.03,-10.92,-32.76,-13.65,-35.49,-35.49,-43.68,-35.49,-19.11,-19.11,-38.22,-24.57,-49.14,-27.3,-32.76,-32.76,-21.84,-32.76,-19.11,-40.95,-43.68,-38.22,-35.49,-27.3,-30.03,-49.14,-35.49,-941.85
    Cost of goods sold,-10.92,-43.68,-32.76,-30.03,-10.92,-32.76,-13.65,-35.49,-35.49,-43.68,-35.49,-19.11,-19.11,-38.22,-24.57,-49.14,-27.3,-32.76,-32.76,-21.84,-32.76,-19.11,-40.95,-43.68,-38.22,-35.49,-27.3,-30.03,-49.14,-35.49,-941.85
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,10.25,80.57,70.32,64.46,23.44,65.16,29.3,71.53,60.49,93.76,59.48,39.46,41.02,66.95,51.43,105.48,57.28,70.32,66.57,45.94,70.32,41.02,87.16,93.76,51.89,62.99,45.41,64.46,105.48,76.18,1871.88
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,10.25,80.57,70.32,64.46,23.44,65.16,29.3,71.53,60.49,93.76,59.48,39.46,41.02,66.95,51.43,105.48,57.28,70.32,66.57,45.94,70.32,41.02,87.16,93.76,51.89,62.99,45.41,64.46,105.48,76.18,1871.88
Estimated payout,21.17,124.25,103.08,94.49,34.36,97.92,42.95,107.02,95.98,137.44,94.97,58.57,60.13,105.17,76,154.62,84.58,103.08,99.33,67.78,103.08,60.13,128.11,137.44,90.11,98.48,72.71,94.49,154.62,111.67,2813.73
Real ACOS,0%,0%,0%,0%,0%,2.29%,0%,2.39%,1.28%,0%,1.8%,1.49%,0%,0.91%,0.97%,0%,0.88%,0%,0%,0.78%,0%,0%,0.33%,0%,0%,0%,0%,0%,0%,0%,0.44%
% Refunds,25%,6.25%,0%,0%,0%,0%,0%,0%,7.69%,0%,7.69%,0%,0%,7.14%,0%,0%,0%,0%,8.33%,0%,0%,0%,0%,0%,7.14%,7.69%,10%,0%,0%,0%,2.61%
Sellable returns,,,0%,,,0%,,,,,,0%,,,,0%,,,0%,0%,,,0%,,0%,,,0%,0%,0%,0%
Margin,17.09%,33.59%,39.09%,39.09%,39.09%,36.22%,39.09%,36.71%,31.04%,39.09%,30.52%,37.61%,39.09%,31.9%,38.12%,39.09%,38.21%,39.09%,37.01%,38.31%,39.09%,39.09%,38.76%,39.09%,24.73%,32.32%,30.29%,39.09%,39.09%,39.09%,36.2%
ROI,93.86%,184.46%,214.65%,214.65%,214.65%,198.9%,214.65%,201.55%,170.44%,214.65%,167.6%,206.49%,214.65%,175.17%,209.32%,214.65%,209.82%,214.65%,203.21%,210.35%,214.65%,214.65%,212.84%,214.65%,135.77%,177.49%,166.34%,214.65%,214.65%,214.65%,198.75%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,30,50,33,31,34,35,32,47,38,41,40,27,29,42,32,50,61,39,30,31,32,40,46,49,45,28,39,28,38,37,1134
    Browser sessions,13,16,10,10,6,13,12,14,15,10,13,6,12,10,17,21,21,7,14,8,12,16,11,13,10,6,7,12,17,12,364
    Mobile app sessions,17,34,23,21,28,22,20,33,23,31,27,21,17,32,15,29,40,32,16,23,20,24,35,36,35,22,32,16,21,25,770
Unit session percentage,13.33%,32%,36.36%,35.48%,11.76%,34.29%,15.63%,27.66%,34.21%,39.02%,32.5%,25.93%,24.14%,33.33%,28.13%,36%,16.39%,30.77%,40%,25.81%,37.5%,17.5%,32.61%,32.65%,31.11%,46.43%,25.64%,39.29%,47.37%,35.14%,30.42%
