Parameter/Date,29 February 2024,28 February 2024,27 February 2024,26 February 2024,25 February 2024,24 February 2024,23 February 2024,22 February 2024,21 February 2024,20 February 2024,19 February 2024,18 February 2024,17 February 2024,16 February 2024,15 February 2024,14 February 2024,13 February 2024,12 February 2024,11 February 2024,10 February 2024,9 February 2024,8 February 2024,7 February 2024,6 February 2024,5 February 2024,4 February 2024,3 February 2024,2 February 2024,1 February 2024,Total
Refunds,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-33.35,-48.54,-25.18,-56.64,-59.96,-56.97,-58.3,-69.55,-61.87,-55.04,-60.35,-63.42,-72.64,-76.07,-59.91,-51.45,-48.23,-65.36,-69.61,-74.09,-64.7,-69.93,-61.82,-72.48,-54.9,-48.98,-66.17,-48.91,-44.19,-1698.61
    Sponsored Products,-33.35,-48.54,-25.18,-56.64,-59.96,-56.97,-58.3,-69.55,-61.87,-55.04,-60.35,-63.42,-72.64,-76.07,-59.91,-51.45,-48.23,-65.36,-69.61,-74.09,-64.7,-69.93,-61.82,-72.48,-54.9,-48.98,-66.17,-48.91,-44.19,-1698.61
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-14.95,-14.95,-14.95,0,0,0,0,0,0,0,0,-29.9,0,0,0,0,0,0,0,0,0,0,-29.9,0,0,0,0,0,0,-104.65
    Refunded referral fee,2.55,2.55,2.55,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,17.85
    Refund commission,-0.51,-0.51,-0.51,0,0,0,0,0,0,0,0,-1.02,0,0,0,0,0,0,0,0,0,0,-1.02,0,0,0,0,0,0,-3.57
    Refunded amount,-16.99,-16.99,-16.99,0,0,0,0,0,0,0,0,-33.98,0,0,0,0,0,0,0,0,0,0,-33.98,0,0,0,0,0,0,-118.93
Amazon fees,-130.53,-96.18,-109.92,-61.83,-158.01,-116.79,-123.66,-123.66,-158.01,-96.18,-151.14,-171.75,-137.4,-123.66,-178.62,-107.52,-123.66,-144.27,-178.62,-158.01,-89.31,-103.01,-123.66,-137.4,-151.14,-148.32,-163.6,-122.3,-122.38,-3810.54
    FBA per unit fulfilment fee,-82.08,-60.48,-69.12,-38.88,-99.36,-73.44,-77.76,-77.76,-99.36,-60.48,-95.04,-108,-86.4,-77.76,-112.32,-73.44,-77.76,-90.72,-112.32,-99.36,-56.16,-56.16,-77.76,-86.4,-95.04,-98.72,-102.4,-76.4,-76.48,-2397.36
    Referral fee,-48.45,-35.7,-40.8,-22.95,-58.65,-43.35,-45.9,-45.9,-58.65,-35.7,-56.1,-63.75,-51,-45.9,-66.3,-43.35,-45.9,-53.55,-66.3,-58.65,-33.15,-33.15,-45.9,-51,-56.1,-58.65,-61.2,-45.9,-45.9,-1417.8
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.7,0,0,0,0,0,0,0,-13.7
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05,0,0,0,9.05
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.27,0,0,0,0,0,0,0,0,0,0,0,0,0,9.27
Cost of goods,-51.87,-38.22,-43.68,-24.57,-62.79,-46.41,-49.14,-51.87,-62.79,-38.22,-60.06,-68.25,-54.6,-51.87,-70.98,-46.41,-49.14,-57.33,-70.98,-62.79,-35.49,-35.49,-49.14,-54.6,-60.06,-62.79,-65.52,-49.14,-49.14,-1523.34
    Cost of goods sold,-51.87,-38.22,-43.68,-24.57,-62.79,-46.41,-49.14,-51.87,-62.79,-38.22,-60.06,-68.25,-54.6,-51.87,-70.98,-46.41,-49.14,-57.33,-70.98,-62.79,-35.49,-35.49,-49.14,-54.6,-60.06,-62.79,-65.52,-49.14,-49.14,-1523.34
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,92.11,39.97,78.11,9.87,110.01,68.66,74.72,60.74,108.1,48.42,102.23,91.43,75.16,54.22,132.23,83.45,84.79,89.83,122.53,95.88,31.37,12.44,41.3,75.32,107.68,130.68,112.47,85.47,90.11,2309.3
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,92.11,39.97,78.11,9.87,110.01,68.66,74.72,60.74,108.1,48.42,102.23,91.43,75.16,54.22,132.23,83.45,84.79,89.83,122.53,95.88,31.37,12.44,41.3,75.32,107.68,130.68,112.47,85.47,90.11,2309.3
Estimated payout,143.98,78.19,121.79,34.44,172.8,115.07,123.86,112.61,170.89,86.64,162.29,159.68,129.76,106.09,203.21,129.86,133.93,147.16,193.51,158.67,66.86,47.93,90.44,129.92,167.74,193.47,177.99,134.61,139.25,3832.64
Real ACOS,10.33%,20.41%,9.26%,37.04%,15.34%,19.72%,19.06%,22.74%,15.83%,23.14%,16.15%,14.93%,21.38%,24.87%,13.56%,17.81%,15.77%,18.32%,15.76%,18.96%,29.29%,31.66%,20.21%,21.33%,14.69%,12.53%,16.23%,15.99%,14.45%,17.98%
% Refunds,5.26%,7.14%,6.25%,0%,0%,0%,0%,0%,0%,0%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11.11%,0%,0%,0%,0%,0%,0%,1.25%
Sellable returns,,,0%,,,,,,,,,,,,,0%,,,,,,,,,,,,,,0%
Margin,28.53%,16.8%,28.73%,6.45%,28.15%,23.77%,24.43%,19.86%,27.66%,20.36%,27.35%,21.53%,22.12%,17.73%,29.93%,28.89%,27.73%,25.18%,27.74%,24.54%,14.2%,5.63%,13.5%,22.17%,28.81%,33.44%,27.58%,27.95%,29.47%,24.45%
ROI,177.58%,104.58%,178.82%,40.17%,175.2%,147.94%,152.06%,117.1%,172.16%,126.69%,170.21%,133.96%,137.66%,104.53%,186.29%,179.81%,172.55%,156.69%,172.63%,152.7%,88.39%,35.05%,84.05%,137.95%,179.29%,208.12%,171.66%,173.93%,183.37%,151.59%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,76,85,70,90,126,111,102,108,96,87,114,115,113,99,95,81,100,102,118,112,102,95,107,109,112,97,133,120,84,2959
    Browser sessions,28,33,25,39,40,38,45,42,43,36,44,36,47,44,42,39,49,44,40,42,33,49,48,49,45,32,47,70,40,1209
    Mobile app sessions,48,52,45,51,86,73,57,66,53,51,70,79,66,55,53,42,51,58,78,70,69,46,59,60,67,65,86,50,44,1750
Unit session percentage,25%,16.47%,22.86%,10%,18.25%,15.32%,17.65%,17.59%,23.96%,16.09%,19.3%,21.74%,17.7%,19.19%,27.37%,20.99%,18%,20.59%,22.03%,20.54%,12.75%,13.68%,16.82%,18.35%,19.64%,23.71%,18.05%,15%,21.43%,18.86%
