Parameter/Date,31 May 2024,30 May 2024,29 May 2024,28 May 2024,27 May 2024,26 May 2024,25 May 2024,24 May 2024,23 May 2024,22 May 2024,21 May 2024,20 May 2024,19 May 2024,18 May 2024,17 May 2024,16 May 2024,15 May 2024,14 May 2024,13 May 2024,12 May 2024,11 May 2024,10 May 2024,9 May 2024,8 May 2024,7 May 2024,6 May 2024,5 May 2024,4 May 2024,3 May 2024,2 May 2024,1 May 2024,Total
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.95,-14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.9
    Refunded referral fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1
    Refund commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.51,-0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02
    Refunded amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.99,-16.99,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.98
Amazon fees,-46.9,-46.9,-80.4,-67,-121.57,-80.4,-154.1,-87.1,-46.9,-26.8,-73.7,-60.3,-33.5,-60.3,-33.5,-20.1,-33.5,-60.3,-60.3,-53.6,-23.38,-20.1,-83.57,-73.7,-60.3,-54.64,-80.4,-60.3,-53.6,-67,-46.9,-1871.06
    FBA per unit fulfilment fee,-29.05,-29.05,-49.8,-41.5,-74.7,-49.8,-95.45,-53.95,-29.05,-16.6,-45.65,-37.35,-20.75,-37.35,-20.75,-12.45,-20.75,-37.35,-37.35,-33.2,-20.75,-12.45,-33.2,-45.65,-37.35,-33.2,-49.8,-37.35,-33.2,-41.5,-29.05,-1145.4
    Referral fee,-17.85,-17.85,-30.6,-25.5,-45.9,-30.6,-58.65,-33.15,-17.85,-10.2,-28.05,-22.95,-12.75,-22.95,-12.75,-7.65,-12.75,-22.95,-22.95,-20.4,-12.75,-7.65,-20.4,-28.05,-22.95,-20.4,-30.6,-22.95,-20.4,-25.5,-17.85,-703.8
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.97,0,0,0,0,0,0,0,0,-29.97
    FBA disposal fee,0,0,0,0,-0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04,0,0,0,0,0,-2.01
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.12,0,0,0,0,0,0,0,0,0,0,10.12
Cost of goods,-19.11,-19.11,-32.76,-27.3,-49.14,-32.76,-62.79,-35.49,-19.11,-10.92,-30.03,-24.57,-13.65,-24.57,-13.65,-8.19,-13.65,-24.57,-24.57,-21.84,-13.65,-8.19,-21.84,-30.03,-24.57,-21.84,-32.76,-24.57,-21.84,-27.3,-19.11,-753.48
    Cost of goods sold,-19.11,-19.11,-32.76,-27.3,-49.14,-32.76,-62.79,-35.49,-19.11,-10.92,-30.03,-24.57,-13.65,-24.57,-13.65,-8.19,-13.65,-24.57,-24.57,-21.84,-13.65,-8.19,-21.84,-30.03,-24.57,-21.84,-32.76,-24.57,-21.84,-27.3,-19.11,-753.48
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,11.34,5.17,39.26,38.55,62.19,42.74,103.61,47.48,20.41,-7.63,39.09,41.58,19.51,44.83,28.77,14.14,11.25,38.44,58.21,48.74,35.82,14.6,8.83,54.67,28.72,29.66,58.05,42.2,31.94,49.45,26.23,1087.85
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,11.34,5.17,39.26,38.55,62.19,42.74,103.61,47.48,20.41,-7.63,39.09,41.58,19.51,44.83,28.77,14.14,11.25,38.44,58.21,48.74,35.82,14.6,8.83,54.67,28.72,29.66,58.05,42.2,31.94,49.45,26.23,1087.85
Estimated payout,30.45,24.28,72.02,65.85,111.33,75.5,166.4,82.97,39.52,3.29,69.12,66.15,33.16,69.4,42.42,22.33,24.9,63.01,82.78,70.58,49.47,22.79,30.67,84.7,53.29,51.5,90.81,66.77,53.78,76.75,45.34,1841.33
Real ACOS,34.96%,40.15%,25.24%,21.81%,23.84%,23.53%,17.98%,23%,27.34%,55.72%,23.58%,17.3%,21.53%,15.18%,10.63%,16.75%,13.66%,9.58%,6.43%,8.64%,14.24%,15.85%,15.95%,15.24%,25.71%,21.91%,16.02%,16.9%,21%,15.39%,22.44%,20.19%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,11.11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.72%
Sellable returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,0%
Margin,9.54%,4.35%,19.26%,22.69%,20.34%,20.96%,26.51%,21.5%,17.16%,-11.23%,20.92%,27.19%,22.97%,29.32%,33.87%,27.74%,13.24%,25.14%,38.07%,35.86%,42.17%,28.64%,6.5%,29.25%,18.78%,21.82%,28.47%,27.6%,23.5%,29.11%,22.05%,23.2%
ROI,59.34%,27.05%,119.84%,141.21%,126.56%,130.46%,165.01%,133.78%,106.8%,-69.87%,130.17%,169.23%,142.93%,182.46%,210.77%,172.65%,82.42%,156.45%,236.91%,223.17%,262.42%,178.27%,40.43%,182.05%,116.89%,135.81%,177.2%,171.75%,146.25%,181.14%,137.26%,144.38%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,59,71,57,78,111,77,101,64,60,65,57,49,56,56,32,32,41,45,35,41,40,32,48,58,78,58,76,62,55,60,62,1816
    Browser sessions,26,26,20,36,48,31,35,17,27,24,28,16,21,21,17,12,22,18,13,18,15,14,23,24,28,27,26,27,21,23,22,726
    Mobile app sessions,33,45,37,42,63,46,66,47,33,41,29,33,35,35,15,20,19,27,22,23,25,18,25,34,50,31,50,35,34,37,40,1090
Unit session percentage,11.86%,9.86%,21.05%,12.82%,16.22%,15.58%,22.77%,20.31%,11.67%,6.15%,19.3%,18.37%,8.93%,16.07%,15.63%,9.38%,12.2%,20%,25.71%,19.51%,12.5%,9.38%,16.67%,18.97%,11.54%,13.79%,15.79%,14.52%,14.55%,16.67%,11.29%,15.2%
