Parameter/Date,31 July 2024,30 July 2024,29 July 2024,28 July 2024,27 July 2024,26 July 2024,25 July 2024,24 July 2024,23 July 2024,22 July 2024,21 July 2024,20 July 2024,19 July 2024,18 July 2024,17 July 2024,16 July 2024,15 July 2024,14 July 2024,13 July 2024,12 July 2024,11 July 2024,10 July 2024,9 July 2024,8 July 2024,7 July 2024,6 July 2024,5 July 2024,4 July 2024,3 July 2024,2 July 2024,1 July 2024,Total
Cost of goods,-8.19,-8.19,-24.57,-19.11,-16.38,-5.46,-21.84,-30.03,-8.19,-30.03,-16.38,-16.38,-13.65,-10.92,-46.41,-19.11,-16.38,-13.65,-21.84,-21.84,-10.92,-21.84,-19.11,-35.49,-21.84,-21.84,-30.03,-27.3,-2.73,-24.57,-16.38,-600.6
    Cost of goods sold,-8.19,-8.19,-24.57,-19.11,-16.38,-5.46,-21.84,-27.3,-8.19,-30.03,-16.38,-16.38,-13.65,-10.92,-46.41,-19.11,-16.38,-13.65,-21.84,-21.84,-10.92,-21.84,-19.11,-35.49,-21.84,-21.84,-30.03,-27.3,-2.73,-24.57,-16.38,-597.87
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,-2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,22.68,22.68,68.04,52.92,36.68,15.12,60.48,83.16,22.68,83.16,45.36,45.36,37.8,30.24,128.52,52.92,45.36,37.8,70.77,60.48,30.24,60.48,52.92,98.28,27.16,60.48,83.16,95.6,11.71,97.09,49.51,1688.84
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,22.68,22.68,68.04,52.92,36.68,15.12,60.48,83.16,22.68,83.16,45.36,45.36,37.8,30.24,128.52,52.92,45.36,37.8,70.77,60.48,30.24,60.48,52.92,98.28,27.16,60.48,83.16,95.6,11.71,97.09,49.51,1688.84
Estimated payout,30.87,30.87,92.61,72.03,53.06,20.58,82.32,113.19,30.87,113.19,61.74,61.74,51.45,41.16,174.93,72.03,61.74,51.45,92.61,82.32,41.16,82.32,72.03,133.77,49,82.32,113.19,122.9,14.44,121.66,65.89,2289.44
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Sellable returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin,44.5%,44.5%,44.5%,44.5%,35.98%,44.5%,44.5%,48.95%,44.5%,44.5%,44.5%,44.5%,44.5%,44.5%,44.5%,44.5%,44.5%,44.5%,52.07%,44.5%,44.5%,44.5%,44.5%,44.5%,22.84%,44.5%,44.5%,56.27%,68.92%,63.49%,48.57%,45.6%
ROI,276.92%,276.92%,276.92%,276.92%,223.93%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,324.04%,276.92%,276.92%,276.92%,276.92%,276.92%,124.36%,276.92%,276.92%,350.18%,428.94%,395.16%,302.26%,281.19%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,31,26,27,46,56,22,26,30,21,29,42,33,27,16,44,52,33,40,32,32,27,36,21,36,46,45,58,42,16,31,28,1051
    Browser sessions,11,9,8,17,11,12,9,9,10,12,14,9,13,5,18,17,11,10,9,13,10,13,10,16,17,14,12,12,5,14,14,364
    Mobile app sessions,20,17,19,29,45,10,17,21,11,17,28,24,14,11,26,35,22,30,23,19,17,23,11,20,29,31,46,30,11,17,14,687
Unit session percentage,9.68%,11.54%,33.33%,15.22%,10.71%,9.09%,30.77%,33.33%,14.29%,37.93%,14.29%,18.18%,18.52%,25%,38.64%,13.46%,18.18%,12.5%,25%,25%,14.81%,22.22%,33.33%,36.11%,17.39%,17.78%,18.97%,23.81%,6.25%,29.03%,21.43%,20.84%
