Parameter/Date,31 August 2025,30 August 2025,29 August 2025,28 August 2025,27 August 2025,26 August 2025,25 August 2025,24 August 2025,23 August 2025,22 August 2025,21 August 2025,20 August 2025,19 August 2025,18 August 2025,17 August 2025,16 August 2025,15 August 2025,14 August 2025,13 August 2025,12 August 2025,11 August 2025,10 August 2025,9 August 2025,8 August 2025,7 August 2025,6 August 2025,5 August 2025,4 August 2025,3 August 2025,2 August 2025,1 August 2025,Total
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,71.58,91.3,34.14,76.18,62.76,87.9,51.27,70.32,62.18,93.76,43.63,97.34,58.6,67.38,91.48,58.6,70.32,29.3,52.74,82.04,73.05,64.46,105.48,52.74,14.64,-6.66,70.32,49.8,62.5,62.5,12.77,1914.42
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,71.58,91.3,34.14,76.18,62.76,87.9,51.27,70.32,62.18,93.76,43.63,97.34,58.6,67.38,91.48,58.6,70.32,29.3,52.74,82.04,73.05,64.46,105.48,52.74,14.64,-6.66,70.32,49.8,62.5,62.5,12.77,1914.42
Estimated payout,107.07,140.44,47.79,111.67,92.79,128.85,81.3,103.08,92.21,137.44,76.39,138.29,85.9,111.06,129.7,85.9,103.08,42.95,77.31,120.26,103.08,94.49,154.62,77.31,33.75,15.18,103.08,79.83,97.99,92.53,31.88,2897.22
Real ACOS,0%,0.37%,0%,0%,0%,0%,0%,0%,0%,0%,0.17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.89%,0.25%,1.19%,0.94%,0.11%
% Refunds,7.14%,5.56%,16.67%,0%,0%,0%,9.09%,0%,8.33%,0%,16.67%,0%,0%,12.5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,28.57%,25%,0%,9.09%,7.69%,0%,28.57%,4.66%
Sellable returns,100%,,100%,,,,,0%,100%,,,,0%,,,,0%,,,,50%,,0%,,0%,,,,,,0%,33.33%
Margin,34.11%,33.84%,37.96%,39.09%,34.89%,39.09%,31.09%,39.09%,34.57%,39.09%,24.26%,43.29%,39.09%,28.09%,43.59%,39.09%,39.09%,39.09%,39.09%,39.09%,40.61%,39.09%,39.09%,39.09%,13.95%,-5.55%,39.09%,30.2%,32.07%,37.9%,12.17%,34.99%
ROI,187.28%,185.8%,208.42%,214.65%,208.99%,214.65%,170.73%,214.65%,189.8%,214.65%,133.18%,237.7%,214.65%,154.26%,239.35%,214.65%,214.65%,214.65%,214.65%,214.65%,222.99%,214.65%,214.65%,214.65%,76.61%,-30.49%,214.65%,165.83%,176.11%,208.13%,66.82%,192.65%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,40,36,34,28,33,28,42,43,43,34,35,34,35,41,51,37,29,39,19,36,39,47,37,26,27,25,40,33,38,43,27,1099
    Browser sessions,9,9,14,11,11,10,19,9,13,12,14,11,15,13,14,10,15,14,7,17,18,12,9,6,10,10,10,16,7,12,6,363
    Mobile app sessions,31,27,20,17,22,18,23,34,30,22,21,23,20,28,37,27,14,25,12,19,21,35,28,20,17,15,30,17,31,31,21,736
Unit session percentage,35%,50%,17.65%,46.43%,36.36%,53.57%,26.19%,27.91%,27.91%,47.06%,34.29%,44.12%,28.57%,39.02%,27.45%,27.03%,41.38%,12.82%,47.37%,38.89%,30.77%,23.4%,48.65%,34.62%,25.93%,32%,30%,33.33%,34.21%,25.58%,25.93%,33.21%
