Parameter/Date,31 August 2024,30 August 2024,29 August 2024,28 August 2024,27 August 2024,26 August 2024,25 August 2024,24 August 2024,23 August 2024,22 August 2024,21 August 2024,20 August 2024,19 August 2024,18 August 2024,17 August 2024,16 August 2024,15 August 2024,14 August 2024,13 August 2024,12 August 2024,11 August 2024,10 August 2024,9 August 2024,8 August 2024,7 August 2024,6 August 2024,5 August 2024,4 August 2024,3 August 2024,2 August 2024,1 August 2024,Total
Refunds,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,7
Promo,0,0,0,0,0,-20.4,0,0,0,0,0,-10.2,0,0,0,-12.75,0,0,0,0,0,0,0,0,0,-20.4,0,0,0,0,0,-63.75
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,-14.95,0,0,-14.95,0,0,0,-14.95,-14.95,0,0,0,0,5.46,0,0,0,0,0,-12.7,0,-12.22,0,0,0,0,0,0,0,-14.95,-94.21
    Refunded referral fee,0,2.55,0,0,2.55,0,0,0,2.55,2.55,0,0,0,0,0,0,0,0,0,0,2.17,0,2.55,0,0,0,0,0,0,0,2.55,17.47
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0,8.19
    Promotion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,2.55
    Refund commission,0,-0.51,0,0,-0.51,0,0,0,-0.51,-0.51,0,0,0,0,0,0,0,0,0,0,-0.43,0,-0.51,0,0,0,0,0,0,0,-0.51,-3.49
    Refunded amount,0,-16.99,0,0,-16.99,0,0,0,-16.99,-16.99,0,0,0,0,0,0,0,0,0,0,-16.99,0,-16.99,0,0,0,0,0,0,0,-16.99,-118.93
Amazon fees,-46.9,-26.8,-46.9,-53.6,-26.8,-70.66,-167.5,-80.4,-13.4,-40.2,-77.29,-52.08,-60.3,-199.38,-60.3,-58.4,-20.1,-33.5,-6.7,-13.23,-40.2,-60.3,-20.1,-33.5,-26.8,-84.06,-47.38,-103.92,-46.9,-20.1,-13.4,-1651.1
    FBA per unit fulfilment fee,-29.05,-16.6,-29.05,-33.2,-16.6,-45.65,-103.75,-49.8,-8.3,-24.9,-41.5,-33.2,-37.35,-87.15,-37.35,-37.35,-12.45,-20.75,-4.15,-8.3,-24.9,-37.35,-12.45,-20.75,-16.6,-53.95,-16.6,-58.1,-29.05,-12.45,-8.3,-966.95
    Referral fee,-17.85,-10.2,-17.85,-20.4,-10.2,-25.01,-63.75,-30.6,-5.1,-15.3,-25.5,-18.88,-22.95,-53.55,-22.95,-21.05,-7.65,-12.75,-2.55,-5.1,-15.3,-22.95,-7.65,-12.75,-10.2,-30.11,-10.2,-35.7,-17.85,-7.65,-5.1,-584.65
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,-58.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58.68
    Compensated clawback,0,0,0,0,0,0,0,0,0,0,-10.29,0,0,0,0,0,0,0,0,-10.12,0,0,0,0,0,0,-20.58,-10.12,0,0,0,-51.11
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0,10.29
Cost of goods,-19.11,-10.92,-19.11,-21.84,-10.92,-30.03,-70.98,-32.76,-5.46,-16.38,-24.57,-21.84,-24.57,-57.33,-24.57,-24.57,-8.19,-13.65,-2.73,-5.46,-16.38,-24.57,-8.19,-13.65,-10.92,-35.49,-5.46,-35.49,-19.11,-8.19,-5.46,-627.9
    Cost of goods sold,-19.11,-10.92,-19.11,-21.84,-10.92,-30.03,-70.98,-32.76,-5.46,-16.38,-27.3,-21.84,-24.57,-57.33,-24.57,-24.57,-8.19,-13.65,-2.73,-5.46,-16.38,-24.57,-8.19,-13.65,-10.92,-35.49,-10.92,-38.22,-19.11,-8.19,-5.46,-638.82
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,2.73,0,0,0,10.92
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,52.92,15.29,52.92,60.48,15.29,65.8,186.27,90.72,0.17,30.41,68.04,51.8,68.04,100.08,73.5,57.19,22.68,37.8,7.56,15.29,32.66,68.04,10.46,37.8,30.24,80.92,15.12,98.45,52.92,22.68,0.17,1521.71
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,52.92,15.29,52.92,60.48,15.29,65.8,186.27,90.72,0.17,30.41,68.04,51.8,68.04,100.08,73.5,57.19,22.68,37.8,7.56,15.29,32.66,68.04,10.46,37.8,30.24,80.92,15.12,98.45,52.92,22.68,0.17,1521.71
Estimated payout,72.03,26.21,72.03,82.32,26.21,95.83,257.25,123.48,5.63,46.79,92.61,73.64,92.61,157.41,92.61,81.76,30.87,51.45,10.29,20.75,49.04,92.61,15.92,51.45,41.16,116.41,20.58,133.94,72.03,30.87,5.63,2141.42
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,25%,0%,0%,25%,0%,0%,0%,50%,16.67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16.67%,0%,33.33%,0%,0%,0%,0%,0%,0%,0%,50%,2.99%
Sellable returns,,,0%,,,,,,,,,,,,100%,,,,,0%,,,100%,,,,,,,,,60%
Margin,44.5%,22.5%,44.5%,44.5%,22.5%,35.21%,43.85%,44.5%,0.5%,29.83%,40.05%,38.11%,44.5%,28.05%,48.07%,37.4%,44.5%,44.5%,44.5%,45%,32.04%,44.5%,20.52%,44.5%,44.5%,36.64%,22.25%,41.39%,44.5%,44.5%,0.5%,38.44%
ROI,276.92%,140.02%,276.92%,276.92%,140.02%,219.11%,262.43%,276.92%,3.11%,185.65%,276.92%,237.18%,276.92%,174.57%,299.15%,232.76%,276.92%,276.92%,276.92%,280.04%,199.39%,276.92%,127.72%,276.92%,276.92%,228.01%,276.92%,277.4%,276.92%,276.92%,3.11%,242.35%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,47,22,26,21,30,52,98,39,27,29,25,53,46,105,44,52,18,28,44,38,34,52,40,23,31,52,33,46,36,25,30,1246
    Browser sessions,16,9,7,5,13,20,32,15,8,12,8,17,19,24,17,13,7,8,19,13,11,23,17,11,10,22,13,14,9,13,8,433
    Mobile app sessions,31,13,19,16,17,32,66,24,19,17,17,36,27,81,27,39,11,20,25,25,23,29,23,12,21,30,20,32,27,12,22,813
Unit session percentage,14.89%,18.18%,26.92%,38.1%,13.33%,21.15%,26.53%,30.77%,7.41%,20.69%,40%,15.09%,19.57%,20%,20.45%,17.31%,16.67%,17.86%,2.27%,5.26%,17.65%,17.31%,7.5%,21.74%,12.9%,25%,12.12%,30.43%,19.44%,12%,6.67%,18.78%
