Parameter/Date,31 October 2024,30 October 2024,29 October 2024,28 October 2024,27 October 2024,26 October 2024,25 October 2024,24 October 2024,23 October 2024,22 October 2024,21 October 2024,20 October 2024,19 October 2024,18 October 2024,17 October 2024,16 October 2024,15 October 2024,14 October 2024,13 October 2024,12 October 2024,11 October 2024,10 October 2024,9 October 2024,8 October 2024,7 October 2024,6 October 2024,5 October 2024,4 October 2024,3 October 2024,2 October 2024,1 October 2024,Total
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.29%
Sellable returns,,0%,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,50%
Margin,31.51%,42.85%,40.81%,42.85%,29.24%,42.85%,46.87%,42.85%,52.94%,42.85%,42.85%,42.85%,20.85%,42.85%,42.85%,42.85%,32.64%,43.4%,43.51%,44.5%,44.5%,22.09%,44.5%,41.09%,-3.23%,44.5%,37.2%,44.5%,44.5%,44.5%,44.5%,39.12%
ROI,196.09%,266.67%,253.97%,266.67%,181.98%,266.67%,291.67%,266.67%,329.49%,266.67%,266.67%,266.67%,129.76%,266.67%,266.67%,266.67%,203.15%,270.09%,270.77%,276.92%,276.92%,137.45%,276.92%,255.75%,-20.07%,276.92%,231.5%,276.92%,276.92%,276.92%,276.92%,243.49%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,36,16,21,23,64,17,19,16,15,17,12,23,24,20,15,11,38,26,29,19,21,27,21,63,28,25,37,11,14,18,22,748
    Browser sessions,9,9,9,9,18,7,9,8,7,4,3,12,8,9,8,6,10,11,7,8,9,5,7,16,11,8,14,4,5,10,7,267
    Mobile app sessions,27,7,12,14,46,10,10,8,8,13,9,11,16,11,7,5,28,15,22,11,12,22,14,47,17,17,23,7,9,8,15,481
Unit session percentage,16.67%,31.25%,14.29%,17.39%,15.63%,29.41%,21.05%,25%,40%,23.53%,41.67%,13.04%,16.67%,35%,33.33%,18.18%,13.16%,23.08%,17.24%,21.05%,19.05%,14.81%,52.38%,15.87%,17.86%,16%,18.92%,9.09%,28.57%,33.33%,9.09%,20.72%
