Parameter/Date,31 December 2023,30 December 2023,29 December 2023,28 December 2023,27 December 2023,26 December 2023,25 December 2023,24 December 2023,23 December 2023,22 December 2023,21 December 2023,20 December 2023,19 December 2023,18 December 2023,17 December 2023,16 December 2023,15 December 2023,14 December 2023,13 December 2023,12 December 2023,11 December 2023,10 December 2023,9 December 2023,8 December 2023,7 December 2023,6 December 2023,5 December 2023,4 December 2023,3 December 2023,2 December 2023,1 December 2023,Total
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,-3.07,0,0,0,0,-1.64,0,-61.61,-64.08,-63.92,-50.8,-31.81,-27.44,-44.98,-47.57,-41.78,-80.69,-66.81,-83.11,-669.31
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,-3.07,0,0,0,0,-1.64,0,-59.3,-62.35,-60.29,-46.04,-30.24,-27.01,-42.3,-43.01,-37,-74.75,-61.63,-79.34,-627.97
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.31,-1.73,-3.63,-4.76,-1.57,-0.43,-2.68,-4.56,-4.78,-5.94,-5.18,-3.77,-41.34
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.07,0,0,-14.07,0,0,0,0,0,0,0,0,0,0,0,2.73,-14.07,-14.07,-53.55
    Refunded referral fee,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2.4,9.6
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,2.73
    Refund commission,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.48,0,0,-0.48,0,0,0,0,0,0,0,0,0,0,0,0,-0.48,-0.48,-1.92
    Refunded amount,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.99,0,0,-15.99,0,0,0,0,0,0,0,0,0,0,0,0,-15.99,-15.99,-63.96
Amazon fees,0,0,0,0,0,0,0,0,0,0,-0.97,0,-6.94,0,0,0,0,2.11,0,-76.34,-55.52,-48.58,-90.22,-62.46,-70.68,-76.34,-83.28,-103.98,-117.98,-145.74,-90.22,-1027.14
    FBA per unit fulfilment fee,0,0,0,0,0,0,0,0,0,0,0,0,-4.54,0,0,0,0,-4.54,0,-49.94,-36.32,-31.78,-59.02,-40.86,-9.08,-49.94,-54.48,-67.98,-77.18,-95.34,-59.02,-640.02
    Referral fee,0,0,0,0,0,0,0,0,0,0,0,0,-2.4,0,0,0,0,-2.4,0,-26.4,-19.2,-16.8,-31.2,-21.6,-4.8,-26.4,-28.8,-36,-40.8,-50.4,-31.2,-338.4
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56.8,0,0,0,0,0,0,-56.8
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,-0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.97
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05
Cost of goods,0,0,0,0,0,0,0,0,0,0,0,0,-2.73,0,0,0,0,-5.46,0,-30.03,-21.84,-19.11,-35.49,-24.57,-5.46,-30.03,-35.49,-40.95,-46.41,-57.33,-35.49,-390.39
    Cost of goods sold,0,0,0,0,0,0,0,0,0,0,0,0,-2.73,0,0,0,0,-2.73,0,-30.03,-21.84,-19.11,-35.49,-24.57,-5.46,-30.03,-35.49,-40.95,-46.41,-57.33,-35.49,-387.66
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,0,0,0,0,0,0,0,0,0,0,-0.97,0,3.25,-14.07,0,0,-14.07,11,0,7.91,-13.52,-19.68,31.36,25.07,-71.6,24.54,25.54,53.14,29.48,51.84,-15.02,114.2
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,0,0,0,0,0,0,0,0,0,0,-0.97,0,3.25,-14.07,0,0,-14.07,11,0,7.91,-13.52,-19.68,31.36,25.07,-71.6,24.54,25.54,53.14,29.48,51.84,-15.02,114.2
Estimated payout,0,0,0,0,0,0,0,0,0,0,-0.97,0,5.98,-14.07,0,0,-14.07,16.46,0,37.94,8.32,-0.57,66.85,49.64,-66.14,54.57,61.03,94.09,73.16,109.17,20.47,501.86
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,19.2%,0%,0%,0%,0%,10.26%,0%,35.03%,50.09%,57.11%,24.44%,22.1%,85.8%,25.57%,24.79%,17.42%,29.68%,19.9%,39.98%,29.69%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4.76%,7.69%,2.82%
Sellable returns,,,,,,,,,,0%,,,,,,,,,,0%,,,,,0%,,,,100%,,,25%
Margin,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20.33%,0%,0%,0%,0%,68.79%,0%,4.5%,-10.57%,-17.58%,15.09%,17.42%,-223.89%,13.95%,13.31%,22.16%,10.85%,15.44%,-7.23%,5.07%
ROI,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,119.05%,,0%,0%,,201.47%,0%,26.34%,-61.9%,-102.98%,88.36%,102.04%,-1311.36%,81.72%,71.96%,129.77%,63.52%,90.42%,-42.32%,29.25%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,14.9%
