Parameter/Date,28 February 2025,27 February 2025,26 February 2025,25 February 2025,24 February 2025,23 February 2025,22 February 2025,21 February 2025,20 February 2025,19 February 2025,18 February 2025,17 February 2025,16 February 2025,15 February 2025,14 February 2025,13 February 2025,12 February 2025,11 February 2025,10 February 2025,9 February 2025,8 February 2025,7 February 2025,6 February 2025,5 February 2025,4 February 2025,3 February 2025,2 February 2025,1 February 2025,Total
    FBA per unit fulfilment fee,-37.35,-45.65,-37.35,-20.75,-49.8,-24.9,-33.2,-20.75,-24.9,-37.35,-24.9,-20.75,-33.2,-37.35,-29.05,-41.5,-24.9,-12.45,-20.75,-45.65,-53.95,-29.05,-29.05,-12.45,-20.75,-41.5,-33.2,-41.5,-883.95
    Referral fee,-22.95,-28.05,-22.95,-12.75,-31.5,-16.2,-21.6,-13.5,-16.2,-24.3,-16.2,-13.5,-21.6,-24.3,-18.9,-27,-16.2,-8.1,-13.5,-29.7,-35.1,-18.9,-18.9,-8.1,-13.5,-27,-21.6,-27,-569.1
    Compensated clawback,0,0,0,0,0,0,0,-51.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51.45
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48.05,0,0,0,0,0,-48.05
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14
Cost of goods,-24.57,-30.03,-24.57,-13.65,-32.76,-16.38,-21.84,0,-16.38,-24.57,-16.38,-13.65,-21.84,-24.57,-19.11,-27.3,-16.38,-8.19,-13.65,-30.03,-35.49,-19.11,-19.11,-8.19,-13.65,-27.3,-21.84,-27.3,-567.84
    Cost of goods sold,-24.57,-30.03,-24.57,-13.65,-32.76,-16.38,-21.84,-13.65,-16.38,-24.57,-16.38,-13.65,-21.84,-24.57,-19.11,-27.3,-16.38,-8.19,-13.65,-30.03,-35.49,-19.11,-19.11,-8.19,-13.65,-27.3,-21.84,-27.3,-581.49
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,13.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.65
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,68.04,83.16,68.04,37.8,95.82,34.63,67.28,4.25,50.46,75.69,61.6,42.05,67.28,75.69,58.87,84.1,50.46,25.23,42.05,92.51,109.33,58.87,10.82,25.23,42.05,84.1,67.28,84.1,1666.79
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,68.04,83.16,68.04,37.8,95.82,34.63,67.28,4.25,50.46,75.69,61.6,42.05,67.28,75.69,58.87,84.1,50.46,25.23,42.05,92.51,109.33,58.87,10.82,25.23,42.05,84.1,67.28,84.1,1666.79
Estimated payout,92.61,113.19,92.61,51.45,128.58,51.01,89.12,4.25,66.84,100.26,77.98,55.7,89.12,100.26,77.98,111.4,66.84,33.42,55.7,122.54,144.82,77.98,29.93,33.42,55.7,111.4,89.12,111.4,2234.63
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,16.67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.47%
Sellable returns,,0%,,,,,,,,,,,,,,,,,,,,,,,,,0%,,0%
Margin,44.5%,44.5%,44.5%,44.5%,45.65%,32.08%,46.75%,4.72%,46.75%,46.75%,57.07%,46.75%,46.75%,46.75%,46.75%,46.75%,46.75%,46.75%,46.75%,46.75%,46.75%,46.75%,8.59%,46.75%,46.75%,46.75%,46.75%,46.75%,43.96%
ROI,276.92%,276.92%,276.92%,276.92%,292.49%,211.42%,308.06%,,308.06%,308.06%,376.07%,308.06%,308.06%,308.06%,308.06%,308.06%,308.06%,308.06%,308.06%,308.06%,308.06%,308.06%,56.62%,308.06%,308.06%,308.06%,308.06%,308.06%,293.53%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,26,33,22,32,44,38,37,29,26,31,37,31,54,48,29,38,44,54,41,56,51,35,45,41,42,46,71,61,1142
    Browser sessions,8,13,9,7,15,11,5,9,9,13,3,10,10,21,8,9,15,17,8,15,8,11,14,10,15,9,20,19,321
    Mobile app sessions,18,20,13,25,29,27,32,20,17,18,34,21,44,27,21,29,29,37,33,41,43,24,31,31,27,37,51,42,821
Unit session percentage,34.62%,33.33%,40.91%,15.63%,27.27%,15.79%,21.62%,17.24%,23.08%,29.03%,16.22%,16.13%,14.81%,18.75%,24.14%,26.32%,13.64%,5.56%,12.2%,19.64%,25.49%,20%,15.56%,7.32%,11.9%,21.74%,11.27%,16.39%,18.65%
