Parameter/Date,30 April 2025,29 April 2025,28 April 2025,27 April 2025,26 April 2025,25 April 2025,24 April 2025,23 April 2025,22 April 2025,21 April 2025,20 April 2025,19 April 2025,18 April 2025,17 April 2025,16 April 2025,15 April 2025,14 April 2025,13 April 2025,12 April 2025,11 April 2025,10 April 2025,9 April 2025,8 April 2025,7 April 2025,6 April 2025,5 April 2025,4 April 2025,3 April 2025,2 April 2025,1 April 2025,Total
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.95,0,0,0,0,0,0,0,0,0,0,-14.95
    Refunded referral fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,2.55
    Refund commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.51,0,0,0,0,0,0,0,0,0,0,-0.51
    Refunded amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.99,0,0,0,0,0,0,0,0,0,0,-16.99
Amazon fees,-40.2,-20.1,-46.9,-53.6,-40.2,-34.16,-33.5,-20.1,-46.9,-33.5,-40.2,-40.2,-20.1,-26.8,-33.5,-49.52,-60.3,-60.3,-87.1,-26.8,-20.1,-46.9,-40.2,-46.9,-88.18,-20.1,-60.3,-53.6,-33.5,-33.5,-1257.26
    FBA per unit fulfilment fee,-24.9,-12.45,-29.05,-33.2,-24.9,-24.9,-20.75,-12.45,-29.05,-20.75,-24.9,-24.9,-12.45,-16.6,-20.75,-24.9,-37.35,-37.35,-53.95,-16.6,-12.45,-29.05,-24.9,-29.05,-37.35,-12.45,-37.35,-33.2,-20.75,-20.75,-759.45
    Referral fee,-15.3,-7.65,-17.85,-20.4,-15.3,-15.3,-12.75,-7.65,-17.85,-12.75,-15.3,-15.3,-7.65,-10.2,-12.75,-15.3,-22.95,-22.95,-33.15,-10.2,-7.65,-17.85,-15.3,-17.85,-22.95,-7.65,-22.95,-20.4,-12.75,-12.75,-466.65
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.88,0,0,0,0,0,-27.88
    Long term storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.32
    Warehouse lost,0,0,0,0,0,6.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04
Cost of goods,-16.38,-8.19,-19.11,-21.84,-16.38,-19.11,-13.65,-8.19,-19.11,-13.65,-16.38,-16.38,-8.19,-10.92,-13.65,-16.38,-24.57,-24.57,-35.49,-10.92,-8.19,-19.11,-16.38,-19.11,-24.57,-8.19,-24.57,-21.84,-13.65,-16.38,-505.05
    Cost of goods sold,-16.38,-8.19,-19.11,-21.84,-16.38,-16.38,-13.65,-8.19,-19.11,-13.65,-16.38,-16.38,-8.19,-10.92,-13.65,-16.38,-24.57,-24.57,-35.49,-10.92,-8.19,-19.11,-16.38,-19.11,-24.57,-8.19,-24.57,-21.84,-13.65,-16.38,-502.32
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,-2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,45.36,22.68,52.92,60.48,45.36,48.67,37.8,22.68,52.92,37.8,45.36,45.36,22.68,30.24,37.8,36.04,68.04,68.04,98.28,15.29,22.68,52.92,45.36,52.92,40.16,22.68,68.04,60.48,37.8,35.07,1331.91
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,45.36,22.68,52.92,60.48,45.36,48.67,37.8,22.68,52.92,37.8,45.36,45.36,22.68,30.24,37.8,36.04,68.04,68.04,98.28,15.29,22.68,52.92,45.36,52.92,40.16,22.68,68.04,60.48,37.8,35.07,1331.91
Estimated payout,61.74,30.87,72.03,82.32,61.74,67.78,51.45,30.87,72.03,51.45,61.74,61.74,30.87,41.16,51.45,52.42,92.61,92.61,133.77,26.21,30.87,72.03,61.74,72.03,64.73,30.87,92.61,82.32,51.45,51.45,1836.96
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.54%
Sellable returns,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,0%
Margin,44.5%,44.5%,44.5%,44.5%,44.5%,47.74%,44.5%,44.5%,44.5%,44.5%,44.5%,44.5%,44.5%,44.5%,44.5%,35.35%,44.5%,44.5%,44.5%,22.5%,44.5%,44.5%,44.5%,44.5%,26.26%,44.5%,44.5%,44.5%,44.5%,41.28%,42.84%
ROI,276.92%,276.92%,276.92%,276.92%,276.92%,254.68%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,220.02%,276.92%,276.92%,276.92%,140.02%,276.92%,276.92%,276.92%,276.92%,163.45%,276.92%,276.92%,276.92%,276.92%,214.1%,263.72%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,11,20,25,37,38,25,27,18,28,24,23,23,12,20,22,22,28,37,30,17,31,20,25,19,34,31,34,32,27,26,766
    Browser sessions,5,7,11,10,15,10,7,3,14,6,5,10,5,9,9,10,8,14,11,7,6,6,9,6,8,12,11,12,10,3,259
    Mobile app sessions,6,13,14,27,23,15,20,15,14,18,18,13,7,11,13,12,20,23,19,10,25,14,16,13,26,19,23,20,17,23,507
Unit session percentage,54.55%,15%,28%,21.62%,15.79%,24%,18.52%,16.67%,25%,20.83%,26.09%,26.09%,25%,20%,22.73%,27.27%,32.14%,24.32%,43.33%,23.53%,9.68%,35%,24%,36.84%,26.47%,9.68%,26.47%,25%,18.52%,23.08%,24.02%
