Parameter/Date,30 April 2024,29 April 2024,28 April 2024,27 April 2024,26 April 2024,25 April 2024,24 April 2024,23 April 2024,22 April 2024,21 April 2024,20 April 2024,19 April 2024,18 April 2024,17 April 2024,16 April 2024,15 April 2024,14 April 2024,13 April 2024,12 April 2024,11 April 2024,10 April 2024,9 April 2024,8 April 2024,7 April 2024,6 April 2024,5 April 2024,4 April 2024,3 April 2024,2 April 2024,1 April 2024,Total
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,45.85,45.27,67.39,59.33,9.28,39.28,42.75,65.89,38.11,64.65,74.41,58.75,58.02,39.94,36.41,62.55,54.47,37.89,46.64,95.66,61.51,31.63,43.86,0.01,43.29,1.19,34.72,63.4,48.31,102.72,1473.18
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,45.85,45.27,67.39,59.33,9.28,39.28,42.75,65.89,38.11,64.65,74.41,58.75,58.02,39.94,36.41,62.55,54.47,37.89,46.64,95.66,61.51,31.63,43.86,0.01,43.29,1.19,34.72,63.4,48.31,102.72,1473.18
Estimated payout,73.15,69.84,102.88,89.36,25.66,63.85,67.32,101.38,59.95,100.14,109.9,86.05,88.05,61.78,58.25,89.85,84.5,67.92,76.67,139.34,97,53.47,76.62,30.04,67.86,23.03,67.48,101.62,75.61,157.32,2365.89
Real ACOS,17.51%,14.89%,11.88%,12.75%,20.73%,18.81%,16.54%,14.66%,16.46%,13.04%,11.71%,9.92%,13.45%,15.11%,17.71%,12.49%,14.62%,15.4%,18.54%,8.37%,15.65%,20.23%,14.65%,18.05%,21.8%,24.95%,19.13%,16.84%,15.06%,13.27%,15.35%
% Refunds,0%,0%,7.69%,0%,16.67%,0%,0%,0%,0%,7.69%,0%,0%,0%,0%,0%,0%,0%,9.09%,0%,0%,0%,0%,8.33%,0%,0%,22.22%,8.33%,0%,0%,0%,2.44%
Sellable returns,,,,,,,,,,,,0%,,,0%,50%,,,,,,,,,,100%,0%,0%,,,28.57%
Margin,26.99%,29.61%,30.51%,31.75%,9.1%,25.69%,27.96%,29.83%,28.04%,29.27%,36.5%,34.58%,31.04%,29.38%,26.79%,33.47%,29.15%,20.27%,24.96%,35.19%,27.85%,23.27%,21.51%,0.01%,28.31%,0.78%,17.03%,26.65%,28.43%,30.23%,26.44%
ROI,167.95%,184.25%,189.88%,197.57%,56.65%,159.87%,173.99%,185.66%,174.5%,182.16%,209.66%,215.2%,193.21%,182.88%,166.71%,208.29%,181.39%,126.17%,155.31%,219%,173.32%,144.83%,133.88%,0.03%,176.19%,4.84%,105.98%,165.88%,176.96%,188.13%,164.02%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,60,50,70,65,66,59,60,61,60,78,60,56,47,56,61,54,87,66,78,65,73,67,84,84,77,85,95,113,96,105,2138
    Browser sessions,27,24,25,23,29,25,31,24,38,29,21,27,22,22,31,19,34,22,27,21,26,25,31,32,30,36,43,51,58,45,898
    Mobile app sessions,33,26,45,42,37,34,29,37,22,49,39,29,25,34,30,35,53,44,51,44,47,42,53,52,47,49,52,62,38,60,1240
Unit session percentage,16.67%,18%,18.57%,16.92%,9.09%,15.25%,15%,21.31%,13.33%,16.67%,20%,17.86%,23.4%,14.29%,13.11%,20.37%,12.64%,16.67%,14.1%,24.62%,17.81%,11.94%,14.29%,13.1%,11.69%,10.59%,12.63%,12.39%,10.42%,19.05%,15.34%
