Parameter/Date,31 December 2022,30 December 2022,29 December 2022,28 December 2022,27 December 2022,26 December 2022,25 December 2022,24 December 2022,23 December 2022,22 December 2022,21 December 2022,20 December 2022,19 December 2022,18 December 2022,17 December 2022,16 December 2022,15 December 2022,14 December 2022,13 December 2022,12 December 2022,11 December 2022,10 December 2022,9 December 2022,8 December 2022,7 December 2022,6 December 2022,5 December 2022,4 December 2022,3 December 2022,2 December 2022,1 December 2022,Total
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,60.75,63.98,54.84,18.28,73.12,54.84,36.56,45.7,39.29,36.56,-16.71,28.99,54.84,63.98,45.7,54.84,18.28,10.71,45.7,54.84,63.98,30.15,17.76,-23.58,54.84,18.28,12.28,27.42,39.29,9.14,36.56,1131.21
Estimated payout,79.86,83.09,71.22,23.74,94.96,71.22,47.48,59.35,47.48,47.48,-16.71,42.64,71.22,83.09,59.35,71.22,23.74,18.9,59.35,71.22,83.09,35.61,23.22,-4.47,71.22,23.74,25.93,35.61,47.48,11.87,47.48,1510.68
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,33.33%,0%,0%,0%,0%,0%,0%,0%,0%,40%,0%,0%,0%,0%,3.52%
Sellable returns,,0%,,,0%,,,,,,,,,0%,,,,,,,,100%,,,,,,,100%,,,40%
Margin,45.69%,48.13%,48.13%,48.13%,48.13%,48.13%,38.5%,48.13%,68.97%,48.13%,0%,30.53%,48.13%,48.13%,48.13%,48.13%,48.13%,18.8%,48.13%,48.13%,48.13%,52.92%,46.76%,-17.74%,48.13%,48.13%,12.93%,48.13%,51.72%,48.13%,48.13%,41.95%
ROI,317.9%,334.8%,334.8%,334.8%,334.8%,334.8%,334.8%,334.8%,479.73%,334.8%,,212.38%,334.8%,334.8%,334.8%,334.8%,334.8%,130.77%,334.8%,334.8%,334.8%,368.13%,325.27%,-123.39%,334.8%,334.8%,89.96%,334.8%,359.8%,334.8%,334.8%,293.87%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,18.83%
