Parameter/Date,30 September 2022,29 September 2022,28 September 2022,27 September 2022,26 September 2022,25 September 2022,24 September 2022,23 September 2022,22 September 2022,21 September 2022,20 September 2022,19 September 2022,18 September 2022,17 September 2022,16 September 2022,15 September 2022,14 September 2022,13 September 2022,12 September 2022,11 September 2022,10 September 2022,9 September 2022,8 September 2022,7 September 2022,6 September 2022,5 September 2022,4 September 2022,3 September 2022,2 September 2022,1 September 2022,Total
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,2.73,0,0,0,0,0,0,0,0,-16.71,0,0,0,-13.98,0,0,0,0,0,0,0,-33.42,0,0,0,0,0,-61.38
    Refunded referral fee,0,0,0,0,0,0,0,0,0,0,0,0,2.85,0,0,0,2.85,0,0,0,0,0,0,0,5.7,0,0,0,0,0,11.4
    Value of returned items,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46
    Refund commission,0,0,0,0,0,0,0,0,0,0,0,0,-0.57,0,0,0,-0.57,0,0,0,0,0,0,0,-1.14,0,0,0,0,0,-2.28
    Refunded amount,0,0,0,0,0,0,0,0,0,0,0,0,-18.99,0,0,0,-18.99,0,0,0,0,0,0,0,-37.98,0,0,0,0,0,-75.96
Amazon fees,-34.05,-27.24,-20.43,-34.05,-54.48,-47.67,-6.81,-13.62,-13.62,-40.86,-34.05,-20.43,0,-6.81,-27.24,-27.24,-27.24,-13.62,-27.24,-20.43,-13.62,-6.81,-13.62,-45.52,-20.43,-20.43,-34.05,-27.24,-20.43,-13.62,-712.9
    FBA per unit fulfilment fee,-19.8,-15.84,-11.88,-19.8,-31.68,-27.72,-3.96,-7.92,-7.92,-23.76,-19.8,-11.88,0,-3.96,-15.84,-15.84,-15.84,-7.92,-15.84,-11.88,-7.92,-3.96,-7.92,-15.84,-11.88,-11.88,-19.8,-15.84,-11.88,-7.92,-403.92
    Referral fee,-14.25,-11.4,-8.55,-14.25,-22.8,-19.95,-2.85,-5.7,-5.7,-17.1,-14.25,-8.55,0,-2.85,-11.4,-11.4,-11.4,-5.7,-11.4,-8.55,-5.7,-2.85,-5.7,-11.4,-8.55,-8.55,-14.25,-11.4,-8.55,-5.7,-290.7
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.28,0,0,0,0,0,0,-18.28
Cost of goods,-13.65,-10.92,-8.19,-13.65,-21.84,-19.11,-2.73,-5.46,-5.46,-16.38,-13.65,-8.19,0,-2.73,-10.92,-10.92,-10.92,-5.46,-10.92,-8.19,-5.46,-2.73,-5.46,-10.92,-8.19,-8.19,-13.65,-10.92,-8.19,-5.46,-278.46
    Cost of goods sold,-13.65,-10.92,-8.19,-13.65,-21.84,-19.11,-2.73,-5.46,-5.46,-16.38,-13.65,-8.19,0,-2.73,-10.92,-10.92,-10.92,-5.46,-10.92,-8.19,-5.46,-2.73,-5.46,-10.92,-8.19,-8.19,-13.65,-10.92,-8.19,-5.46,-278.46
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,47.25,37.8,28.35,49.98,75.6,66.15,9.45,18.9,18.9,56.7,47.25,28.35,-16.71,9.45,37.8,37.8,23.82,18.9,37.8,28.35,18.9,9.45,18.9,19.52,-5.07,28.35,47.25,37.8,28.35,18.9,884.24
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,47.25,37.8,28.35,49.98,75.6,66.15,9.45,18.9,18.9,56.7,47.25,28.35,-16.71,9.45,37.8,37.8,23.82,18.9,37.8,28.35,18.9,9.45,18.9,19.52,-5.07,28.35,47.25,37.8,28.35,18.9,884.24
Estimated payout,60.9,48.72,36.54,60.9,97.44,85.26,12.18,24.36,24.36,73.08,60.9,36.54,-16.71,12.18,48.72,48.72,32.01,24.36,48.72,36.54,24.36,12.18,24.36,30.44,3.12,36.54,60.9,48.72,36.54,24.36,1157.24
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,66.67%,0%,0%,0%,0%,0%,3.92%
Sellable returns,,,,100%,,,,,,,,,,,,0%,100%,,,,,,,,,,,,,,66.67%
Margin,49.76%,49.76%,49.76%,52.64%,49.76%,49.76%,49.76%,49.76%,49.76%,49.76%,49.76%,49.76%,0%,49.76%,49.76%,49.76%,31.36%,49.76%,49.76%,49.76%,49.76%,49.76%,49.76%,25.7%,-8.9%,49.76%,49.76%,49.76%,49.76%,49.76%,45.65%
ROI,346.15%,346.15%,346.15%,366.15%,346.15%,346.15%,346.15%,346.15%,346.15%,346.15%,346.15%,346.15%,,346.15%,346.15%,346.15%,218.13%,346.15%,346.15%,346.15%,346.15%,346.15%,346.15%,178.75%,-61.9%,346.15%,346.15%,346.15%,346.15%,346.15%,317.55%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,13.4%
