Parameter/Date,30 September 2023,29 September 2023,28 September 2023,27 September 2023,26 September 2023,25 September 2023,24 September 2023,23 September 2023,22 September 2023,21 September 2023,20 September 2023,19 September 2023,18 September 2023,17 September 2023,16 September 2023,15 September 2023,14 September 2023,13 September 2023,12 September 2023,11 September 2023,10 September 2023,9 September 2023,8 September 2023,7 September 2023,6 September 2023,5 September 2023,4 September 2023,3 September 2023,2 September 2023,1 September 2023,Total
    Direct units,1,1,2,3,2,1,1,1,1,1,2,2,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,24
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-11.37,-8.41,-13.25,-8.74,-10.9,-11.4,-9.92,-12.06,-12.65,-12.1,-17.25,-12.44,-11.13,-17.21,-10.04,-6.7,-6.71,-6.06,-6.13,-9.46,-3.92,-5.51,0,0,0,0,0,0,0,0,-223.36
    Sponsored Products,-10.27,-7.55,-11.72,-7.41,-9.77,-10.85,-9.3,-11.51,-11.8,-11.16,-15.07,-10.87,-11.13,-17.21,-7.78,-5.7,-5.83,-6.06,-4.77,-8.57,-3.92,-5.51,0,0,0,0,0,0,0,0,-203.76
    Sponsored Brands,-1.1,-0.86,-1.53,-1.33,-1.13,-0.55,-0.62,-0.55,-0.85,-0.94,-2.18,-1.57,0,0,-2.26,-1,-0.88,0,-1.36,-0.89,0,0,0,0,0,0,0,0,0,0,-19.6
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon fees,-6.64,-6.64,-13.28,-19.92,-13.28,-6.64,-6.64,-6.64,-6.64,-6.64,-13.28,-13.28,0,0,-6.64,-6.64,-6.64,0,-13.28,-6.64,0,0,0,0,0,0,0,0,0,0,-159.36
    FBA per unit fulfilment fee,-4.24,-4.24,-8.48,-12.72,-8.48,-4.24,-4.24,-4.24,-4.24,-4.24,-8.48,-8.48,0,0,-4.24,-4.24,-4.24,0,-8.48,-4.24,0,0,0,0,0,0,0,0,0,0,-101.76
    Referral fee,-2.4,-2.4,-4.8,-7.2,-4.8,-2.4,-2.4,-2.4,-2.4,-2.4,-4.8,-4.8,0,0,-2.4,-2.4,-2.4,0,-4.8,-2.4,0,0,0,0,0,0,0,0,0,0,-57.6
Cost of goods,-2.73,-2.73,-5.46,-8.19,-5.46,-2.73,-2.73,-2.73,-2.73,-2.73,-5.46,-5.46,0,0,-2.73,-2.73,-2.73,0,-5.46,-2.73,0,0,0,0,0,0,0,0,0,0,-65.52
    Cost of goods sold,-2.73,-2.73,-5.46,-8.19,-5.46,-2.73,-2.73,-2.73,-2.73,-2.73,-5.46,-5.46,0,0,-2.73,-2.73,-2.73,0,-5.46,-2.73,0,0,0,0,0,0,0,0,0,0,-65.52
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,-4.75,-1.79,-0.01,11.12,2.34,-4.78,-3.3,-5.44,-6.03,-5.48,-4.01,0.8,-11.13,-17.21,-3.42,-0.08,-0.09,-6.06,7.11,-2.84,-3.92,-5.51,0,0,0,0,0,0,0,0,-64.48
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,-4.75,-1.79,-0.01,11.12,2.34,-4.78,-3.3,-5.44,-6.03,-5.48,-4.01,0.8,-11.13,-17.21,-3.42,-0.08,-0.09,-6.06,7.11,-2.84,-3.92,-5.51,0,0,0,0,0,0,0,0,-64.48
Estimated payout,-2.02,0.94,5.45,19.31,7.8,-2.05,-0.57,-2.71,-3.3,-2.75,1.45,6.26,-11.13,-17.21,-0.69,2.65,2.64,-6.06,12.57,-0.11,-3.92,-5.51,0,0,0,0,0,0,0,0,1.04
Real ACOS,71.11%,52.6%,41.43%,18.22%,34.08%,71.29%,62.04%,75.42%,79.11%,75.67%,53.94%,38.9%,0%,0%,62.79%,41.9%,41.96%,0%,19.17%,59.16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,58.2%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Sellable returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin,-29.71%,-11.19%,-0.03%,23.18%,7.32%,-29.89%,-20.64%,-34.02%,-37.71%,-34.27%,-12.54%,2.5%,0%,0%,-21.39%,-0.5%,-0.56%,0%,22.23%,-17.76%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-16.8%
ROI,-173.99%,-65.57%,-0.18%,135.78%,42.86%,-175.09%,-120.88%,-199.27%,-220.88%,-200.73%,-73.44%,14.65%,,,-125.27%,-2.93%,-3.3%,,130.22%,-104.03%,,,0%,0%,0%,0%,0%,0%,0%,0%,-98.41%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3.94%
